parameter,entity,estimate,std.error,p.val.adj,s_var
carbohydrateRDC,Actinomyces,-1.3404834905658962,1.2180653291168262,0.712316095723148,0.05
carbohydrateSDC,Actinomyces,-0.08409620294223284,1.22113187448423,1,0.05
timepoint48H,Actinomyces,-3.1837093416875666,1.3697706884114529,0.4821576718680383,0.05
obesity_groupobesity,Actinomyces,-0.841848241355744,0.7797568008794389,0.8788913891558251,0.05
carbohydrateRDC:timepoint48H,Actinomyces,3.191826829200202,1.6503070697299087,0.4043820022907562,0.05
carbohydrateSDC:timepoint48H,Actinomyces,1.2447473639661528,1.6485979495005494,0.9187579740068387,0.05
carbohydrateRDC,Adlercreutzia,-0.8102653546544812,1.389512551495694,0.7859723736676116,0.05
carbohydrateSDC,Adlercreutzia,-0.5312450569067803,1.3929333158710462,1,0.05
timepoint48H,Adlercreutzia,-1.6836176560263114,1.5634053484067882,0.9509349177531694,0.05
obesity_groupobesity,Adlercreutzia,-2.9612972205268453,1.0951840019849624,0.43568142637329355,0.05
carbohydrateRDC:timepoint48H,Adlercreutzia,1.485957075547346,1.882439818124539,0.6547493714857222,0.05
carbohydrateSDC:timepoint48H,Adlercreutzia,1.5228388756847842,1.8804545059874174,0.9176729400372505,0.05
carbohydrateRDC,Akkermansia,0.06492917075055543,1.4798010787118057,0.9482342250435276,0.05
carbohydrateSDC,Akkermansia,0.9652802323456107,1.483364643704555,1,0.05
timepoint48H,Akkermansia,6.918616769214175,1.6660708979362342,4.852088084096568e-4,0.05
obesity_groupobesity,Akkermansia,-0.25459690847079264,1.6725369753928951,1,0.05
carbohydrateRDC:timepoint48H,Akkermansia,-0.2490356827145129,2.004619691866191,0.9633640630577642,0.05
carbohydrateSDC:timepoint48H,Akkermansia,-1.8225252507847247,2.0024647668704922,1,0.05
carbohydrateRDC,Alistipes,-0.6324168619510867,1.382325211698674,0.8389862159655516,0.05
carbohydrateSDC,Alistipes,0.29484656102374424,1.3858496434484386,1,0.05
timepoint48H,Alistipes,9.882854128442728,1.5540553617135495,2.1897970538146844e-7,0.05
obesity_groupobesity,Alistipes,-0.668680583491969,0.7987317685174298,0.9428544009333438,0.05
carbohydrateRDC:timepoint48H,Alistipes,0.3203643021725032,1.872949009887372,0.879227393243153,0.05
carbohydrateSDC:timepoint48H,Alistipes,-0.28827391196547036,1.8710289216290115,0.9930048479105705,0.05
carbohydrateRDC,Anaerostipes,-1.1051543613961665,1.3017772519271313,0.7153088723210549,0.05
carbohydrateSDC,Anaerostipes,0.04716019875148497,1.3049788706957814,1,0.05
timepoint48H,Anaerostipes,-2.847553272478654,1.464723768727364,0.6409443074611476,0.05
obesity_groupobesity,Anaerostipes,-1.0789446408128047,1.0322537077748413,0.9119137138397392,0.05
carbohydrateRDC:timepoint48H,Anaerostipes,1.7494622925266177,1.7635742895995914,0.5591959506343501,0.05
carbohydrateSDC:timepoint48H,Anaerostipes,1.8207695975053382,1.76171288266404,0.9023635088422914,0.05
carbohydrateRDC,Anaerotruncus,-0.41249903748779215,1.3488615173574174,0.8611442120115598,0.05
carbohydrateSDC,Anaerotruncus,0.36873084432895264,1.3521225462156237,1,0.05
timepoint48H,Anaerotruncus,6.791878242848376,1.51845927666919,2.3160734815767483e-4,0.05
obesity_groupobesity,Anaerotruncus,-1.1318323992446828,1.400085659274138,0.9586911285787664,0.05
carbohydrateRDC:timepoint48H,Anaerotruncus,-0.9832514503736292,1.8272627671178878,0.9866301124444871,0.05
carbohydrateSDC:timepoint48H,Anaerotruncus,-1.2566756475520842,1.8253053240045742,0.9996453896750724,0.05
carbohydrateRDC,Bacteroides,-0.4272256658383426,1.3972779622057574,0.8685805252093466,0.05
carbohydrateSDC,Bacteroides,0.18524095333314297,1.4007453893901218,1,0.05
timepoint48H,Bacteroides,14.199928136015483,1.5718149741255107,3.6763127264638484e-14,0.05
obesity_groupobesity,Bacteroides,-0.49450663375248927,1.0046267586709263,0.9978922534689749,0.05
carbohydrateRDC:timepoint48H,Bacteroides,1.0790207103832745,1.893011731254613,0.7380044079639315,0.05
carbohydrateSDC:timepoint48H,Bacteroides,0.6147879878078805,1.8910286096369164,0.9681922830424116,0.05
carbohydrateRDC,Bifidobacterium,-1.164771209934512,1.108230587947462,0.706563252446951,0.05
carbohydrateSDC,Bifidobacterium,0.14379112146780043,1.1110537953610986,1,0.05
timepoint48H,Bifidobacterium,0.27010857236727026,1.2459199878392035,1,0.05
obesity_groupobesity,Bifidobacterium,-0.8342440638119175,0.6396842048203593,0.8514230371063335,0.05
carbohydrateRDC:timepoint48H,Bifidobacterium,4.312866288802126,1.50156442125197,0.2067982700977044,0.05
carbohydrateSDC:timepoint48H,Bifidobacterium,3.2542519290883325,1.5000242940553923,0.6681574008098787,0.05
carbohydrateRDC,Blautia,-1.3810295553128085,1.1337570537827173,0.7064599169666672,0.05
carbohydrateSDC,Blautia,0.05409389262813695,1.136719190256595,1,0.05
timepoint48H,Blautia,-0.30047310729316234,1.2740113716155879,1,0.05
obesity_groupobesity,Blautia,-0.0702264925700033,0.5619849615275712,1,0.05
carbohydrateRDC:timepoint48H,Blautia,2.401208204342949,1.5363196885221089,0.45639365727464104,0.05
carbohydrateSDC:timepoint48H,Blautia,1.7181772578559498,1.5347739921792747,0.8997878037910408,0.05
carbohydrateRDC,Clostridium,-1.141857536202118,1.3126093811224029,0.7302333107010263,0.05
carbohydrateSDC,Clostridium,-0.24696626860151574,1.3157805161950857,1,0.05
timepoint48H,Clostridium,7.647791782992575,1.477680690142357,5.146618813498947e-6,0.05
obesity_groupobesity,Clostridium,-0.28101466208653963,1.3778258123187093,1,0.05
carbohydrateRDC:timepoint48H,Clostridium,1.7717576206211991,1.7781492519780138,0.5610789652366465,0.05
carbohydrateSDC:timepoint48H,Clostridium,0.5272776893070399,1.776243247279849,0.9748809441668641,0.05
carbohydrateRDC,Collinsella,-2.0350463615947265,1.536275466242455,0.7072892453802859,0.05
carbohydrateSDC,Collinsella,-1.0776716022948472,1.5400027829005447,1,0.05
timepoint48H,Collinsella,2.7557366221179684,1.7292462207475856,0.34416620929831404,0.05
obesity_groupobesity,Collinsella,0.836481074412073,1.484751486399506,1,0.05
carbohydrateRDC:timepoint48H,Collinsella,4.571312173078948,2.081168891435166,0.37902036563554886,0.05
carbohydrateSDC:timepoint48H,Collinsella,3.39293639342807,2.0789464239003963,0.8299699589698127,0.05
carbohydrateRDC,Coprococcus,-1.0741549588761359,1.4565730642699315,0.7440230576459973,0.05
carbohydrateSDC,Coprococcus,-0.13946191439580963,1.4601962764401144,1,0.05
timepoint48H,Coprococcus,-0.24197063780213524,1.6384221592814086,1,0.05
obesity_groupobesity,Coprococcus,-1.2066052758313157,1.024309139815249,0.8731607464373171,0.05
carbohydrateRDC:timepoint48H,Coprococcus,2.496689770885391,1.9733608695208766,0.49939427221287624,0.05
carbohydrateSDC:timepoint48H,Coprococcus,2.323382460104149,1.9712976047096233,0.891791893729304,0.05
carbohydrateRDC,Dialister,-1.4457884069882512,1.4548338743705511,0.7406685697372564,0.05
carbohydrateSDC,Dialister,-0.12549883572606002,1.458369252163029,1,0.05
timepoint48H,Dialister,0.5883139220046661,1.6374981014337116,0.947937867625159,0.05
obesity_groupobesity,Dialister,-1.0562589124006325,1.3730179881342013,0.9708015227454073,0.05
carbohydrateRDC:timepoint48H,Dialister,2.5718400078991346,1.9708510360752414,0.5085856400437149,0.05
carbohydrateSDC:timepoint48H,Dialister,1.640868908412936,1.968749279394298,0.9182571033360304,0.05
carbohydrateRDC,Dorea,-1.4445453163118065,1.2247845378737723,0.7064599169666672,0.05
carbohydrateSDC,Dorea,0.02161865746502161,1.2278436663615653,1,0.05
timepoint48H,Dorea,-1.716678963362993,1.3775582011646934,0.9853551873165414,0.05
obesity_groupobesity,Dorea,-1.2792518052198625,0.8278282971613209,0.8426510557724459,0.05
carbohydrateRDC:timepoint48H,Dorea,2.8968093678019633,1.6593589699271911,0.4413086079174872,0.05
carbohydrateSDC:timepoint48H,Dorea,1.4579185696974186,1.657629849883456,0.9119782125316266,0.05
carbohydrateRDC,Eggerthella,-1.4703469759174173,1.230164495521422,0.7154801058046995,0.05
carbohydrateSDC,Eggerthella,-0.4321196735721429,1.2331197736458175,1,0.05
timepoint48H,Eggerthella,6.011936283584118,1.3851209887211553,1.7706251723896706e-4,0.05
obesity_groupobesity,Eggerthella,0.41907143492817167,1.4771920576685358,1,0.05
carbohydrateRDC:timepoint48H,Eggerthella,1.462770604800574,1.6664368411988273,0.6033798250570257,0.05
carbohydrateSDC:timepoint48H,Eggerthella,0.572083986074205,1.6646415937795709,0.9677747392261079,0.05
carbohydrateRDC,Erysipelatoclostridium,-0.8521818396476318,1.4129078108046518,0.7941338282850439,0.05
carbohydrateSDC,Erysipelatoclostridium,-0.3771160492845033,1.41635596909231,1,0.05
timepoint48H,Erysipelatoclostridium,0.8889516471363768,1.5901092131685588,0.9117821936164756,0.05
obesity_groupobesity,Erysipelatoclostridium,0.5029125811836391,1.2463799023548532,1,0.05
carbohydrateRDC:timepoint48H,Erysipelatoclostridium,1.1374561109981147,1.9140796550286003,0.721785660331397,0.05
carbohydrateSDC:timepoint48H,Erysipelatoclostridium,0.913120482991025,1.912045964678094,0.9483883452007495,0.05
carbohydrateRDC,Escherichia,-0.5112858882965013,1.4131390809570228,0.8484638315348305,0.05
carbohydrateSDC,Escherichia,0.3856521058214607,1.4165819684887455,1,0.05
timepoint48H,Escherichia,11.863300945512409,1.5904484500282292,9.930203482416688e-11,0.05
obesity_groupobesity,Escherichia,-0.26404838632880206,1.2807761741638082,0.9998830823699385,0.05
carbohydrateRDC:timepoint48H,Escherichia,2.512526667788085,1.9143828053819942,0.5056341197278713,0.05
carbohydrateSDC:timepoint48H,Escherichia,1.7498727428766263,1.912345800665989,0.9160426144870273,0.05
carbohydrateRDC,Eubacterium,-1.3731270858339357,1.2830103709793341,0.7066691833956189,0.05
carbohydrateSDC,Eubacterium,0.045604020250330314,1.2862736173208533,1,0.05
timepoint48H,Eubacterium,-1.8922479131515455,1.44247198270545,0.9791493674070886,0.05
obesity_groupobesity,Eubacterium,-1.1664228928128744,0.7531046702592088,0.8415001711992249,0.05
carbohydrateRDC:timepoint48H,Eubacterium,1.865056864390604,1.738367019286185,0.5319410849260566,0.05
carbohydrateSDC:timepoint48H,Eubacterium,1.2298650729250515,1.736581560436239,0.9281379844709653,0.05
carbohydrateRDC,Faecalibacterium,-0.6097625089867946,1.4228085288044483,0.8287754519184477,0.05
carbohydrateSDC,Faecalibacterium,0.6971201910447629,1.4262896925689164,1,0.05
timepoint48H,Faecalibacterium,0.20883067013336098,1.6011336350327443,0.9975071305302683,0.05
obesity_groupobesity,Faecalibacterium,0.6770292010584645,1.2068016651450515,1,0.05
carbohydrateRDC:timepoint48H,Faecalibacterium,3.4853232748705083,1.9275077669709524,0.43402487328862305,0.05
carbohydrateSDC:timepoint48H,Faecalibacterium,3.4275478276382807,1.9254643170339731,0.7836165565161652,0.05
carbohydrateRDC,Flavonifractor,-0.6966095104311165,1.3242430443939766,0.8125464120486345,0.05
carbohydrateSDC,Flavonifractor,0.03526516131731628,1.3275494471225349,1,0.05
timepoint48H,Flavonifractor,10.348612492693109,1.4894533485953039,3.050908120961921e-8,0.05
obesity_groupobesity,Flavonifractor,-0.8851817505621021,0.9104509872906789,0.9122797807405748,0.05
carbohydrateRDC:timepoint48H,Flavonifractor,0.20478506346403977,1.7941066927239018,0.8978123658036911,0.05
carbohydrateSDC:timepoint48H,Flavonifractor,-0.5687991893308502,1.7922362620849717,0.9948248260971477,0.05
