parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateRDC,Actinomyces,-1.3707259866076875,1.2197094944881788,0.7272980408430715,0.25,lme4_trimmed
carbohydrateSDC,Actinomyces,-0.10794504993576107,1.2227801668438771,1,0.25,lme4_trimmed
timepoint48H,Actinomyces,-3.1236369211026846,1.3716116844260307,0.4384129866148306,0.25,lme4_trimmed
obesity_groupobesity,Actinomyces,-0.8059297410911801,0.7768725108170788,0.9033473800117262,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Actinomyces,3.1760945175143944,1.6525336967184585,0.37254065698478395,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Actinomyces,1.2907265563022454,1.6508224428255074,0.8422869455875289,0.25,lme4_trimmed
carbohydrateRDC,Adlercreutzia,-0.8553076737660392,1.3990317931038743,0.7823374653113867,0.25,lme4_trimmed
carbohydrateSDC,Adlercreutzia,-0.524147581120071,1.402484559694304,1,0.25,lme4_trimmed
timepoint48H,Adlercreutzia,-1.6982270109918556,1.5740124222205392,0.9214058131646964,0.25,lme4_trimmed
obesity_groupobesity,Adlercreutzia,-3.0311699522006603,1.0710889377722992,0.4168712542808266,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Adlercreutzia,1.4923582320561737,1.8953519393534717,0.6366302324818384,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Adlercreutzia,1.4209157542928461,1.8933571879171782,0.848873246777091,0.25,lme4_trimmed
carbohydrateRDC,Akkermansia,0.07823601460853534,1.4770152039424336,0.952236422377052,0.25,lme4_trimmed
carbohydrateSDC,Akkermansia,0.9565609564241341,1.4805730783294524,1,0.25,lme4_trimmed
timepoint48H,Akkermansia,6.932700105924485,1.662918608288998,3.596589787083215e-4,0.25,lme4_trimmed
obesity_groupobesity,Akkermansia,-0.23994667471078304,1.657082764640698,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Akkermansia,-0.22748445084335017,2.0008474217875896,0.9617158817416585,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Akkermansia,-1.8761356623389034,1.9986971049156401,1,0.25,lme4_trimmed
carbohydrateRDC,Alistipes,-0.6632764842116917,1.3756234527745308,0.8246741414350947,0.25,lme4_trimmed
carbohydrateSDC,Alistipes,0.2543012394181271,1.3791278167770158,1,0.25,lme4_trimmed
timepoint48H,Alistipes,9.827114845503175,1.5465491918927508,7.053506689153518e-8,0.25,lme4_trimmed
obesity_groupobesity,Alistipes,-0.6505590593924166,0.8002341995997277,0.9488184849700925,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Alistipes,0.32332796808279934,1.8638622553667863,0.8839792059741994,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Alistipes,-0.2741470536531154,1.8619501865464743,0.9810342088497159,0.25,lme4_trimmed
carbohydrateRDC,Anaerostipes,-1.0836113632428799,1.3045853717538993,0.7295943431797861,0.25,lme4_trimmed
carbohydrateSDC,Anaerostipes,0.04862756759071943,1.3077945202449948,1,0.25,lme4_trimmed
timepoint48H,Anaerostipes,-2.799452799336548,1.4678749160311635,0.6098889720232099,0.25,lme4_trimmed
obesity_groupobesity,Anaerostipes,-1.0917490992715393,1.0311473067701555,0.9179337874047299,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Anaerostipes,1.666106682215804,1.7673796486008053,0.5454673375525112,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Anaerostipes,1.7651560356878708,1.7655145461776303,0.8172708000605847,0.25,lme4_trimmed
carbohydrateRDC,Anaerotruncus,-0.22658915082310593,1.3511660262546041,0.8865080452845852,0.25,lme4_trimmed
carbohydrateSDC,Anaerotruncus,0.5647277539588742,1.3544322776189164,0.9970319043760321,0.25,lme4_trimmed
timepoint48H,Anaerotruncus,6.907976164321971,1.521059271147349,2.6850640314376035e-4,0.25,lme4_trimmed
obesity_groupobesity,Anaerotruncus,-1.173623498928717,1.407297552362299,0.9651796529237999,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Anaerotruncus,-1.048997271899036,1.830384084761807,0.9767115091327919,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Anaerotruncus,-1.3209185527496143,1.8284231029770717,0.9976048547057147,0.25,lme4_trimmed
carbohydrateRDC,Bacteroides,-0.6845044582025592,1.3949157455147088,0.8307726392019953,0.25,lme4_trimmed
carbohydrateSDC,Bacteroides,-0.05754812954891782,1.3983747835549514,1,0.25,lme4_trimmed
timepoint48H,Bacteroides,13.99243144147916,1.5691855927057325,5.91037635500058e-14,0.25,lme4_trimmed
obesity_groupobesity,Bacteroides,-0.48100664574260915,1.0096593056762948,0.9946774120198116,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Bacteroides,1.2947993454106168,1.8898064913190333,0.6772382677159247,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Bacteroides,0.8405886898321907,1.8878255432505062,0.9018219475870025,0.25,lme4_trimmed
carbohydrateRDC,Bifidobacterium,-1.1429633495510632,1.112839321957669,0.7253007237614171,0.25,lme4_trimmed
carbohydrateSDC,Bifidobacterium,0.14248845306960567,1.1156754720148612,1,0.25,lme4_trimmed
timepoint48H,Bifidobacterium,0.2960769860435113,1.2510919719389677,0.999091130707619,0.25,lme4_trimmed
obesity_groupobesity,Bifidobacterium,-0.8367298663705676,0.6410682057025846,0.8658814116706282,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Bifidobacterium,4.26487367163279,1.507811698152123,0.2060296822200048,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Bifidobacterium,3.2371384680293285,1.5062656411155604,0.5836669645317226,0.25,lme4_trimmed
carbohydrateRDC,Blautia,-1.3855754739435329,1.1457756832634456,0.7253007237614171,0.25,lme4_trimmed
carbohydrateSDC,Blautia,0.0527713931999076,1.1487687942159654,1,0.25,lme4_trimmed
timepoint48H,Blautia,-0.27547056033215167,1.2875203960226744,1,0.25,lme4_trimmed
obesity_groupobesity,Blautia,-0.07525636771514141,0.568490688691653,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Blautia,2.389302247599054,1.5526048122756309,0.41718466428010864,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Blautia,1.7003778449792057,1.551042554890287,0.8170577252915024,0.25,lme4_trimmed
carbohydrateRDC,Clostridium,-1.1642728896728478,1.3134042048182675,0.743503768115542,0.25,lme4_trimmed
carbohydrateSDC,Clostridium,-0.21334199519062694,1.3165777618035215,1,0.25,lme4_trimmed
timepoint48H,Clostridium,7.648801100805626,1.4785680806104489,5.254133707884304e-6,0.25,lme4_trimmed
obesity_groupobesity,Clostridium,-0.26216885122651373,1.3741046259413991,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Clostridium,1.7972497073565372,1.7792268020855364,0.5333801872156406,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Clostridium,0.5257851414554954,1.7773199092133185,0.9344059275176285,0.25,lme4_trimmed
carbohydrateRDC,Collinsella,-1.9475353415786725,1.5367698204214495,0.7261208582870754,0.25,lme4_trimmed
carbohydrateSDC,Collinsella,-1.0078116655708769,1.5404987505357812,1,0.25,lme4_trimmed
timepoint48H,Collinsella,2.8048825723913,1.7297968728273811,0.2906752192578936,0.25,lme4_trimmed
obesity_groupobesity,Collinsella,0.8255691450088168,1.482408654106868,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Collinsella,4.4477469385532675,2.081839290847945,0.3473256322285159,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Collinsella,3.298631636940251,2.0796163229256104,0.7442671262330819,0.25,lme4_trimmed
carbohydrateRDC,Coprococcus,-1.065813799700696,1.4551929184564079,0.749744622791391,0.25,lme4_trimmed
carbohydrateSDC,Coprococcus,-0.15599067570060526,1.458814636421366,1,0.25,lme4_trimmed
timepoint48H,Coprococcus,-0.21013766115755916,1.6368465012807933,0.999091130707619,0.25,lme4_trimmed
obesity_groupobesity,Coprococcus,-1.2408023390473464,1.0169494266433865,0.8809292188854939,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Coprococcus,2.394398580870934,1.9714946596254,0.477404697793843,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Coprococcus,2.2946000482312616,1.9694342905239857,0.8042732858318569,0.25,lme4_trimmed
carbohydrateRDC,Dialister,-1.3995946134564292,1.4608410843623134,0.7443957057407039,0.25,lme4_trimmed
carbohydrateSDC,Dialister,-0.26019102709991193,1.4643885122950628,1,0.25,lme4_trimmed
timepoint48H,Dialister,0.4768982891940508,1.644295105691846,0.9540343122920427,0.25,lme4_trimmed
obesity_groupobesity,Dialister,-1.1095778542908907,1.3959217327938034,0.9686120240589983,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Dialister,2.5636583869157836,1.9789846011020622,0.4715417367242593,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Dialister,1.8114005290544946,1.9768728465415653,0.828970832175285,0.25,lme4_trimmed
carbohydrateRDC,Dorea,-1.4438964039487896,1.230823898238582,0.7253007237614171,0.25,lme4_trimmed
carbohydrateSDC,Dorea,0.016610504217388643,1.2338994446036153,1,0.25,lme4_trimmed
timepoint48H,Dorea,-1.7029737173979544,1.3843363699622007,0.952950959982943,0.25,lme4_trimmed
obesity_groupobesity,Dorea,-1.276864351313655,0.8284557861591041,0.8451173309536377,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Dorea,2.8967186744787004,1.6675438294189533,0.4010129454201384,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Dorea,1.4472080953813136,1.6658068008982867,0.8248913176570823,0.25,lme4_trimmed
carbohydrateRDC,Eggerthella,-1.3617769482288427,1.2303569429348395,0.7333373799808081,0.25,lme4_trimmed
carbohydrateSDC,Eggerthella,-0.4238425116448316,1.2333126919227373,1,0.25,lme4_trimmed
timepoint48H,Eggerthella,6.109361353841088,1.3853378353885732,1.8309612642810236e-4,0.25,lme4_trimmed
obesity_groupobesity,Eggerthella,0.43503291897646396,1.4792432038961987,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Eggerthella,1.2732126529129406,1.6666975720790949,0.6315735470519821,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Eggerthella,0.5046767698450073,1.6649020441425768,0.9305845420452276,0.25,lme4_trimmed
carbohydrateRDC,Erysipelatoclostridium,-0.8898740546488738,1.4269941576966405,0.7875591700997117,0.25,lme4_trimmed
carbohydrateSDC,Erysipelatoclostridium,-0.39720005663884944,1.4304810210620715,1,0.25,lme4_trimmed
timepoint48H,Erysipelatoclostridium,0.9721177251871013,1.605906108634649,0.8741260712523138,0.25,lme4_trimmed
obesity_groupobesity,Erysipelatoclostridium,0.5113058127905064,1.2375986500573581,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Erysipelatoclostridium,1.0872145535691544,1.9331702922553253,0.7316085672812246,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Erysipelatoclostridium,0.87364058800611,1.9311184960952843,0.900526650188915,0.25,lme4_trimmed
carbohydrateRDC,Escherichia,-0.49320908734926217,1.4130895722677894,0.8465678455420487,0.25,lme4_trimmed
carbohydrateSDC,Escherichia,0.4301086078813987,1.416531763902341,1,0.25,lme4_trimmed
timepoint48H,Escherichia,11.919175421191001,1.5903995854572293,1.395932507317991e-10,0.25,lme4_trimmed
obesity_groupobesity,Escherichia,-0.2482624109377119,1.2825536605899976,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Escherichia,2.4735727864064545,1.9143146595315899,0.46668542215045206,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Escherichia,1.687048133558939,1.9122774480415135,0.8368287300505173,0.25,lme4_trimmed
carbohydrateRDC,Eubacterium,-1.3637241438980965,1.286917000838504,0.7253007237614171,0.25,lme4_trimmed
carbohydrateSDC,Eubacterium,0.046268443637984484,1.2901965791602372,1,0.25,lme4_trimmed
timepoint48H,Eubacterium,-1.8476642034465938,1.4468060718296065,0.946609448433697,0.25,lme4_trimmed
obesity_groupobesity,Eubacterium,-1.1629114240847342,0.7452920055825645,0.8443483526166803,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Eubacterium,1.8434104845833192,1.7436740456714406,0.5087325449558886,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Eubacterium,1.2038935317787867,1.7418858713284808,0.853463888618798,0.25,lme4_trimmed
carbohydrateRDC,Faecalibacterium,-0.6950231376025091,1.4376254814060971,0.8181123252975553,0.25,lme4_trimmed
carbohydrateSDC,Faecalibacterium,0.6216809391454861,1.4411447687052008,1,0.25,lme4_trimmed
timepoint48H,Faecalibacterium,0.23824069242878887,1.6177834949981944,0.9976506622660197,0.25,lme4_trimmed
obesity_groupobesity,Faecalibacterium,0.6760078588023254,1.2104935537826487,1,0.25,lme4_trimmed
carbohydrateRDC:timepoint48H,Faecalibacterium,3.467720488123355,1.9475839446625698,0.39585752642998756,0.25,lme4_trimmed
carbohydrateSDC:timepoint48H,Faecalibacterium,3.405213321472044,1.9455201508147428,0.6977106457259785,0.25,lme4_trimmed
carbohydrateRDC,Flavonifractor,-0.8744597873838115,1.3369622889227222,0.7943921891268558,0.25,lme4_trimmed
carbohydrateSDC,Flavonifractor,-0.10700530011933274,1.340303438443139,1,0.25,lme4_trimmed
