parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateRDC,Actinomyces,-1.3744745126937232,1.2338762214274983,0.7120788182613293,1,blmm
carbohydrateSDC,Actinomyces,-0.1180949677232982,1.2369726096925724,0.9995495627269416,1,blmm
timepoint48H,Actinomyces,-3.0948253470253957,1.387644322121477,0.5635669572955858,1,blmm
obesity_groupobesity,Actinomyces,-0.7629850748063208,0.809350621394514,0.8911427035738538,1,blmm
carbohydrateRDC:timepoint48H,Actinomyces,3.13925150493954,1.6717071675553117,0.4424271154353229,1,blmm
carbohydrateSDC:timepoint48H,Actinomyces,1.267897903516543,1.669971578668484,0.8950314479299321,1,blmm
carbohydrateRDC,Adlercreutzia,-0.7791126568848067,1.4024551818526803,0.7823094539066668,1,blmm
carbohydrateSDC,Adlercreutzia,-0.4273945680195669,1.4059131830713016,0.9999678688134166,1,blmm
timepoint48H,Adlercreutzia,-1.4660927910900445,1.5779018426379132,0.9664294822341407,1,blmm
obesity_groupobesity,Adlercreutzia,-2.9216023545720984,1.0848542898232538,0.256720430095866,1,blmm
carbohydrateRDC:timepoint48H,Adlercreutzia,1.3412723924810892,1.899983736541768,0.6843835099969869,1,blmm
carbohydrateSDC:timepoint48H,Adlercreutzia,1.2831864879317743,1.897982560789588,0.8992958526197927,1,blmm
carbohydrateRDC,Akkermansia,0.14006686062747575,1.5003378634557745,0.9334872354235266,1,blmm
carbohydrateSDC,Akkermansia,0.9853760623261021,1.5039518125900422,0.9995495627269416,1,blmm
timepoint48H,Akkermansia,6.964050358753638,1.689179064211157,5.548446659971615e-4,1,blmm
obesity_groupobesity,Akkermansia,-0.25397469641955117,1.6879867791934473,1,1,blmm
carbohydrateRDC:timepoint48H,Akkermansia,-0.27592291905774197,2.032441478385091,0.9660495222071631,1,blmm
carbohydrateSDC:timepoint48H,Akkermansia,-1.858084773550661,2.030257139817508,1,1,blmm
carbohydrateRDC,Alistipes,-0.6574030143226731,1.4007007868746908,0.824800615923407,1,blmm
carbohydrateSDC,Alistipes,0.34171867194215566,1.4042603162490215,0.9995495627269416,1,blmm
timepoint48H,Alistipes,9.974641848663879,1.5748295217118582,2.0288457592548596e-7,1,blmm
obesity_groupobesity,Alistipes,-0.6611699931704164,0.8341954069927612,0.9223659017587439,1,blmm
carbohydrateRDC:timepoint48H,Alistipes,0.3102612766318399,1.8978219185217624,0.8770013100878484,1,blmm
carbohydrateSDC:timepoint48H,Alistipes,-0.3901472116621087,1.8958711316065049,0.9736174967481124,1,blmm
carbohydrateRDC,Anaerostipes,-1.1169339367899218,1.3178172800120687,0.7114650304516987,1,blmm
carbohydrateSDC,Anaerostipes,0.02979772050671973,1.3210596413345723,0.9995495627269416,1,blmm
timepoint48H,Anaerostipes,-2.788315587019492,1.482756292710774,0.7171466516993994,1,blmm
obesity_groupobesity,Anaerostipes,-1.0534299565968712,1.0406917722357185,0.889669296283966,1,blmm
carbohydrateRDC:timepoint48H,Anaerostipes,1.7072392957310722,1.7853068497808853,0.5796803380880128,1,blmm
carbohydrateSDC:timepoint48H,Anaerostipes,1.7719743708342388,1.783423129475882,0.8722905715341834,1,blmm
carbohydrateRDC,Anaerotruncus,-0.4803248321262992,1.3642087555423816,0.8441763993284138,1,blmm
carbohydrateSDC,Anaerotruncus,0.34754661898180855,1.3675067940462513,0.9995495627269416,1,blmm
timepoint48H,Anaerotruncus,6.763064293242001,1.5357372516157106,3.7261006611542504e-4,1,blmm
obesity_groupobesity,Anaerotruncus,-1.1188698588836798,1.4160442326349933,0.9401235195350643,1,blmm
carbohydrateRDC:timepoint48H,Anaerotruncus,-0.8881342755369188,1.8480530374600188,0.983708180152263,1,blmm
carbohydrateSDC:timepoint48H,Anaerotruncus,-1.2726977646993944,1.8460732779302833,1,1,blmm
carbohydrateRDC,Bacteroides,-0.5124670749022221,1.414985149204987,0.8438928080624688,1,blmm
carbohydrateSDC,Bacteroides,0.029222821137199536,1.4184994431748916,0.9995495627269416,1,blmm
timepoint48H,Bacteroides,14.103729685152034,1.5917019817474836,1.1708949781974454e-13,1,blmm
obesity_groupobesity,Bacteroides,-0.511513368298812,1.0097418942059306,0.9743233666635596,1,blmm
carbohydrateRDC:timepoint48H,Bacteroides,1.141249512106353,1.9170069191379222,0.7182026591237716,1,blmm
carbohydrateSDC:timepoint48H,Bacteroides,0.7529432227314873,1.915000025526337,0.9282078190588395,1,blmm
carbohydrateRDC,Bifidobacterium,-1.1828852699529018,1.1319871103228436,0.7063809681738532,1,blmm
carbohydrateSDC,Bifidobacterium,0.12320729311276361,1.1348713885676922,0.9995495627269416,1,blmm
timepoint48H,Bifidobacterium,0.275363012029745,1.2726272766698505,0.9926715675159427,1,blmm
obesity_groupobesity,Bifidobacterium,-0.8287944183298553,0.6543693317701534,0.8286837954035202,1,blmm
carbohydrateRDC:timepoint48H,Bifidobacterium,4.310894800767846,1.5337543264953883,0.27751156584300973,1,blmm
carbohydrateSDC:timepoint48H,Bifidobacterium,3.252642971744566,1.5321813247358282,0.717065419149699,1,blmm
