taxon,lfc_(Intercept),lfc_carb_timeNo Added Carb_48H,lfc_carb_timeRDC_0H,lfc_carb_timeRDC_48H,lfc_carb_timeSDC_0H,lfc_carb_timeSDC_48H,lfc_obesity_groupobesity,se_(Intercept),se_carb_timeNo Added Carb_48H,se_carb_timeRDC_0H,se_carb_timeRDC_48H,se_carb_timeSDC_0H,se_carb_timeSDC_48H,se_obesity_groupobesity,W_(Intercept),W_carb_timeNo Added Carb_48H,W_carb_timeRDC_0H,W_carb_timeRDC_48H,W_carb_timeSDC_0H,W_carb_timeSDC_48H,W_obesity_groupobesity,p_(Intercept),p_carb_timeNo Added Carb_48H,p_carb_timeRDC_0H,p_carb_timeRDC_48H,p_carb_timeSDC_0H,p_carb_timeSDC_48H,p_obesity_groupobesity,q_(Intercept),q_carb_timeNo Added Carb_48H,q_carb_timeRDC_0H,q_carb_timeRDC_48H,q_carb_timeSDC_0H,q_carb_timeSDC_48H,q_obesity_groupobesity,diff_(Intercept),diff_carb_timeNo Added Carb_48H,diff_carb_timeRDC_0H,diff_carb_timeRDC_48H,diff_carb_timeSDC_0H,diff_carb_timeSDC_48H,diff_obesity_groupobesity,passed_ss_(Intercept),passed_ss_carb_timeNo Added Carb_48H,passed_ss_carb_timeRDC_0H,passed_ss_carb_timeRDC_48H,passed_ss_carb_timeSDC_0H,passed_ss_carb_timeSDC_48H,passed_ss_obesity_groupobesity
Acetanaerobacterium,-0.22604582856296637,0,0,0.12915364563583628,0,0.1590378443275889,0.09581459604236113,0.32148845549973637,0.4681175019057118,0.41486775666312026,0.30061914555160746,0.4132764341113591,0.3057142660202884,0.32906566591830216,-0.7031226928867178,0,0,0.4296254830970651,0,0.5202172813127227,0.2911716595378541,0.49895989370891825,1,1,0.6881450660066786,1,0.6084212764896184,0.7738370648709578,0.9605858793945383,1,1,0.8095824305960925,1,0.7810783984839001,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Actinomyces,0.029529076340113192,-0.7640874213575493,-0.03197131666284983,-0.7000220132609546,0.06656275203271436,-0.789986700479939,0.07471780973137802,0.32210066323014575,0.4062042442919039,0.2858922327975343,0.3269245740589559,0.2818454996522845,0.3579935517726315,0.28217147245853647,0.09167654622000647,-1.8810424363967642,-0.1118299589674112,-2.141233999542403,0.2361675177174497,-2.2067065078917247,0.26479576082007156,0.9274151756326134,0.06220724178682651,0.9111444267388102,0.03416042723765177,0.8137043115255868,0.029124735757413055,0.7959377603381268,0.9926337278728866,0.19140689780562004,1,0.1242197354096428,1,0.11095137431395449,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Adlercreutzia,0.25774058341445383,-0.7368025660249776,0.06521211494545777,-1.2227975872242989,0.17441888578059025,-0.9407440648037146,-0.3825423552977,0.3871919535088148,0.44456577982714474,0.3335677854030929,0.38716623726447746,0.3346406868203801,0.3870719760755118,0.37097906742430786,0.6656661665583556,-1.6573533084608083,0.19549883951369457,-3.158327017004307,0.5212124306755633,-2.4304111972709435,-1.0311696504971979,0.5106030991561153,0.10011150338371566,0.8453437851982487,0.0020211780871491726,0.6032038556572358,0.016603155884226548,0.32403534332341155,0.9605858793945383,0.2502305849059519,1,0.012438018997841064,1,0.07813249827871317,0.984922689747989,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Akkermansia,-0.6591912485483459,1.4258660156005567,-0.15303788624214396,0.9164213393414461,-0.3139049684569659,1.0893269204041496,0.20013789082296501,0.527959750919401,0.5983290280618165,0.5368572467797365,0.5357789105597569,0.5339134390338688,0.5410325101131652,0.36714398309445806,-1.2485634509077925,2.383080126029324,-0.28506253228417877,1.7104468303614484,-0.5879323229341926,2.013422299107867,0.5451209880551793,0.21386179812955983,0.01820421435202502,0.7759253862781506,0.08887186609537416,0.5573190857871604,0.04554656427993214,0.594796506843857,0.7354807262116696,0.09181296181221263,1,0.2221796652384354,1,0.16562387010884413,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Alistipes,-1.265713617308358,1.7237007498187327,-0.32308444230604005,1.5119626085529478,-0.49641627457968446,1.466896859159499,-0.1031477191382054,0.6419902392572264,0.6766677629853509,0.6827070271544774,0.639400604445881,0.669060752208821,0.640672075770469,0.33302621348522377,-1.9715465125650051,2.547336882451793,-0.47324024721505487,2.3646562077670366,-0.7419599385269989,2.28962196829855,-0.3097285287507316,0.05092462554202807,0.012195958867848126,0.6369858381330573,0.019755901128576395,0.45971371377814507,0.0239015199418789,0.761730872042028,0.3773490811956549,0.06969119353056072,1,0.08109017894935643,1,0.0956060797675156,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Anaerococcus,0.6666762188850074,-1.213698745357931,-0.29282786650433534,-1.2498619505574393,0.06699616355579663,-1.169794916245272,0.3727151925469618,0.68438796693221,0.6308556826238385,0.6262378835570979,0.5982283107890835,0.7133476613991008,0.6145749606003811,0.5868545685773815,0.9741203105504673,-1.9238928629602683,-0.467598454505885,-2.0892724868016175,0.09391796900882232,-1.903421049081619,0.6351065706968528,0.33582571137863204,0.06105447411231739,0.6425484634621953,0.04267547694366925,0.9256320042020374,0.06370311271852884,0.5396838129903134,0.8420348558127668,0.19140689780562004,1,0.1365615262197416,1,0.2038499606992923,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Anaerofilum,-0.20100918199060466,0,0,-0.14888521426691703,0,0.045319308531560284,-0.05615653971433378,0.3543611277668407,0.4681175019057118,0.41486775666312026,0.35869897686645175,0.4132764341113591,0.3793980017420856,0.4433020451036207,-0.5672438826948955,0,0,-0.41507008346541485,0,0.11945057254773922,-0.12667782685551865,0.5793541294604195,1,1,0.6863787530653237,1,0.9060543027856898,0.9002754477388017,0.9605858793945383,1,1,0.8095824305960925,1,0.9292864643955792,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Anaerostipes,1.0275323865012242,-2.263401354906033,0.07983657278626843,-1.8314421880293716,0.007896299266241255,-1.7319501416182266,-0.3262292172858389,0.4053443145262728,0.4641138895160058,0.3749840297469455,0.3976596073160873,0.37241051067699577,0.3957449467184037,0.35095906504443203,2.534961882226237,-4.876823137670772,0.21290659455589456,-4.60555247335849,0.02120321269098117,-4.376430213398563,-0.9295363755443609,0.013390530077225488,1.979060969616854e-6,0.8315850116517991,6.704237283534907e-6,0.9831016049452422,1.8065873260514834e-5,0.3689253923674676,0.1530346294540056,3.166497551386966e-5,1,8.93898304471321e-5,1,2.8905397216823735e-4,0.984922689747989,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Anaerotruncus,-1.2284417282874645,1.2747003664422045,0.08641874568896755,1.2142114933179213,0.005621239269171107,1.452293867014319,-0.41554229428852385,0.6700831038720912,0.6510256693603379,0.6304162964445263,0.6183581693799549,0.6225163765076638,0.6164096455908131,0.5560832379120847,-1.8332677263295918,1.9579878742640904,0.13708203004325728,1.9636054853701461,0.009029865689166982,2.3560531172777672,-0.7472663550312229,0.0710106364359527,0.05369195391284964,0.8913106182584065,0.05303121885228962,0.9928180475261975,0.020904656626964693,0.4683110228494146,0.39690019508285146,0.18675462230556394,1,0.15368619223614766,1,0.08801960685037764,0.984922689747989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Bacteroides,-2.959727196289402,3.874041604896773,-0.11959058417098027,3.668629475728624,0.028155638457498335,3.839426104576714,-0.09723188563313077,0.6332873733233894,0.5973746879247689,0.5769715753796262,0.5496074447798459,0.5866676341150591,0.5528444597631665,0.5389682082824827,-4.673592623136056,6.485111745117422,-0.20727292170726788,6.674999603031492,0.04799248641007587,6.944857702330035,-0.18040374949568425,1.1730561769668899e-5,1.1376316712190253e-9,0.8360729302311146,4.192303897558948e-10,0.9617850339841734,9.885849285176488e-11,0.8594229950964497,8.049848832397893e-4,9.101053369752202e-8,1,3.3538431180471587e-8,1,7.90867942814119e-9,0.984922689747989,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
