feature,effect,maaslin_coef,maaslin_q,maaslin_joint_q,aldex_est,aldex_q,ancom_lfc,ancom_se,ancom_q,dir_maaslin,dir_aldex,dir_ancom,concordant_maaslin_aldex,concordant_all3
Carnobacterium,timepoint48H,22.548914108972063,1.400954511123978e-10,7.58601964002239e-11,NA,NA,0,0.4681175019057118,1,1,NA,0,FALSE,FALSE
Negativicoccus,timepoint48H,18.63545542197895,9.536834806093944e-9,5.164094591810445e-9,NA,NA,0,0.4681175019057118,1,1,NA,0,FALSE,FALSE
Odoribacter,timepoint48H,18.65243183461728,1.6598257093186717e-8,8.987779638757488e-9,NA,NA,0,0.4681175019057118,1,1,NA,0,FALSE,FALSE
Megasphaera,carbohydrateRDC,20.385610224285166,1.845024038993799e-6,1.998121768594924e-6,NA,NA,0,0.41486775666312026,1,1,NA,0,FALSE,FALSE
Megasphaera,carbohydrateSDC,20.20851962864628,1.845024038993799e-6,1.998121768594924e-6,NA,NA,0.9784348530560373,2.752432491572248,1,1,NA,1,FALSE,FALSE
Prevotella,carbohydrateSDC:timepoint48H,18.088282888629788,1.8291231269805378e-5,1.697915411459096e-5,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Holdemania,timepoint48H,9.472102500106848,2.4841928981741933e-5,1.5693580312401862e-5,6.085632760771216,0.00119823372744826,0,0.4681175019057118,1,1,1,0,TRUE,FALSE
Clostridium,timepoint48H,5.356919897742121,7.887020867802863e-5,8.541472207535557e-5,7.647137353725004,7.274901489450928e-6,2.5157870726357157,0.5109229069609075,3.166497551386966e-5,1,1,1,TRUE,TRUE
Sutterella,timepoint48H,20.98784525426097,3.8534552201020935e-4,2.2037651000571232e-4,NA,NA,0,0.4681175019057118,1,1,NA,0,FALSE,FALSE
Prevotella,carbohydrateRDC:timepoint48H,15.85448571603442,5.292009208011591e-4,5.731110790753599e-4,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Megasphaera,timepoint48H,18.286687959972497,8.15884946959859e-4,8.835802864053478e-4,NA,NA,0,0.4681175019057118,1,1,NA,0,FALSE,FALSE
