feature,metadata,value,maaslin_coef,maaslin_q,maaslin_joint_q,key,parameter,aldex_est,aldex_q,s_var,key_guess
Holdemania,timepoint,48H,9.472102500106848,2.4841928981741933e-5,1.5693580312401862e-5,Holdemania||timepoint||48H,timepoint48H,6.085632760771216,0.00119823372744826,0.25,Holdemania||timepoint48H
Holdemania,timepoint,48H,9.472102500106848,2.4841928981741933e-5,1.5693580312401862e-5,Holdemania||timepoint||48H,carbohydrateRDC:timepoint48H,2.109930663713581,0.5559455837316807,0.25,Holdemania||carbohydrateRDC:timepoint48H
Holdemania,timepoint,48H,9.472102500106848,2.4841928981741933e-5,1.5693580312401862e-5,Holdemania||timepoint||48H,carbohydrateSDC:timepoint48H,0.9417424799600383,0.931441615881348,0.25,Holdemania||carbohydrateSDC:timepoint48H
Clostridium,timepoint,48H,5.356919897742121,7.887020867802863e-5,8.541472207535557e-5,Clostridium||timepoint||48H,timepoint48H,7.647137353725004,7.274901489450928e-6,0.25,Clostridium||timepoint48H
Clostridium,timepoint,48H,5.356919897742121,7.887020867802863e-5,8.541472207535557e-5,Clostridium||timepoint||48H,carbohydrateRDC:timepoint48H,1.750037571161022,0.5701678809700003,0.25,Clostridium||carbohydrateRDC:timepoint48H
Clostridium,timepoint,48H,5.356919897742121,7.887020867802863e-5,8.541472207535557e-5,Clostridium||timepoint||48H,carbohydrateSDC:timepoint48H,0.5259839102344607,0.962559428100742,0.25,Clostridium||carbohydrateSDC:timepoint48H
Erysipelatoclostridium,timepoint,48H,4.628143766283849,0.00238112201779064,0.00245584682067949,Erysipelatoclostridium||timepoint||48H,timepoint48H,0.8860858713225639,0.9051067140072516,0.25,Erysipelatoclostridium||timepoint48H
Erysipelatoclostridium,timepoint,48H,4.628143766283849,0.00238112201779064,0.00245584682067949,Erysipelatoclostridium||timepoint||48H,carbohydrateRDC:timepoint48H,1.1953445588853624,0.7109901671514894,0.25,Erysipelatoclostridium||carbohydrateRDC:timepoint48H
Erysipelatoclostridium,timepoint,48H,4.628143766283849,0.00238112201779064,0.00245584682067949,Erysipelatoclostridium||timepoint||48H,carbohydrateSDC:timepoint48H,0.8941558931781904,0.9421837545947116,0.25,Erysipelatoclostridium||carbohydrateSDC:timepoint48H
Eggerthella,timepoint,48H,3.9867718441269058,0.00399600122698986,0.00432736354541409,Eggerthella||timepoint||48H,timepoint48H,6.001402855084357,2.696016409168944e-4,0.25,Eggerthella||timepoint48H
Eggerthella,timepoint,48H,3.9867718441269058,0.00399600122698986,0.00432736354541409,Eggerthella||timepoint||48H,carbohydrateRDC:timepoint48H,1.5198623005662066,0.5971415480934426,0.25,Eggerthella||carbohydrateRDC:timepoint48H
Eggerthella,timepoint,48H,3.9867718441269058,0.00399600122698986,0.00432736354541409,Eggerthella||timepoint||48H,carbohydrateSDC:timepoint48H,0.5532768959900318,0.9490780948917944,0.25,Eggerthella||carbohydrateSDC:timepoint48H
Bacteroides,timepoint,48H,6.524628581838714,0.00858778793771199,4.173198894929027e-4,Bacteroides||timepoint||48H,timepoint48H,14.08098388665732,4.8238323058225063e-14,0.25,Bacteroides||timepoint48H
Bacteroides,timepoint,48H,6.524628581838714,0.00858778793771199,4.173198894929027e-4,Bacteroides||timepoint||48H,carbohydrateRDC:timepoint48H,1.2380558501074654,0.7072771115791358,0.25,Bacteroides||carbohydrateRDC:timepoint48H
Bacteroides,timepoint,48H,6.524628581838714,0.00858778793771199,4.173198894929027e-4,Bacteroides||timepoint||48H,carbohydrateSDC:timepoint48H,0.7554577454962714,0.9474034718684816,0.25,Bacteroides||carbohydrateSDC:timepoint48H
Bifidobacterium,carbohydrate,SDC:timepoint48H,3.276407949966832,0.07453893945839182,0.08483796037425158,Bifidobacterium||carbohydrate||SDC:timepoint48H,carbohydrateRDC,-1.1656085072826874,0.7064618251521337,0.25,Bifidobacterium||carbohydrateRDC
Bifidobacterium,carbohydrate,SDC:timepoint48H,3.276407949966832,0.07453893945839182,0.08483796037425158,Bifidobacterium||carbohydrate||SDC:timepoint48H,carbohydrateSDC,0.1330734720974961,1,0.25,Bifidobacterium||carbohydrateSDC
Bifidobacterium,carbohydrate,SDC:timepoint48H,3.276407949966832,0.07453893945839182,0.08483796037425158,Bifidobacterium||carbohydrate||SDC:timepoint48H,timepoint48H,0.26836987607150836,0.9991158330782032,0.25,Bifidobacterium||timepoint48H
