feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
Carnobacterium,timepoint,48H,timepoint48H,22.548914108972063,0,1.9528548854875645,1.4903771394935935e-13,1.400954511123978e-10,1.4903771394935935e-13,7.586019640022391e-11,NA,linear,289,50
Negativicoccus,timepoint,48H,timepoint48H,18.63545542197895,0,2.156181722632808,2.0291137885306267e-11,9.536834806093945e-9,2.0291137885306267e-11,5.164094591810445e-9,NA,linear,289,59
Odoribacter,timepoint,48H,timepoint48H,18.652431834617282,0,2.044836968126586,5.297316093570229e-11,1.6598257093186717e-8,5.297316093570229e-11,8.987779638757488e-9,NA,linear,289,54
Megasphaera,carbohydrate,RDC,carbohydrateRDC,20.385610224285166,0,2.434285667852556,9.813957654222335e-9,1.845024038993799e-6,1.9627915212130883e-8,1.998121768594924e-6,NA,linear,289,31
Megasphaera,carbohydrate,SDC,carbohydrateSDC,20.208519628646282,0,2.3964249233900694,9.192559128484608e-9,1.845024038993799e-6,1.8385118172466013e-8,1.998121768594924e-6,NA,linear,289,31
Prevotella,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,18.088282888629788,0,2.0318268047728085,1.1675254002003433e-7,1.8291231269805378e-5,2.3350506640891302e-7,1.697915411459096e-5,NA,linear,289,24
Holdemania,timepoint,48H,timepoint48H,9.472102500106848,0,1.614056014277772,1.8499308816190801e-7,2.4841928981741933e-5,1.8499308816190801e-7,1.5693580312401862e-5,NA,linear,289,75
Clostridium,timepoint,48H,timepoint48H,5.356919897742121,0,1.0564808401077037,8.390447731705173e-7,7.887020867802863e-5,1.6780888423449032e-6,8.541472207535557e-5,NA,linear,289,239
Sutterella,timepoint,48H,timepoint48H,20.98784525426097,0,4.031883827646623,5.195516935301666e-6,3.8534552201020935e-4,5.195516935301666e-6,2.2037651000571232e-4,NA,linear,289,57
Prevotella,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,15.854485716034421,0,2.402309262639697,7.881715841719391e-6,5.292009208011591e-4,1.5763369561994184e-5,5.731110790753599e-4,NA,linear,289,24
Megasphaera,timepoint,48H,timepoint48H,18.286687959972497,0,3.402667445926286,1.3019440642976473e-5,8.15884946959859e-4,2.603871178011831e-5,8.835802864053478e-4,NA,linear,289,31
Erysipelatoclostridium,timepoint,48H,timepoint48H,4.628143766283849,0,1.0974187585170259,5.0662170591290386e-5,0.002381122017790648,1.0132177452705172e-4,0.0024558468206794916,NA,linear,289,118
Prevotella,timepoint,48H,timepoint48H,-11.754010046535146,0,2.224559658012085,7.258639088153718e-5,0.003101418519483861,1.451675129789331e-4,0.00321262017853378,NA,linear,289,24
Paraclostridium,timepoint,48H,timepoint48H,22.591554026693327,0,5.220410270330374,8.267491248359177e-5,0.0033788877275902724,8.267491248359177e-5,0.0021040786246275633,NA,linear,289,64
Eggerthella,timepoint,48H,timepoint48H,3.9867718441269053,0,1.0050779402001062,1.0202556324229452e-4,0.003996001226989869,2.0404071726903402e-4,0.004327363545414097,NA,linear,289,212
Enterobacter,timepoint,48H,timepoint48H,24.333814875381346,0,4.514794806540029,1.6205886550228114e-4,0.005859051291236319,3.240914679286742e-4,0.006344713737526737,NA,linear,289,25
Bacteroides,timepoint,48H,timepoint48H,6.524628581838714,0,1.7400083403388489,2.4667050459385503e-4,0.008587787937711991,1.0658464761115393e-5,4.173198894929027e-4,NA,linear,289,173
Paeniclostridium,timepoint,48H,timepoint48H,18.68123367368119,0,3.263148190208362,5.484899857631756e-4,0.017778640917840864,5.484899857631756e-4,0.010340051953831718,NA,linear,289,17
Finegoldia,timepoint,48H,timepoint48H,6.477738072315534,0,1.8318026224109238,0.0012641982852270933,0.034951364356278464,0.0018151523428283592,0.02887226695311359,NA,linear,289,45
Lactobacillus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,9.033656374681655,0,2.7106947947981928,0.0016787954492469457,0.04265047898086835,0.00335477254433348,0.04743275625182615,NA,linear,289,63
Christensenella,timepoint,48H,timepoint48H,15.118113657170705,0,2.369361617219005,0.001909651187985647,0.047238739913329164,0.001909651187985647,0.029454922869233163,NA,linear,289,15
Bifidobacterium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,3.276407949966832,0,1.1003285309222457,0.003171869764186886,0.07453893945839182,0.006333678770572809,0.08483796037425158,NA,linear,289,287
f__Prevotellaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,11.794871236275801,0,3.717278794128095,0.0035551661054960128,0.07956800331348218,0.007097693004954357,0.08657177746667029,NA,linear,289,36
Paenibacillus,timepoint,48H,timepoint48H,2.8427980428410775,0,0.9730891874943072,0.004076989116946588,0.0891248783704603,6.417108472429271e-4,0.011665386473094638,NA,linear,289,155
Terrisporobacter,obesity_group,obesity,obesity_groupobesity,-1.7111599303123417,0,0.6129980947221422,0.006051410599519267,0.12102821199038534,0.012066201628794557,0.12534074753176389,NA,linear,289,135
Fusicatenibacter,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,3.7765989941367994,0,1.372188082519008,0.006379912083301698,0.12493994496465824,0.012719120888412734,0.12948065064404163,NA,linear,289,256
Bifidobacterium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,3.0155901908511544,0,1.1048783943701748,0.006768771096391064,0.12919080573337732,0.013491725930626796,0.13465271566056938,NA,linear,289,287
Carnobacterium,carbohydrate,RDC,carbohydrateRDC,-1.968961630982112,0,0.6889156932472048,0.00709074494629107,0.12919080573337732,0.00709074494629107,0.08657177746667029,NA,linear,289,50
Lachnoclostridium,timepoint,48H,timepoint48H,2.68765676278415,0,0.9937041046862956,0.007284162450924467,0.12919080573337732,0.014515265879237474,0.1394013270289033,NA,linear,289,279
Sutterella,carbohydrate,SDC,carbohydrateSDC,3.582176195545365,0,1.2716576163109297,0.007143447256581832,0.12919080573337732,0.007143447256581832,0.08657177746667029,NA,linear,289,57
Turicibacter,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,3.3764061601880244,0,1.258617522488413,0.007979958742083036,0.13891039291774174,0.01589623774264073,0.14983675946303948,NA,linear,289,202
Lachnospira,timepoint,48H,timepoint48H,4.5685054385161425,0,1.5711964017698457,0.008703858169644954,0.1461004764190403,0.017331959192252618,0.15753512908672468,NA,linear,289,27
Carnobacterium,carbohydrate,SDC,carbohydrateSDC,-1.8569886811215686,0,0.6889156932472047,0.010675543668246898,0.17008493301952685,0.010675543668246898,0.11561386653484407,NA,linear,289,50
Paraclostridium,carbohydrate,RDC,carbohydrateRDC,3.988196549141153,0,1.500123716780739,0.010650383999023644,0.17008493301952685,0.010650383999023644,0.11561386653484407,NA,linear,289,64
Sutterella,carbohydrate,RDC,carbohydrateRDC,3.6083202114007937,0,1.379442515194884,0.01202773820906253,0.18843456527531297,0.01202773820906253,0.12534074753176389,NA,linear,289,57
Escherichia,timepoint,48H,timepoint48H,4.353042902984831,0,1.7292564217055229,0.012797098231848037,0.19568473112105667,4.2554919188920114e-5,0.0012033585481755745,NA,linear,289,181
Enterobacter,carbohydrate,SDC,carbohydrateSDC,5.596263951976778,0,2.065268943616691,0.01372416358151371,0.20157365260348262,0.02725997449701528,0.23125545031634626,NA,linear,289,25
Intestinibacter,timepoint,48H,timepoint48H,2.5203259511572793,0,1.0285457825376672,0.015106281780491646,0.21578102522043596,0.029984363811751683,0.24687834146417656,NA,linear,289,224
Roseburia,timepoint,48H,timepoint48H,2.4816060827166173,0,1.034540922092716,0.017395639122755623,0.24046912904985715,0.03448866998502209,0.27007281572886527,NA,linear,289,205
Parabacteroides,timepoint,48H,timepoint48H,5.48385740368631,0,2.284273200345534,0.01770526818872549,0.24120220431017333,5.141771691609442e-7,3.2714522387865074e-5,NA,linear,289,149
Lactobacillus,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,6.603746903250076,0,2.723141711026617,0.019095942032645474,0.2528195142350246,0.037827229063176794,0.2873740237784625,NA,linear,289,63
Gordonibacter,timepoint,48H,timepoint48H,2.1604395078353025,0,0.9110184854144631,0.019538480385316293,0.2550857161416294,0.03869520855486521,0.28964501697685874,NA,linear,289,113
f__Ruminococcaceae,timepoint,48H,timepoint48H,2.0110227902607427,0,0.8609952579225094,0.02024782588841285,0.26072542924805586,0.04008567732361823,0.29570448924234316,NA,linear,289,274
Solobacterium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,8.3885494245362,0,3.481567607692526,0.020971821150053884,0.2663988092033872,0.041503825017757935,0.301792099057697,NA,linear,289,51
Dorea,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.3757329995399923,0,1.051903917265822,0.024775370867714887,0.30643221862699993,0.04893692273379697,0.345956856548648,NA,linear,289,270
Turicibacter,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.8191386816438233,0,1.2668785505835618,0.027293269358356673,0.3128740633762838,0.05384161616444555,0.3605971398381945,NA,linear,289,202
Varibaculum,obesity_group,obesity,obesity_groupobesity,2.489527949694653,0,1.0065130436391179,0.026807149993543698,0.3128740633762838,0.052895676696311046,0.3605971398381945,NA,linear,289,21
f__Coriobacteriaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,4.248601065671028,0,1.901797629769237,0.027743196615825336,0.3142000580587448,0.054716708273186344,0.36169875988379024,NA,linear,289,110
Faecalitalea,timepoint,48H,timepoint48H,4.011735308032374,0,1.7943825348366857,0.028979894683973488,0.3185781025963153,0.05711995507205278,0.3654842409600996,NA,linear,289,69
Succiniclasticum,timepoint,48H,timepoint48H,3.040648212054404,0,1.292477240835541,0.029146507258811825,0.3185781025963153,0.0574434956322357,0.3654842409600996,NA,linear,289,30
Paraclostridium,carbohydrate,SDC,carbohydrateSDC,3.2697671580404384,0,1.4748358264589119,0.031458714594093815,0.3360362695278203,0.031458714594093815,0.2501950895061524,NA,linear,289,64
Dialister,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,4.383413658685289,0,2.0135666915548485,0.03375410047101443,0.35650398250284904,0.06636886164342153,0.41197256800611654,NA,linear,289,76
Escherichia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,4.234863356986472,0,1.9954045944840986,0.03535914105577467,0.3693065843603133,0.06946801325534717,0.4260146836984543,NA,linear,289,181
Enterobacter,carbohydrate,RDC,carbohydrateRDC,4.705300856899119,0,2.1012576422238833,0.036936888003883034,0.37739863830054404,0.07250944231235468,0.4342036016116298,NA,linear,289,25
Turicibacter,obesity_group,obesity,obesity_groupobesity,-1.2648528520611078,0,0.5201845452456783,0.038380692107919494,0.3879338772198314,0.07528830668915606,0.4456017221486097,NA,linear,289,202
Faecalibacterium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.8973208369806276,0,1.4296131109480343,0.043824107281232864,0.4246872251995762,0.08572766218346872,0.47429760925419107,NA,linear,289,256
Ruminiclostridium,timepoint,48H,timepoint48H,1.903514793949382,0,0.9453625330836913,0.04534450908126787,0.43054382359991716,0.08863289365871457,0.47993769013069915,NA,linear,289,225
Escherichia,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,4.046117968719665,0,2.0222583231250115,0.047102143092674464,0.44276014507114,0.09198567430142615,0.4928495602044833,NA,linear,289,181
Faecalibacterium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.7914129647887242,0,1.4115096847562183,0.04913884434592624,0.455561682517572,0.09586306266819933,0.5082739468553485,NA,linear,289,256
Phascolarctobacterium,timepoint,48H,timepoint48H,5.829138249856228,0,2.891670964885434,0.04943328895403441,0.455561682517572,0.0532449040473801,0.3605971398381945,NA,linear,289,55
Akkermansia,timepoint,48H,timepoint48H,2.5153129789230126,0,1.2890012948045855,0.05255764059332168,0.47504021305502286,0.006694728618287695,0.08657177746667029,NA,linear,289,195
Peptococcus,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,3.340123016554901,0,1.6542854387182213,0.05493528963935154,0.49180164058086145,0.10685269323094362,0.5493739480257606,NA,linear,289,40
Dorea,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.9697977047067932,0,1.0576750834693822,0.0637179219749703,0.5494940060226796,0.12337587036913218,0.6096924079406629,NA,linear,289,270
Collinsella,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.405306640538989,0,1.294946002543646,0.06460308010466097,0.5520626845307391,0.1250326022503127,0.6119384090904728,NA,linear,289,237
Enterococcus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,8.297952375366167,0,4.370131454699261,0.06586002307984386,0.5577335287842633,0.12738250351961014,0.6175018503950624,NA,linear,289,47
Lactococcus,obesity_group,obesity,obesity_groupobesity,1.253801717699337,0,0.5886029187540973,0.06810279490247707,0.5665188248524641,0.1315675991314253,0.6317727165839195,NA,linear,289,118
Blautia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.9237935078158204,0,1.0669122581655517,0.07249534560654854,0.5864586629776709,0.07249534560654854,0.4342036016116298,NA,linear,289,285
Clostridium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.3069359094335136,0,1.2808767146904791,0.07307171363260266,0.5864586629776709,0.14080395193200027,0.6562340789897076,NA,linear,289,239
Collinsella,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.3245614307710407,0,1.2930633172966928,0.0736192789695374,0.5864586629776709,0.14181875970308025,0.6562340789897076,NA,linear,289,237
Varibaculum,timepoint,48H,timepoint48H,4.499941385929484,0,2.319248015775479,0.07276203814602401,0.5864586629776709,0.14022976209688456,0.6562340789897076,NA,linear,289,21
Catenibacterium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,5.78241768849575,0,3.21314659973247,0.07796668152903487,0.6107390053107731,0.14985455962941982,0.6750085916050858,NA,linear,289,59
Paraclostridium,obesity_group,obesity,obesity_groupobesity,3.2869179022974317,0,1.6499334754056594,0.07895304301376384,0.6133542184540332,0.07895304301376384,0.4516752957710074,NA,linear,289,64
Succiniclasticum,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.262694037329179,0,1.244172569536565,0.08572274685421151,0.6395189051028478,0.16409710438019182,0.7093404816207732,NA,linear,289,30
