"feature","metadata","value","name","coef","null_hypothesis","stderr","pval_individual","qval_individual","pval_joint","qval_joint","error","model","N","N_not_zero"
"Bacteroides","timepoint","48H","timepoint48H",6.52462858183871,0,1.74000834033885,0.000246670504593855,0.00740011513781565,1.06584647611154e-05,0.000319753942833462,NA,"linear",289,173
"Bifidobacterium","carbohydrate","SDC:timepoint48H","carbohydrateSDC:timepoint48H",3.27640794996683,0,1.10032853092225,0.00317186976418689,0.0634373952837377,0.00633367877057281,0.0950051815585921,NA,"linear",289,287
"Bifidobacterium","carbohydrate","RDC:timepoint48H","carbohydrateRDC:timepoint48H",3.01559019085115,0,1.10487839437017,0.00676877109639106,0.0812252531566928,0.0134917259306268,0.101187944479701,NA,"linear",289,287
"Fusicatenibacter","carbohydrate","SDC:timepoint48H","carbohydrateSDC:timepoint48H",3.7765989941368,0,1.37218808251901,0.0063799120833017,0.0812252531566928,0.0127191208884127,0.101187944479701,NA,"linear",289,256
"Roseburia","timepoint","48H","timepoint48H",2.48160608271662,0,1.03454092209272,0.0173956391227556,0.173956391227556,0.0344886699850221,0.206932019910133,NA,"linear",289,205
"Faecalibacterium","carbohydrate","RDC:timepoint48H","carbohydrateRDC:timepoint48H",2.89732083698063,0,1.42961311094803,0.0438241072812329,0.368541332594447,0.0857276621834687,0.410841697149426,NA,"linear",289,256
"Faecalibacterium","carbohydrate","SDC:timepoint48H","carbohydrateSDC:timepoint48H",2.79141296478872,0,1.41150968475622,0.0491388443459262,0.368541332594447,0.0958630626681993,0.410841697149426,NA,"linear",289,256
"Bacteroides","carbohydrate","RDC","carbohydrateRDC",-0.83246479140179,0,1.85838777077395,0.654814260796255,0.990664019337478,0.880846805450364,0.998673072661943,NA,"linear",289,173
"Bacteroides","carbohydrate","RDC:timepoint48H","carbohydrateRDC:timepoint48H",1.99908183490698,0,2.02320518970621,0.324656061477968,0.990664019337478,0.543910564701549,0.998673072661943,NA,"linear",289,173
"Bacteroides","carbohydrate","SDC","carbohydrateSDC",0.512859608235766,0,1.90250288446885,0.787849854970607,0.990664019337478,0.954992315964007,0.998673072661943,NA,"linear",289,173
"Bacteroides","carbohydrate","SDC:timepoint48H","carbohydrateSDC:timepoint48H",1.02520578421792,0,2.06194658295695,0.619754373650564,0.990664019337478,0.736651032027581,0.998673072661943,NA,"linear",289,173
"Bacteroides","obesity_group","obesity","obesity_groupobesity",-0.158763381049254,0,0.849856681222113,0.854473447333849,0.990664019337478,0.956528311963109,0.998673072661943,NA,"linear",289,173
"Bifidobacterium","carbohydrate","RDC","carbohydrateRDC",0.169574623476256,0,0.817612871761412,0.835854200086238,0.990664019337478,0.7067984625502,0.998673072661943,NA,"linear",289,287
"Bifidobacterium","carbohydrate","SDC","carbohydrateSDC",0.157071469108271,0,0.815071000310449,0.847333655931924,0.990664019337478,0.976692987388888,0.998673072661943,NA,"linear",289,287
"Bifidobacterium","obesity_group","obesity","obesity_groupobesity",-0.374312082563422,0,0.672454305340311,0.586666080526333,0.990664019337478,0.68215757886282,0.998673072661943,NA,"linear",289,287
"Bifidobacterium","timepoint","48H","timepoint48H",0.293564238388772,0,0.914934931635732,0.748568262118934,0.990664019337478,0.936782081186107,0.998673072661943,NA,"linear",289,287
"Faecalibacterium","carbohydrate","RDC","carbohydrateRDC",0.165511736050976,0,1.03555866455307,0.873153237912078,0.990664019337478,0.976573215356664,0.998673072661943,NA,"linear",289,256
"Faecalibacterium","carbohydrate","SDC","carbohydrateSDC",0.286356872695599,0,1.03185117948793,0.781626308357334,0.990664019337478,0.710458657022356,0.998673072661943,NA,"linear",289,256
"Faecalibacterium","obesity_group","obesity","obesity_groupobesity",1.00472320951667,0,0.803076662411814,0.232535411026999,0.990664019337478,0.410998104672503,0.998673072661943,NA,"linear",289,256
"Faecalibacterium","timepoint","48H","timepoint48H",0.65664507928822,0,1.19341439872306,0.582683341036224,0.990664019337478,0.757878888486638,0.998673072661943,NA,"linear",289,256
"Fusicatenibacter","carbohydrate","RDC","carbohydrateRDC",0.303209153624781,0,0.970381377638456,0.754965558143697,0.990664019337478,0.853847888904091,0.998673072661943,NA,"linear",289,256
"Fusicatenibacter","carbohydrate","RDC:timepoint48H","carbohydrateRDC:timepoint48H",1.13753208448617,0,1.39225337421741,0.414726595469744,0.990664019337478,0.627644599286402,0.998673072661943,NA,"linear",289,256
"Fusicatenibacter","carbohydrate","SDC","carbohydrateSDC",0.17239041684022,0,0.964740927797992,0.858334537436838,0.990664019337478,0.789227000970314,0.998673072661943,NA,"linear",289,256
"Fusicatenibacter","obesity_group","obesity","obesity_groupobesity",0.200783072936252,0,0.677126769081066,0.772356356075389,0.990664019337478,0.23503230471456,0.783441015715199,NA,"linear",289,256
"Fusicatenibacter","timepoint","48H","timepoint48H",-1.17342513114067,0,1.15913952034332,0.312412408951799,0.990664019337478,0.141629304736205,0.53110989276077,NA,"linear",289,256
"Roseburia","carbohydrate","RDC","carbohydrateRDC",0.932248855720435,0,0.91607693326714,0.310132848191803,0.990664019337478,0.524083312856046,0.998673072661943,NA,"linear",289,205
"Roseburia","carbohydrate","RDC:timepoint48H","carbohydrateRDC:timepoint48H",-0.0568380392333479,0,1.24290235374892,0.963572986149608,0.990664019337478,0.998673072661943,0.998673072661943,NA,"linear",289,205
"Roseburia","carbohydrate","SDC","carbohydrateSDC",0.347270117755556,0,0.901788924595173,0.700603938149333,0.990664019337478,0.614832168086247,0.998673072661943,NA,"linear",289,205
