feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
Parabacteroides,timepoint,48H,timepoint48H,6.210814992233464,0,1.205407220741222,2.5708861762775056e-7,3.0207912571260692e-5,5.141771691609442e-7,3.2714522387865074e-5,NA,logistic,289,149
Anaerostipes,timepoint,48H,timepoint48H,-12.574452143995009,0,2.4904132589778625,4.4379694362950665e-7,4.635212522352625e-5,8.87593690303287e-7,5.019835426270812e-5,NA,logistic,289,255
Alistipes,timepoint,48H,timepoint48H,4.845740215606487,0,1.013769946659945,1.7536412449651038e-6,1.4985661547883613e-4,3.507279414672589e-6,1.6229138382439526e-4,NA,logistic,289,129
Bacteroides,timepoint,48H,timepoint48H,5.630256753553267,0,1.237040951105361,5.329246580992257e-6,3.8534552201020935e-4,1.0658464761115393e-5,4.173198894929027e-4,NA,logistic,289,173
Actinomyces,timepoint,48H,timepoint48H,-3.484112289597901,0,0.8066275346011933,1.5648446579423255e-5,8.974802962707181e-4,3.1296648284966155e-5,9.719441776458039e-4,NA,logistic,289,141
Anaerostipes,carbohydrate,RDC,carbohydrateRDC,-10.845751337857394,0,2.5156669624050845,1.62310266346832e-5,8.974802962707181e-4,3.2461789823140795e-5,9.719441776458039e-4,NA,logistic,289,255
Escherichia,timepoint,48H,timepoint48H,5.010431838091547,0,1.1786357564678702,2.1277685964420055e-5,0.0011111680448086028,4.2554919188920114e-5,0.0012033585481755745,NA,logistic,289,181
Anaerotruncus,timepoint,48H,timepoint48H,3.2634253299768603,0,0.7959827707280923,4.133835196655894e-5,0.0020451605709771266,8.267499507377459e-5,0.0021040786246275633,NA,logistic,289,98
Marvinbryantia,timepoint,48H,timepoint48H,-3.2125644588642204,0,0.8027024986429994,6.276000946960026e-5,0.002809257566734488,1.255160801204119e-4,0.0029039856718768024,NA,logistic,289,148
Anaerostipes,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,9.774831867887668,0,2.5437893284796833,1.2172472008558628e-4,0.004576849475218045,2.4343462326369256e-4,0.00495632892964878,NA,logistic,289,255
Paenibacillus,timepoint,48H,timepoint48H,-2.6051686166979744,0,0.724098281215802,3.2090691424526866e-4,0.01077330354966259,6.417108472429271e-4,0.011665386473094638,NA,logistic,289,155
Anaerococcus,timepoint,48H,timepoint48H,3.0596364806433516,0,0.9029093618056107,7.023967938120953e-4,0.022008432872778982,0.0014043002263682337,0.024647890180049346,NA,logistic,289,57
Hungatella,timepoint,48H,timepoint48H,3.833534243499553,0,1.1348283915805994,7.299544408871083e-4,0.022134102401092964,0.001459376048288446,0.02473937697513902,NA,logistic,289,61
Peptoniphilus,timepoint,48H,timepoint48H,3.773116207802033,0,1.1198578142403077,7.536441923671631e-4,0.022138298150785416,0.0015067204051656378,0.02473937697513902,NA,logistic,289,67
Finegoldia,timepoint,48H,timepoint48H,4.394696102610812,0,1.3246666755845407,9.079883928749773e-4,0.02586391179704481,0.0018151523428283592,0.02887226695311359,NA,logistic,289,45
Adlercreutzia,obesity_group,obesity,obesity_groupobesity,-2.1038214156470048,0,0.6624439159776705,0.0014939903057552342,0.04012431106885486,0.002985748604476779,0.0446984129317259,NA,logistic,289,136
Lactococcus,timepoint,48H,timepoint48H,-2.12222718552937,0,0.6708187814819144,0.0015581094489024966,0.040683968943565185,0.003113791192750233,0.04528342048885339,NA,logistic,289,118
f__Family.XIII,timepoint,48H,timepoint48H,-3.405648058599878,0,1.142002865339617,0.0028621189694879156,0.06898440593124719,0.0057160462139803315,0.0786342573761078,NA,logistic,289,190
