donor_id,group,carbohydrate,timepoint,Shannon,Observed,Simpson
116,control,No Added Carb,0H,3.732377765750917,159,0.9572872463207917
116,control,No Added Carb,48H,4.007234046499679,214.5,0.960728447038533
116,control,RDC,0H,3.7067082828947573,138.5,0.9556236472614683
116,control,RDC,48H,3.025223875333716,121.5,0.8737730398743124
116,control,SDC,0H,3.7406059388885975,150,0.9576058503076201
116,control,SDC,48H,2.9345555908526486,104.25,0.8658676338478237
123,case,No Added Carb,0H,3.483781816389808,126,0.9352411223477137
123,case,No Added Carb,48H,3.3218081247446807,100,0.9343473280268499
123,case,RDC,0H,3.6395467379748387,122,0.9521575771385744
123,case,RDC,48H,2.691722693433687,88.5,0.7827406083596491
123,case,SDC,0H,3.527567179129032,135,0.939203088656315
123,case,SDC,48H,2.651745426185396,78.75,0.7882758115144621
137,case,No Added Carb,0H,2.998439385435241,105.5,0.8848328551058733
137,case,No Added Carb,48H,3.150982472663825,145.5,0.8834215972655104
137,case,RDC,0H,2.997294572246126,97.5,0.8884824631645704
137,case,RDC,48H,2.442253683526072,97.66666666666667,0.7476777133627932
137,case,SDC,0H,2.9872230969395424,101.5,0.8810817683686549
137,case,SDC,48H,2.456435138135908,95.25,0.7918123007334494
161,case,No Added Carb,0H,3.2184188148190955,109,0.9152978602601889
161,case,No Added Carb,48H,3.0879513127016978,133,0.8964209478021421
161,case,RDC,0H,3.354417439235176,131,0.9193095752920971
161,case,RDC,48H,2.532399279428426,94.25,0.8192464287407746
161,case,SDC,0H,3.2728827057116145,118,0.9177497125337648
161,case,SDC,48H,2.9259560103338877,111.5,0.8690242548482705
176,control,No Added Carb,0H,3.4062981896588496,113,0.9316074747641357
176,control,No Added Carb,48H,3.5778164546347027,161,0.9283578070340492
176,control,RDC,0H,3.2569377474972776,108.25,0.9036605149679617
176,control,RDC,48H,2.7148291671740874,106.25,0.8409443616336836
176,control,SDC,0H,3.4026618555328882,111,0.9253451771072024
176,control,SDC,48H,2.817719549020287,107.5,0.8498367771792968
