contrast,carbohydrate,timepoint,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,metric
case - control,No Added Carb,0H,-0.0014705640690906166,0.17492966332951235,63.03495754286884,-0.3510358084640612,0.3480946803258799,-0.008406602065657312,0.9933191304419433,Shannon
case - control,RDC,0H,-0.16327056073295104,0.17492966332951235,63.034957542869094,-0.5128358051279216,0.18629468366201946,-0.9333497682745823,0.35420092760969746,Shannon
case - control,SDC,0H,0.019572263371501024,0.17492966332951235,63.03495754286884,-0.3299929810234695,0.3691375077664716,0.1118864748206429,0.9112689493256936,Shannon
case - control,No Added Carb,48H,-0.5038968204796253,0.16962574780617432,60.73201754914978,-0.8431147383303754,-0.16467890262887513,-2.9706387561834737,0.004252298417579613,Shannon
case - control,RDC,48H,-0.15629550750959714,0.1696257478061743,60.73201754914978,-0.4955134253603472,0.18292241034115292,-0.9214138155970922,0.3604802908187107,Shannon
case - control,SDC,48H,-0.1204444334326298,0.16962574780617423,60.73201754914978,-0.45966235128337973,0.21877348441812017,-0.7100598522946981,0.4803846668912223,Shannon
case - control,No Added Carb,0H,3.34971026880576,13.881754234434952,59.240866561394014,-24.4252529188171,31.124673456428624,0.24130309557681834,0.8101534717291293,Observed
case - control,RDC,0H,-4.181539731193585,13.88175423443494,59.24086656139333,-31.956502918816437,23.593423456429267,-0.30122559876624955,0.7642972596650203,Observed
case - control,SDC,0H,5.1041745545207355,13.881754234434938,59.240866561393105,-22.670788633102113,32.879137742143584,0.36768944820096094,0.7144152372152854,Observed
case - control,No Added Carb,48H,-42.812500000000085,13.475647842240795,56.73893708756062,-69.79971043379427,-15.8252895662059,-3.177027219856542,0.0024078056503120224,Observed
case - control,RDC,48H,-14.23958333333356,13.475647842240791,56.738937087560416,-41.22679376712774,12.747627100460619,-1.056690075314831,0.2951315369092631,Observed
case - control,SDC,48H,-10.687500000000284,13.475647842240786,56.738937087560416,-37.67471043379445,16.299710433793884,-0.7930973059788065,0.43102519307627807,Observed
case - control,No Added Carb,0H,0.0060252859057333095,0.029959339469255095,65.42263757473341,-0.053800319913575104,0.06585089172504173,0.20111544554967858,0.841232275501532,Simpson
case - control,RDC,0H,-0.042937698720293724,0.029959339469255067,65.42263757473397,-0.10276330453960207,0.016887907099014624,-1.4331991118948846,0.15656269278688692,Simpson
case - control,SDC,0H,0.009343540348777577,0.029959339469255046,65.42263757473452,-0.05048206547053072,0.06916914616808587,0.3118740437640867,0.7561280209911372,Simpson
case - control,No Added Carb,48H,-0.03485483701371994,0.02903167058662848,63.29188073657263,-0.0928647658183002,0.023155091790860304,-1.200579791290878,0.23438842107743202,Simpson
case - control,RDC,48H,-0.013331042072013823,0.029031670586628498,63.29188073657289,-0.07134097087659409,0.04467888673256644,-0.4591896298986624,0.6476712193864154,Simpson
case - control,SDC,48H,0.005245161861561754,0.029031670586628467,63.29188073657315,-0.052764766943018446,0.06325509066614196,0.18067034227019624,0.8572036175796544,Simpson
