analyte,effect,df_num,df_den,F_value,pr_f,p_adj,significance
propionate,carbohydrate_type,2,28.00000001864229,25.161224940907076,5.569353036691268e-7,1.6708059110073803e-6,q<0.001
acetate,carbohydrate_type,2,28.000001119924992,16.107510655526465,2.20975721810141e-5,6.629271654304229e-5,q<0.001
butyrate,carbohydrate_type,2,28.000000048970847,8.583052254445867,0.0012383275821052564,0.003714982746315769,q<0.01
succinate,carbohydrate_type,2,28.000000029482635,5.461316682047545,0.009939886449782482,0.029819659349347445,q<0.05
acetate,group:carbohydrate_type,2,28.000001120441993,2.94220395352158,0.06921716660422075,0.10382574990633113,ns
butyrate,group:carbohydrate_type,2,28.00000004991771,1.4280978380395006,0.2566960106030124,0.3850440159045186,ns
butyrate,group,1,13.999999894360835,0.5581766817565249,0.46735897050247066,0.46735897050247066,ns
succinate,group,1,13.999999928354168,0.5082204492351162,0.48762339906881,0.731435098603215,ns
propionate,group,1,13.999999961574645,0.13151869790373316,0.7222789893945657,0.7604846040765935,ns
propionate,group:carbohydrate_type,2,28.000000016667414,0.2764943127981946,0.7604846040765935,0.7604846040765935,ns
5aminovalerate,carbohydrate_type,2,28.000000368678513,1.408173950343939,0.2613822429500944,0.7841467288502831,ns
5aminovalerate,group,1,13.999999062763617,0.21999427533372456,0.6462647732584295,0.7864171187553259,ns
5aminovalerate,group:carbohydrate_type,2,28.000000367862125,0.2423415258560223,0.7864171187553259,0.7864171187553259,ns
acetate,group,1,13.999997259768826,0.009522079339875601,0.9236481710609196,0.9236481710609196,ns
succinate,group:carbohydrate_type,2,28.000000029164106,0.005879508412286592,0.994138969085886,0.994138969085886,ns
