contrast,carbohydrate,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,analyte,contrast_family
48H - 0H,No Added Carb,28.106242282084867,1.8848105024586395,156.09279524246656,24.38321694354056,31.829267620629174,14.911972447851761,7.917776471149331e-32,acetate,within_carb_time_change
48H - 0H,RDC,31.102639189068892,1.3129878282516831,152.0236432693687,28.508580346802404,33.69669803133538,23.688444416490743,6.861030848611559e-53,acetate,within_carb_time_change
48H - 0H,SDC,33.99374806003661,1.3129878282516816,152.02364326937033,31.399689217770124,36.58780690230309,25.890375621608943,1.339319006075261e-57,acetate,within_carb_time_change
RDC_change,NA,31.102639189068892,1.3129878282516831,152.0236432693687,27.602556483325834,34.60272189481195,23.688444416490743,0,acetate,carb_change_and_pairwise
SDC_change,NA,33.99374806003661,1.3129878282516816,152.02364326937033,30.493665354293558,37.49383076577966,25.890375621608943,0,acetate,carb_change_and_pairwise
NC_change,NA,28.106242282084867,1.8848105024586395,156.09279524246656,23.083555070879637,33.1289294932901,14.911972447851761,0,acetate,carb_change_and_pairwise
RDC_vs_NC_change,NA,2.996396906984025,2.297051951374949,154.75204051487657,-3.1255214793253736,9.118315293293424,1.3044532602714831,0.7258682932410585,acetate,carb_change_and_pairwise
SDC_vs_NC_change,NA,5.887505777951738,2.2970519513749483,154.75204051487657,-0.2344126083576592,12.009424164261134,2.5630703626131086,0.06607510274641992,acetate,carb_change_and_pairwise
SDC_vs_RDC_change,NA,2.8911088709677126,1.8561035177010505,152.04549452938937,-2.0567690754525363,7.838986817387962,1.5576226451790838,0.5400168705270134,acetate,carb_change_and_pairwise
48H - 0H,No Added Carb,5.6483581567954815,0.5264215453485079,156.17928165018017,4.608533585171257,6.688182728419706,10.729724508247639,1.8121179320289253e-20,propionate,within_carb_time_change
48H - 0H,RDC,3.787163405103789,0.36682334398127947,152.09063652274574,3.062436217454263,4.511890592753314,10.324215912761167,2.8715407175919064e-19,propionate,within_carb_time_change
48H - 0H,SDC,4.84725413091024,0.36682334398127925,152.09063652274574,4.122526943260715,5.571981318559766,13.214137569057272,4.929317713854178e-27,propionate,within_carb_time_change
RDC_change,NA,3.787163405103789,0.36682334398127947,152.09063652274574,2.8093138299717424,4.765012980235835,10.324215912761167,0,propionate,carb_change_and_pairwise
SDC_change,NA,4.84725413091024,0.36682334398127925,152.09063652274574,3.8694045557781944,5.825103706042286,13.214137569057272,0,propionate,carb_change_and_pairwise
NC_change,NA,5.6483581567954815,0.5264215453485079,156.17928165018017,4.245547648977399,7.051168664613564,10.729724508247639,0,propionate,carb_change_and_pairwise
RDC_vs_NC_change,NA,-1.8611947516916927,0.6416221700476996,154.83088875118779,-3.5711833605495658,-0.1512061428338194,-2.9007644040001415,0.025318024613965928,propionate,carb_change_and_pairwise
SDC_vs_NC_change,NA,-0.8011040258852409,0.6416221700476996,154.83088875118779,-2.511092634743114,0.9088845829726324,-1.2485603884692529,0.7636830969120054,propionate,carb_change_and_pairwise
SDC_vs_RDC_change,NA,1.0600907258064518,0.5186134899148654,152.10001565460854,-0.32238827177565677,2.4425697233885604,2.0440862924342253,0.23021362221169928,propionate,carb_change_and_pairwise
48H - 0H,No Added Carb,5.326966146290124,0.8056763274397043,156.21112769908066,3.7355405750493498,6.9183917175308975,6.611794296126674,5.694388512255293e-10,butyrate,within_carb_time_change
48H - 0H,RDC,6.909193674883789,0.5614836543391488,152.1161567713139,5.7998806256510065,8.018506724116572,12.305244545392375,1.3752384837447347e-24,butyrate,within_carb_time_change
48H - 0H,SDC,7.94285294907734,0.5614836543391489,152.1161567713123,6.833539899844557,9.052165998310123,14.14618731586383,1.5706144246128194e-29,butyrate,within_carb_time_change
RDC_change,NA,6.909193674883789,0.5614836543391488,152.1161567713139,5.412436861049128,8.40595048871845,12.305244545392375,0,butyrate,carb_change_and_pairwise
SDC_change,NA,7.94285294907734,0.5614836543391489,152.1161567713123,6.446096135242677,9.439609762912001,14.14618731586383,0,butyrate,carb_change_and_pairwise
NC_change,NA,5.326966146290124,0.8056763274397043,156.21112769908066,3.180001848405263,7.473930444174984,6.611794296126674,3.4166329765383807e-9,butyrate,carb_change_and_pairwise
RDC_vs_NC_change,NA,1.582227528593665,0.9820276160509817,154.8602553212821,-1.0349699376450725,4.199424994832402,1.611184352387422,0.5002511031050272,butyrate,carb_change_and_pairwise
SDC_vs_NC_change,NA,2.615886802787216,0.9820276160509817,154.86025532128377,-0.001310663451520977,5.233084269025953,2.6637609370971225,0.05018584433463247,butyrate,carb_change_and_pairwise
SDC_vs_RDC_change,NA,1.0336592741935513,0.793856304679341,152.12203830313393,-1.0825363070199414,3.1498548554070442,1.3020735214933803,0.7275852951885136,butyrate,carb_change_and_pairwise
