sample_key,Acetanaerobacterium,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Afipia,Akkermansia,Alistipes,Alkaliphilus,Alloprevotella,Alloscardovia,Anaerococcus,Anaerofilum,Anaerofustis,Anaerostipes,Anaerotruncus,Asaccharospora,Atopobium,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Buttiauxella,Butyricicoccus,Butyricimonas,Carnobacterium,Catabacter,Catenibacterium,Cellulosilyticum,Christensenella,Citrobacter,Cloacibacterium,Clostridium,Collinsella,Coprobacillus,Coprococcus,Corynebacterium,Denitrobacterium,Desulfovibrio,Dialister,Dielma,Dorea,Eggerthella,Eisenbergiella,Enterobacter,Enterococcus,Enterorhabdus,Epulopiscium,Erysipelatoclostridium,Escherichia,Eubacterium,Ezakiella,Faecalibacterium,Faecalitalea,Fastidiosipila,Finegoldia,Flavonifractor,Fusicatenibacter,Fusobacterium,Gallicola,Gardnerella,Gemella,Gordonibacter,Granulicatella,Hafnia,Holdemanella,Holdemania,Howardella,Hungatella,Hydrogenoanaerobacterium,Intestinibacter,Intestinimonas,Klebsiella,Kluyvera,Kocuria,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Lysinibacillus,Marvinbryantia,Megasphaera,Methanobacterium,Methanobrevibacter,Micrococcus,Mitsuokella,Mobiluncus,Mogibacterium,Murdochiella,Negativicoccus,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Other,Oxalobacter,Paenibacillus,Paeniclostridium,Pantoea,Parabacteroides,Paraclostridium,Paraprevotella,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Pseudoflavonifractor,Pseudomonas,Rhodococcus,Robinsoniella,Romboutsia,Roseburia,Rothia,Ruminiclostridium,Ruminococcus,Sarcina,Selenomonas,Senegalimassilia,Shuttleworthia,Slackia,Solobacterium,Staphylococcus,Streptococcus,Subdoligranulum,Succiniclasticum,Sutterella,Terrisporobacter,Thermus,Tissierella,Turicibacter,Tyzzerella,Varibaculum,Victivallis,Weissella,c__Chloroplast,c__Cyanobacteria,c__Mollicutes,f__Actinomycetaceae,f__Christensenellaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Defluviitaleaceae,f__Enterobacteriaceae,f__Erysipelotrichaceae,f__Family XI,f__Family XIII,f__Gemmatimonadaceae,f__Lachnospiraceae,f__Neisseriaceae,f__Peptococcaceae,f__Prevotellaceae,f__Rikenellaceae,f__Ruminococcaceae,g__*Soleaferrea,g__*Stoquefichus,o__Bacteroidales,o__Clostridiales,o__Lactobacillales
116__116A__No Added Carb__1.0__0H,0,0,0,0,90,0,126,39,0,0,13,0,0,0,1235,78,0,0,0,310,0,6779,14,12949,0,0,0,0,0,0,0,0,0,0,0,2240,0,1401,0,0,0,266,0,1087,19,0,0,0,0,0,0,0,3411,0,4813,0,0,0,0,4212,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,1356,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,113,0,107,6069,0,0,0,0,0,0,0,59,2167,0,0,0,0,0,0,0,0,0,0,0,0,13,0,701,0,0,27,0,698,0,104,0,988,0,0,0,0,1344,0,0,0,85,0
116__116A__No Added Carb__1.0__48H,17,0,0,0,189,0,772,634,0,0,0,0,20,0,47,1022,0,0,0,13529,31,6167,88,2255,0,0,230,0,11,0,0,11,0,0,685,5465,0,714,0,0,0,51,74,851,772,0,0,0,0,0,76,10081,207,0,2041,0,0,12,534,148,0,0,0,0,116,0,0,0,93,0,0,528,74,0,0,0,0,6835,0,0,12,71,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,26,23,0,0,0,0,3011,0,0,244,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3162,0,0,470,218,0,0,0,0,0,0,0,71,3767,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1007,12,0,42,0,213,0,136,0,2238,0,11,0,0,3378,13,0,0,183,0
116__116A__RDC__1.0__0H,0,0,0,0,50,0,89,15,0,0,0,0,0,0,965,56,0,0,0,140,0,4434,0,11422,0,0,0,0,0,0,0,0,0,0,0,911,0,877,0,0,0,104,0,707,0,0,0,0,0,0,0,0,1916,0,3957,0,0,0,0,2871,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,867,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,58,0,67,3446,0,0,0,0,0,0,0,27,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,12,0,298,0,79,0,713,0,0,0,0,812,0,0,0,81,0
116__116A__RDC__1.0__48H,0,0,0,0,56,0,874,72,0,0,0,0,0,0,69,92,0,0,37,11419,0,4800,0,1849,0,0,0,0,0,0,0,0,0,0,1159,4933,0,2359,0,0,0,0,31,264,88,0,0,0,0,0,37,20984,282,0,5471,0,0,0,123,323,0,0,0,0,24,0,0,0,33,0,0,14,314,0,0,0,0,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,14,0,438,331,0,0,0,0,0,0,0,17,3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,12,0,13,0,269,0,38,0,324,0,0,0,0,654,0,0,0,69,0
116__116A__RDC__2.0__0H,0,0,0,0,65,0,118,30,0,0,0,0,0,0,1148,79,0,0,0,288,0,5616,0,11358,0,0,0,0,0,0,0,0,0,0,0,1473,0,1152,0,0,0,166,0,816,0,0,0,0,0,0,0,0,2373,0,3942,0,0,0,0,3621,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,0,1035,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,109,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,90,0,109,4074,0,0,0,0,0,0,0,31,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,16,0,0,0,388,0,116,0,773,0,0,0,0,981,0,0,0,88,0
116__116A__RDC__2.0__48H,0,0,0,0,25,0,57,139,0,0,0,0,0,0,109,94,0,0,30,3630,51,11207,13,1870,0,0,77,0,0,0,0,0,0,0,324,1173,0,297,0,0,0,99,0,246,75,0,0,0,0,0,0,11369,135,0,1644,0,0,0,93,466,0,0,0,0,0,0,0,0,24,0,0,89,32,0,0,0,0,1196,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1936,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,93,104,0,0,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,12,0,61,0,39,0,635,0,0,0,0,913,0,0,0,83,0
116__116A__SDC__1.0__0H,0,0,0,0,88,0,149,31,0,0,0,0,0,0,1522,77,0,0,0,272,0,6971,13,13179,0,0,0,0,0,0,0,0,0,0,0,2020,0,1387,0,0,12,200,0,1043,16,0,0,0,0,0,0,0,3066,0,5006,0,0,0,0,4292,0,0,0,0,14,0,0,0,0,0,0,0,17,0,0,0,0,1309,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,145,0,118,5367,0,0,0,0,0,0,0,43,1932,0,0,0,0,0,12,0,0,0,0,0,0,0,0,700,11,0,14,0,618,0,110,0,1076,0,0,0,0,1354,0,0,0,113,0
116__116A__SDC__1.0__48H,0,0,0,0,28,0,246,93,0,0,0,0,0,0,31,25,0,0,28,6685,0,5544,0,1864,0,0,28,0,0,0,0,0,0,0,833,3894,0,903,0,0,0,0,15,289,31,0,0,0,0,0,31,23201,235,0,4954,0,0,0,52,297,0,0,0,0,19,0,0,0,16,0,0,0,59,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,271,156,0,0,0,0,0,0,0,15,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,11,0,124,0,0,0,232,0,0,0,0,226,0,0,0,46,0
116__116A__SDC__2.0__0H,0,0,0,0,56,0,87,13,0,0,12,0,0,0,962,71,0,0,0,169,0,5435,0,9740,0,0,0,0,0,0,0,0,0,0,0,1620,0,1175,0,0,0,183,0,816,0,0,0,0,0,0,0,0,2901,0,3790,0,0,0,0,2895,0,0,0,0,30,0,0,0,12,0,0,0,20,0,0,0,0,1017,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,79,0,114,5199,0,0,0,0,0,0,0,52,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,21,0,21,0,561,0,113,0,867,0,0,0,0,1113,0,0,0,49,0
116__116A__SDC__2.0__48H,0,0,0,0,17,0,28,20,0,0,0,0,0,0,23,48,0,0,76,3437,0,14003,0,1323,0,0,0,0,0,0,0,0,0,0,855,6098,0,55,0,0,0,0,0,112,15,0,0,0,0,0,0,20888,85,0,6870,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,129,0,0,0,0,0,0,0,12,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,12,0,84,0,14,0,79,0,0,0,0,40,0,0,0,46,0
