sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
116__116A__No Added Carb__1.0__0H,116A.NC.0H,116,116A,No Added Carb,0H,control,1817086478.0,54792.0
116__116A__No Added Carb__1.0__48H,116A.NC.48H,116,116A,No Added Carb,48H,control,1123858335.0,72846.0
116__116A__RDC__1.0__0H,116A.R1.0H,116,116A,RDC,0H,control,186787551.0,38095.0
116__116A__RDC__1.0__48H,116A.R1.48H,116,116A,RDC,48H,control,4193765739.0,67182.0
116__116A__RDC__2.0__0H,116A.R2.0H,116,116A,RDC,0H,control,2178225284.0,43781.0
116__116A__RDC__2.0__48H,116A.R2.48H,116,116A,RDC,48H,control,2872385791.0,41712.0
116__116A__SDC__1.0__0H,116A.S1.0H,116,116A,SDC,0H,control,1280864961.0,54435.0
116__116A__SDC__1.0__48H,116A.S1.48H,116,116A,SDC,48H,control,14355173753.0,59432.0
116__116A__SDC__2.0__0H,116A.S2.0H,116,116A,SDC,0H,control,4049355204.0,42889.0
116__116A__SDC__2.0__48H,116A.S2.48H,116,116A,SDC,48H,control,4333304443.0,57502.0
116__116B__No Added Carb__1.0__48H,116B.NC.48H,116,116B,No Added Carb,48H,control,259301655.0,59676.0
116__116B__RDC__1.0__48H,116B.R1.48H,116,116B,RDC,48H,control,199516846.0,63151.0
116__116B__RDC__2.0__48H,116B.R2.48H,116,116B,RDC,48H,control,2968947414.0,47519.0
116__116B__SDC__1.0__48H,116B.S1.48H,116,116B,SDC,48H,control,444694096.0,55048.0
116__116B__SDC__2.0__48H,116B.S2.48H,116,116B,SDC,48H,control,4037127596.0,48039.0
123__123A__No Added Carb__1.0__0H,123A.NC.0H,123,123A,No Added Carb,0H,case,59897079.0,58058.0
123__123A__RDC__1.0__0H,123A.R1.0H,123,123A,RDC,0H,case,891204954.0,43132.0
123__123A__RDC__1.0__48H,123A.R1.48H,123,123A,RDC,48H,case,1623744667.0,68720.0
123__123A__RDC__2.0__0H,123A.R2.0H,123,123A,RDC,0H,case,212041060.0,77651.0
123__123A__RDC__2.0__48H,123A.R2.48H,123,123A,RDC,48H,case,10175050812.0,100764.0
123__123A__SDC__1.0__0H,123A.S1.0H,123,123A,SDC,0H,case,52684518.0,60261.0
123__123A__SDC__1.0__48H,123A.S1.48H,123,123A,SDC,48H,case,2026015078.0,66268.0
123__123A__SDC__2.0__0H,123A.S2.0H,123,123A,SDC,0H,case,7636787.0,67518.0
123__123A__SDC__2.0__48H,123A.S2.48H,123,123A,SDC,48H,case,21285170199.0,59784.0
