sample_key,Acetanaerobacterium,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Afipia,Akkermansia,Alistipes,Alkaliphilus,Alloprevotella,Alloscardovia,Anaerococcus,Anaerofilum,Anaerofustis,Anaerostipes,Anaerotruncus,Asaccharospora,Atopobium,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Buttiauxella,Butyricicoccus,Butyricimonas,Carnobacterium,Catabacter,Catenibacterium,Cellulosilyticum,Christensenella,Citrobacter,Cloacibacterium,Clostridium,Collinsella,Coprobacillus,Coprococcus,Corynebacterium,Denitrobacterium,Desulfovibrio,Dialister,Dielma,Dorea,Eggerthella,Eisenbergiella,Enterobacter,Enterococcus,Enterorhabdus,Epulopiscium,Erysipelatoclostridium,Escherichia,Eubacterium,Ezakiella,Faecalibacterium,Faecalitalea,Fastidiosipila,Finegoldia,Flavonifractor,Fusicatenibacter,Fusobacterium,Gallicola,Gardnerella,Gemella,Gordonibacter,Granulicatella,Hafnia,Holdemanella,Holdemania,Howardella,Hungatella,Hydrogenoanaerobacterium,Intestinibacter,Intestinimonas,Klebsiella,Kluyvera,Kocuria,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Lysinibacillus,Marvinbryantia,Megasphaera,Methanobacterium,Methanobrevibacter,Micrococcus,Mitsuokella,Mobiluncus,Mogibacterium,Murdochiella,Negativicoccus,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Other,Oxalobacter,Paenibacillus,Paeniclostridium,Pantoea,Parabacteroides,Paraclostridium,Paraprevotella,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Pseudoflavonifractor,Pseudomonas,Rhodococcus,Robinsoniella,Romboutsia,Roseburia,Rothia,Ruminiclostridium,Ruminococcus,Sarcina,Selenomonas,Senegalimassilia,Shuttleworthia,Slackia,Solobacterium,Staphylococcus,Streptococcus,Subdoligranulum,Succiniclasticum,Sutterella,Terrisporobacter,Thermus,Tissierella,Turicibacter,Tyzzerella,Varibaculum,Victivallis,Weissella,c__Chloroplast,c__Cyanobacteria,c__Mollicutes,f__Actinomycetaceae,f__Christensenellaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Defluviitaleaceae,f__Enterobacteriaceae,f__Erysipelotrichaceae,f__Family XI,f__Family XIII,f__Gemmatimonadaceae,f__Lachnospiraceae,f__Neisseriaceae,f__Peptococcaceae,f__Prevotellaceae,f__Rikenellaceae,f__Ruminococcaceae,g__*Soleaferrea,g__*Stoquefichus,o__Bacteroidales,o__Clostridiales,o__Lactobacillales
116__116A__No Added Carb__1.0__0H,0.0,0.0,0.0,0.0,0.0016425755584793778,0.0,0.0022996057818691286,0.0007117827420057304,0.0,0.0,0.00023726091400191012,0.0,0.0,0.0,0.022539786830191463,0.0014235654840094607,0.0,0.0,0.0,0.005657760256967857,0.0,0.12372244123195314,0.0002555117535409032,0.23633012118592048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040881880566484514,0.0,0.025569426193590313,0.0,0.0,0.0,0.004854723317268161,0.0,0.019838662578492487,0.00034676595123386866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06225361366617641,0.0,0.08784129069936672,0.0,0.0,0.0,0.0,0.07687253613667089,0.0,0.0,0.0,0.0,0.00034676595123386866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029201343261788936,0.0,0.0,0.0,0.0,0.024748138414349627,0.0,0.0,0.0,0.0,0.0,0.0,0.006734559789747449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030113885238688596,0.0,0.0,0.001295809607239509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022612790188291435,0.0020623448678592188,0.0,0.00195283983062926,0.11076434515995805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010767995327795922,0.03954956928018502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023726091400191012,0.0,0.012793838516595154,0.0,0.0,0.0004927726675428133,0.0,0.012739085997995173,0.0,0.001898087312019281,0.0,0.01803182946419317,0.0,0.0,0.0,0.0,0.02452912833989071,0.0,0.0,0.0,0.0015513213607794125,0.0
116__116A__No Added Carb__1.0__48H,0.0002333690250670728,0.0,0.0,0.0,0.0025945144551518095,0.0,0.010597699256003306,0.008703291876012716,0.0,0.0,0.0,0.0,0.0002745517941960856,0.0,0.0006451967163612014,0.014029596683404377,0.0,0.0,0.0,0.18572056118405791,0.00042555528100413276,0.08465804574032641,0.0012080278944603768,0.03095571479556666,0.0,0.0,0.003157345633250985,0.0,0.0001510034868080471,0.0,0.0,0.0001510034868080471,0.0,0.0,0.009403398951212933,0.0750212777641234,0.0,0.009801499052803059,0.0,0.0,0.0,0.0007001070752002185,0.0010158416385303171,0.011682178843003644,0.010597699256003306,0.0,0.0,0.0,0.0,0.0,0.0010432968179403255,0.13838783186404316,0.0028416110699308866,0.0,0.02801801059770874,0.0,0.0,0.00016473107651805138,0.007330532905032287,0.002031683277050634,0.0,0.0,0.0,0.0,0.0015924004063404967,0.0,0.0,0.0,0.0012766658430103984,0.0,0.0,0.007248167366772261,0.0010158416385303171,0.0,0.0,0.0,0.0,0.09382807566652927,0.0,0.0,0.00016473107651805138,0.0009746588693963041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016610383548905183,0.0,0.0,0.0,0.00035691733245511134,0.0003157345633250985,0.0,0.0,0.0,0.0,0.04133377261621289,0.0,0.0,0.0033495318891910452,0.0,0.0,0.0,0.0,0.00035691733245511134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043406638662413545,0.0,0.0,0.006451967163612013,0.0029926145567409335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009746588693963041,0.05171183043681613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001510034868080471,0.0,0.0,0.0,0.0,0.0,0.013823682837804312,0.00016473107651805138,0.0,0.0005765587678121798,0.0,0.002923976608190912,0.0,0.0018669522005305824,0.0,0.030722345770509585,0.0,0.0001510034868080471,0.0,0.0,0.04637179803971447,0.00017845866622705567,0.0,0.0,0.002512148916890784,0.0
116__116A__RDC__1.0__0H,0.0,0.0,0.0,0.0,0.0013125082031763542,0.0,0.002336264601650631,0.0003937524609531063,0.0,0.0,0.0,0.0,0.0,0.0,0.02533140832130684,0.0014700091875603969,0.0,0.0,0.0,0.003675022968890992,0.0,0.11639322745803143,0.0,0.2998293739334809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023913899461906456,0.0,0.023021393883706217,0.0,0.0,0.0,0.0027300170626107373,0.0,0.01855886599290501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050295314345713577,0.0,0.10387189919902805,0.0,0.0,0.0,0.0,0.07536422102642035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028875180469907795,0.0,0.0,0.0,0.0,0.022758892243058146,0.0,0.0,0.0,0.0,0.0,0.0,0.006825042656521843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001811261320380489,0.0,0.0,0.0009187557422232481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248064050400067,0.0015225095156804111,0.0,0.0017587609922604748,0.09045806536292443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007087544297151914,0.03360021000130907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013676335477103693,0.0,0.0,0.00031500196876208507,0.0,0.007822548890932113,0.0,0.00207376296102056,0.0,0.018716366977305054,0.0,0.0,0.0,0.0,0.021315133219605757,0.0,0.0,0.0,0.0021262632891505743,0.0
116__116A__RDC__1.0__48H,0.0,0.0,0.0,0.0,0.0008335566074240633,0.0,0.01300943705158538,0.0010717156381187956,0.0,0.0,0.0,0.0,0.0,0.0,0.0010270608198588457,0.001369414426478461,0.0,0.0,0.0005507427584763811,0.169971123217809,0.0,0.0714477092077197,0.0,0.027522252984418072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017251644785780614,0.07342740615041748,0.0,0.03511357208776054,0.0,0.0,0.0,0.0,0.0004614331219664815,0.0039296240064255845,0.001309874668808528,0.0,0.0,0.0,0.0,0.0,0.0005507427584763811,0.312345568753649,0.004197552915955283,0.0,0.08143550355740849,0.0,0.0,0.0,0.0018308475484479427,0.004807835432104597,0.0,0.0,0.0,0.0,0.0003572385460385985,0.0,0.0,0.0,0.0004912030008034481,0.0,0.0,0.00020838915185576582,0.004673870977344747,0.0,0.0,0.0,0.0,0.042615581554552105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779018189396877,0.0,0.0,0.0012503349111385948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013322020779385029,0.00020838915185576582,0.0,0.006519603465202674,0.004926914947454464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002530439701107156,0.04895656574674498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004435711946645015,0.00017861927301979927,0.0,0.00019350421243778253,0.0,0.0040040487035155,0.0,0.0005656276978943643,0.0,0.004822720371524581,0.0,0.0,0.0,0.0,0.009734750379559062,0.0,0.0,0.0,0.0010270608198588457,0.0
116__116A__RDC__2.0__0H,0.0,0.0,0.0,0.0,0.0014846622964250868,0.0,0.0026952330919783425,0.0006852287521975786,0.0,0.0,0.0,0.0,0.0,0.0,0.02622142025078387,0.0018044357141188902,0.0,0.0,0.0,0.0065781960211059535,0.0,0.1282748224119211,0.0,0.25942760558227046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03364473173287931,0.0,0.026312784084383815,0.0,0.0,0.0,0.003791599095497668,0.0,0.018638222059788538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054201594298866666,0.0,0.09003905803884461,0.0,0.0,0.0,0.0,0.08270711039034913,0.0,0.0,0.0,0.0,0.00031977341769280334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003426143760987893,0.0,0.0,0.0,0.0,0.02364039195087746,0.0,0.0,0.0,0.0,0.0,0.0,0.007400470523735448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029693245928581735,0.0,0.0024896644663184686,0.0,0.0,0.0016217080468690025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026998012836583395,0.002055686256598736,0.0,0.0024896644663184686,0.09305406454844277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007080697106045645,0.03586030469837794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012265594664392455,0.00036545533450577523,0.0,0.0,0.0,0.00886229186176455,0.0,0.0026495511751683702,0.0,0.01765606084828914,0.0,0.0,0.0,0.0,0.02240698019688622,0.0,0.0,0.0,0.0020100043397787634,0.0
116__116A__RDC__2.0__48H,0.0,0.0,0.0,0.0,0.0005993479094738999,0.0,0.0013665132335997719,0.0033323743766794436,0.0,0.0,0.0,0.0,0.0,0.0,0.0026131568853095637,0.0022535481396196238,0.0,0.0,0.0007192174913688799,0.08702531645568547,0.0012226697353297958,0.26867568085895516,0.00031166091292694797,0.04483122362873051,0.0,0.0,0.0018459915611796916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007767548906788703,0.028121403912495305,0.0,0.007120253164558811,0.0,0.0,0.0,0.0023734177215196037,0.0,0.005897583429229016,0.0017980437284196996,0.0,0.0,0.0,0.0,0.0,0.0,0.2725594553129545,0.0032364787111594595,0.0,0.039413118526993425,0.0,0.0,0.0,0.0022295742232496278,0.011171845032598136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005753739930959039,0.0,0.0,0.0021336785577296437,0.0007671653241268718,0.0,0.0,0.0,0.0,0.028672803989295212,0.0,0.0,0.0,0.0,0.0,0.0,0.00028768699654795196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047947832757991993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04641350210969225,0.0,0.0,0.0022535481396196238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031142117376294798,0.0,0.0,0.0022295742232496278,0.0024932873034095838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04056386651319323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037159570387393795,0.0,0.0,0.00028768699654795196,0.0,0.0014624088991197558,0.0,0.0009349827387798438,0.0,0.01522343690069746,0.0,0.0,0.0,0.0,0.021888185653996348,0.0,0.0,0.0,0.001989835059459668,0.0
116__116A__SDC__1.0__0H,0.0,0.0,0.0,0.0,0.0016166069624359868,0.0,0.0027372095159399782,0.0005694865435839954,0.0,0.0,0.0,0.0,0.0,0.0,0.027959952236599778,0.0014145310921299887,0.0,0.0,0.0,0.00499678515660996,0.0,0.12806099017199898,0.0002388169376319981,0.24210526315744807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037108478001299704,0.0,0.025479930191999796,0.0,0.0,0.00022044640396799825,0.0036741067327999703,0.0,0.019160466611599848,0.00029392853862399767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05632405621379955,0.0,0.09196289152199927,0.0,0.0,0.0,0.0,0.07884633048589938,0.0,0.0,0.0,0.0,0.0002571874712959979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003122990722879975,0.0,0.0,0.0,0.0,0.02404702856621981,0.0,0.0,0.0,0.0,0.0,0.0,0.006980802792319944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002020758703039984,0.0,0.0,0.00124919628914999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02902544318909977,0.002663727381279979,0.0,0.0021677229723499826,0.0985946541746992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007899329475519937,0.03549187103889972,0.0,0.0,0.0,0.0,0.0,0.00022044640396799825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012859373564799898,0.00020207587030399838,0.0,0.0002571874712959979,0.0,0.01135298980439991,0.0,0.002020758703039984,0.0,0.01976669422249984,0.0,0.0,0.0,0.0,0.0248737025810998,0.0,0.0,0.0,0.0020758703040299835,0.0
116__116A__SDC__1.0__48H,0.0,0.0,0.0,0.0,0.00047112666576913566,0.0,0.004139184277831192,0.0015648135684504505,0.0,0.0,0.0,0.0,0.0,0.0,0.0005216045228161502,0.00042064880872312116,0.0,0.0,0.00047112666576913566,0.11248149145203239,0.0,0.09328307982232686,0.0,0.031363575178338036,0.0,0.0,0.00047112666576913566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014016018306604037,0.06552025844661888,0.0,0.015193834971104376,0.0,0.0,0.0,0.0,0.0002523892852340727,0.004862700228831401,0.0005216045228161502,0.0,0.0,0.0,0.0,0.0,0.0005216045228161502,0.3903789204471124,0.003954098801991139,0.0,0.08335576793652401,0.0,0.0,0.0,0.000874949522143252,0.004997307847621439,0.0,0.0,0.0,0.0,0.00031969309462909207,0.0,0.0,0.0,0.0002692152375820775,0.0,0.0,0.0,0.0009927311885852858,0.0,0.0,0.0,0.0,0.021554044958906206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07575043747482181,0.0,0.0,0.0012619464261703634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010617175932203059,0.0,0.0,0.004559833086551313,0.002624848566430756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002523892852340727,0.038834298021311185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025743707093807415,0.0,0.0,0.00018508547583805332,0.0,0.002086418091260601,0.0,0.0,0.0,0.0039036209449511243,0.0,0.0,0.0,0.0,0.003802665230851095,0.0,0.0,0.0,0.0007739938080502229,0.0
116__116A__SDC__2.0__0H,0.0,0.0,0.0,0.0,0.0013056960992321345,0.0,0.002028492154170209,0.0003031080230360312,0.0,0.0,0.00027979202126402885,0.0,0.0,0.0,0.02242999370470231,0.0016554361258101706,0.0,0.0,0.0,0.003940404299470406,0.0,0.12672246963101305,0.0,0.2270978572589734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03777192287070389,0.0,0.027396302082102825,0.0,0.0,0.0,0.00426682832428044,0.0,0.01902585744600196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06763972114060697,0.0,0.0883676467159091,0.0,0.0,0.0,0.0,0.06749982513000695,0.0,0.0,0.0,0.0,0.0006994800531600721,0.0,0.0,0.0,0.00027979202126402885,0.0,0.0,0.0,0.000466320035440048,0.0,0.0,0.0,0.0,0.023712373802190444,0.0,0.0,0.0,0.0,0.0,0.0,0.006971484529830718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011191680850601154,0.0,0.0,0.0009093240691090936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018979225442401958,0.0018419641399901898,0.0,0.0026580242020102737,0.12121989321301249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001212432092140125,0.04329781529060446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014898925132301535,0.0004896360372120504,0.0,0.0004896360372120504,0.0,0.013080276994101348,0.0,0.0026347082002402713,0.0,0.020214973536302083,0.0,0.0,0.0,0.0,0.025950709972302675,0.0,0.0,0.0,0.0011424840868301178,0.0
116__116A__SDC__2.0__48H,0.0,0.0,0.0,0.0,0.00029564189071687675,0.0,0.00048693958470979695,0.000347813989078855,0.0,0.0,0.0,0.0,0.0,0.0,0.0003999860874398332,0.0008347535737886518,0.0,0.0,0.001321693158499449,0.059771834023175076,0.0,0.24352196445289845,0.0,0.023007895377590407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148690480330938,0.10604848526995578,0.0,0.0009564884699656011,0.0,0.0,0.0,0.0,0.0,0.0019477583388391878,0.0002608604918088912,0.0,0.0,0.0,0.0,0.0,0.0,0.3632569301938485,0.0014782094535793835,0.0,0.11947410524895018,0.0,0.0,0.0,0.0,0.004973740043817926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019129769399292023,0.0,0.0,0.0,0.0,0.006782372787027172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006034572710507484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012625647803594734,0.0,0.0,0.0,0.0022434002295590645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020868839344691297,0.023007895377590407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008695349726966375,0.0,0.0,0.00020868839344691297,0.0,0.0014608187541293909,0.0,0.00024346979235489847,0.0,0.0013738652568594271,0.0,0.0,0.0,0.0,0.00069562797815671,0.0,0.0,0.0,0.0007999721748806664,0.0
