file	reads.in	reads.out
zr24558_1V3V4_R1.fastq.gz	63010	62534
zr24558_2V3V4_R1.fastq.gz	113131	112218
zr24558_3V3V4_R1.fastq.gz	79786	79121
zr24558_4V3V4_R1.fastq.gz	52027	51612
zr24558_5V3V4_R1.fastq.gz	60452	59991
zr24558_6V3V4_R1.fastq.gz	73766	72999
zr24558_7V3V4_R1.fastq.gz	77460	76901
zr24558_8V3V4_R1.fastq.gz	62951	62387
zr24558_9V3V4_R1.fastq.gz	65449	64917
zr24558_10V3V4_R1.fastq.gz	70616	69976
zr24558_11V3V4_R1.fastq.gz	71247	70601
zr24558_12V3V4_R1.fastq.gz	71972	71405
zr24558_13V3V4_R1.fastq.gz	77138	76609
zr24558_14V3V4_R1.fastq.gz	49208	48768
zr24558_15V3V4_R1.fastq.gz	85428	84774
zr24558_16V3V4_R1.fastq.gz	59578	59105
zr24558_17V3V4_R1.fastq.gz	64889	64444
zr24558_18V3V4_R1.fastq.gz	54050	53639
zr24558_19V3V4_R1.fastq.gz	60587	60129
zr24558_20V3V4_R1.fastq.gz	63685	63165
zr24558_21V3V4_R1.fastq.gz	103704	102970
zr24558_22V3V4_R1.fastq.gz	71861	71202
zr24558_23V3V4_R1.fastq.gz	88347	87612
zr24558_24V3V4_R1.fastq.gz	70990	70417
zr24558_25V3V4_R1.fastq.gz	84706	84138
zr24558_26V3V4_R1.fastq.gz	56649	56287
zr24558_27V3V4_R1.fastq.gz	49553	49092
zr24558_28V3V4_R1.fastq.gz	88458	87566
zr24558_29V3V4_R1.fastq.gz	74582	74088
zr24558_30V3V4_R1.fastq.gz	61433	60908
zr24558_31V3V4_R1.fastq.gz	68342	67868
zr24558_32V3V4_R1.fastq.gz	77004	76359
zr24558_33V3V4_R1.fastq.gz	50111	49756
zr24558_34V3V4_R1.fastq.gz	61915	61426
zr24558_35V3V4_R1.fastq.gz	60876	60499
zr24558_37V3V4_R1.fastq.gz	63338	62825
zr24558_38V3V4_R1.fastq.gz	65343	64891
zr24558_39V3V4_R1.fastq.gz	60308	59880
zr24558_40V3V4_R1.fastq.gz	50631	50211
zr24558_41V3V4_R1.fastq.gz	79129	78404
zr24558_42V3V4_R1.fastq.gz	50617	50243
zr24558_43V3V4_R1.fastq.gz	64558	63951
zr24558_44V3V4_R1.fastq.gz	55232	54777
zr24558_45V3V4_R1.fastq.gz	81982	81322
zr24558_46V3V4_R1.fastq.gz	74371	73765
zr24558_47V3V4_R1.fastq.gz	60181	59778
zr24558_48V3V4_R1.fastq.gz	58907	58397
zr24558_49V3V4_R1.fastq.gz	82506	81709
zr24558_50V3V4_R1.fastq.gz	70250	69775
zr24558_51V3V4_R1.fastq.gz	64101	63521
zr24558_52V3V4_R1.fastq.gz	56779	56380
zr24558_53V3V4_R1.fastq.gz	52062	51720
zr24558_54V3V4_R1.fastq.gz	69344	68921
zr24558_55V3V4_R1.fastq.gz	59053	58575
zr24558_56V3V4_R1.fastq.gz	77396	76577
zr24558_57V3V4_R1.fastq.gz	63195	62671
zr24558_58V3V4_R1.fastq.gz	70848	70249
zr24558_59V3V4_R1.fastq.gz	74391	73790
zr24558_60V3V4_R1.fastq.gz	56025	55562
zr24558_61V3V4_R1.fastq.gz	82571	82029
zr24558_62V3V4_R1.fastq.gz	110586	109618
zr24558_63V3V4_R1.fastq.gz	83028	82209
zr24558_64V3V4_R1.fastq.gz	66245	65775
zr24558_65V3V4_R1.fastq.gz	103476	102675
zr24558_66V3V4_R1.fastq.gz	71173	70620
zr24558_67V3V4_R1.fastq.gz	104938	103951
zr24558_68V3V4_R1.fastq.gz	99669	98659
zr24558_69V3V4_R1.fastq.gz	108108	107333
zr24558_70V3V4_R1.fastq.gz	76335	75858
zr24558_71V3V4_R1.fastq.gz	42188	41805
zr24558_72V3V4_R1.fastq.gz	62122	61521
zr24558_73V3V4_R1.fastq.gz	80877	80224
zr24558_74V3V4_R1.fastq.gz	65093	64635
zr24558_75V3V4_R1.fastq.gz	74826	74213
zr24558_76V3V4_R1.fastq.gz	63121	62663
zr24558_77V3V4_R1.fastq.gz	59916	59296
zr24558_78V3V4_R1.fastq.gz	58812	58326
zr24558_79V3V4_R1.fastq.gz	73338	72556
zr24558_80V3V4_R1.fastq.gz	53978	53630
zr24558_81V3V4_R1.fastq.gz	91552	90742
zr24558_82V3V4_R1.fastq.gz	102690	101772
zr24558_83V3V4_R1.fastq.gz	63992	63407
zr24558_84V3V4_R1.fastq.gz	59628	59106
zr24558_85V3V4_R1.fastq.gz	66758	66260
zr24558_86V3V4_R1.fastq.gz	76524	75900
zr24558_87V3V4_R1.fastq.gz	50415	49945
zr24558_88V3V4_R1.fastq.gz	68670	68254
zr24558_89V3V4_R1.fastq.gz	68538	67982
zr24558_90V3V4_R1.fastq.gz	85858	85085
zr24558_91V3V4_R1.fastq.gz	51137	50658
zr24558_92V3V4_R1.fastq.gz	68345	67796
zr24558_93V3V4_R1.fastq.gz	69602	69003
zr24558_94V3V4_R1.fastq.gz	57996	57560
zr24558_95V3V4_R1.fastq.gz	66417	65788
zr24558_96V3V4_R1.fastq.gz	92244	91492
zr24558_97V3V4_R1.fastq.gz	58217	57737
zr24558_98V3V4_R1.fastq.gz	56023	55504
zr24558_99V3V4_R1.fastq.gz	64405	63861
zr24558_100V3V4_R1.fastq.gz	60940	60410
zr24558_101V3V4_R1.fastq.gz	64950	64404
zr24558_102V3V4_R1.fastq.gz	63913	63412
zr24558_103V3V4_R1.fastq.gz	62482	61919
zr24558_104V3V4_R1.fastq.gz	67594	67038
zr24558_105V3V4_R1.fastq.gz	53804	53295
zr24558_106V3V4_R1.fastq.gz	59098	58671
zr24558_107V3V4_R1.fastq.gz	83909	83396
zr24558_108V3V4_R1.fastq.gz	73040	72492
zr24558_109V3V4_R1.fastq.gz	71318	70861
zr24558_110V3V4_R1.fastq.gz	63504	63039
zr24558_111V3V4_R1.fastq.gz	78483	77812
zr24558_112V3V4_R1.fastq.gz	84127	83491
zr24558_113V3V4_R1.fastq.gz	75953	75419
zr24558_114V3V4_R1.fastq.gz	67066	66568
zr24558_115V3V4_R1.fastq.gz	81448	80815
zr24558_116V3V4_R1.fastq.gz	61511	61020
zr24558_117V3V4_R1.fastq.gz	53401	52956
