sample_id	customer_label	raw_seq_files	Subgroup1
zr24558_1V3V4	84B.R1.48H	zr24558_1V3V4_R1.fastq.gz;zr24558_1V3V4_R2.fastq.gz	
zr24558_2V3V4	84B.R2.48H	zr24558_2V3V4_R1.fastq.gz;zr24558_2V3V4_R2.fastq.gz	
zr24558_3V3V4	84B.S1.48H	zr24558_3V3V4_R1.fastq.gz;zr24558_3V3V4_R2.fastq.gz	
zr24558_4V3V4	84B.S2.48H	zr24558_4V3V4_R1.fastq.gz;zr24558_4V3V4_R2.fastq.gz	
zr24558_5V3V4	84B.NC.48H	zr24558_5V3V4_R1.fastq.gz;zr24558_5V3V4_R2.fastq.gz	
zr24558_6V3V4	21B.R1.48H	zr24558_6V3V4_R1.fastq.gz;zr24558_6V3V4_R2.fastq.gz	
zr24558_7V3V4	21B.R2.48H	zr24558_7V3V4_R1.fastq.gz;zr24558_7V3V4_R2.fastq.gz	
zr24558_8V3V4	21B.S1.48H	zr24558_8V3V4_R1.fastq.gz;zr24558_8V3V4_R2.fastq.gz	
zr24558_9V3V4	21B.S2.48H	zr24558_9V3V4_R1.fastq.gz;zr24558_9V3V4_R2.fastq.gz	
zr24558_10V3V4	21B.NC.48H	zr24558_10V3V4_R1.fastq.gz;zr24558_10V3V4_R2.fastq.gz	
zr24558_11V3V4	73B.R1.48H	zr24558_11V3V4_R1.fastq.gz;zr24558_11V3V4_R2.fastq.gz	
zr24558_12V3V4	73B.R2.48H	zr24558_12V3V4_R1.fastq.gz;zr24558_12V3V4_R2.fastq.gz	
zr24558_13V3V4	73B.S1.48H	zr24558_13V3V4_R1.fastq.gz;zr24558_13V3V4_R2.fastq.gz	
zr24558_14V3V4	73B.S2.48H	zr24558_14V3V4_R1.fastq.gz;zr24558_14V3V4_R2.fastq.gz	
zr24558_15V3V4	73B.NC.48H	zr24558_15V3V4_R1.fastq.gz;zr24558_15V3V4_R2.fastq.gz	
zr24558_16V3V4	21A.R1.48H	zr24558_16V3V4_R1.fastq.gz;zr24558_16V3V4_R2.fastq.gz	
zr24558_17V3V4	21A.R2.48H	zr24558_17V3V4_R1.fastq.gz;zr24558_17V3V4_R2.fastq.gz	
zr24558_18V3V4	21A.S1.48H	zr24558_18V3V4_R1.fastq.gz;zr24558_18V3V4_R2.fastq.gz	
zr24558_19V3V4	21A.S2.48H	zr24558_19V3V4_R1.fastq.gz;zr24558_19V3V4_R2.fastq.gz	
zr24558_20V3V4	21A.NC.48H	zr24558_20V3V4_R1.fastq.gz;zr24558_20V3V4_R2.fastq.gz	
zr24558_21V3V4	66A.R1.48H	zr24558_21V3V4_R1.fastq.gz;zr24558_21V3V4_R2.fastq.gz	
zr24558_22V3V4	66A.R2.48H	zr24558_22V3V4_R1.fastq.gz;zr24558_22V3V4_R2.fastq.gz	
zr24558_23V3V4	66A.S1.48H	zr24558_23V3V4_R1.fastq.gz;zr24558_23V3V4_R2.fastq.gz	
zr24558_24V3V4	66A.S2.48H	zr24558_24V3V4_R1.fastq.gz;zr24558_24V3V4_R2.fastq.gz	
zr24558_25V3V4	66A.NC.48H	zr24558_25V3V4_R1.fastq.gz;zr24558_25V3V4_R2.fastq.gz	
zr24558_26V3V4	41B.R1.48H	zr24558_26V3V4_R1.fastq.gz;zr24558_26V3V4_R2.fastq.gz	
zr24558_27V3V4	41B.R2.48H	zr24558_27V3V4_R1.fastq.gz;zr24558_27V3V4_R2.fastq.gz	
zr24558_28V3V4	41B.S1.48H	zr24558_28V3V4_R1.fastq.gz;zr24558_28V3V4_R2.fastq.gz	
zr24558_29V3V4	41B.S2.48H	zr24558_29V3V4_R1.fastq.gz;zr24558_29V3V4_R2.fastq.gz	
zr24558_30V3V4	41B.NC.48H	zr24558_30V3V4_R1.fastq.gz;zr24558_30V3V4_R2.fastq.gz	
zr24558_31V3V4	50B.R1.48H	zr24558_31V3V4_R1.fastq.gz;zr24558_31V3V4_R2.fastq.gz	
zr24558_32V3V4	50B.R2.48H	zr24558_32V3V4_R1.fastq.gz;zr24558_32V3V4_R2.fastq.gz	
zr24558_33V3V4	50B.S1.48H	zr24558_33V3V4_R1.fastq.gz;zr24558_33V3V4_R2.fastq.gz	
zr24558_34V3V4	50B.S2.48H	zr24558_34V3V4_R1.fastq.gz;zr24558_34V3V4_R2.fastq.gz	
zr24558_35V3V4	50B.NC.48H	zr24558_35V3V4_R1.fastq.gz;zr24558_35V3V4_R2.fastq.gz	
zr24558_37V3V4	67A.R2.48H	zr24558_37V3V4_R1.fastq.gz;zr24558_37V3V4_R2.fastq.gz	
zr24558_38V3V4	67A.S1.48H	zr24558_38V3V4_R1.fastq.gz;zr24558_38V3V4_R2.fastq.gz	
zr24558_39V3V4	67A.S2.48H	zr24558_39V3V4_R1.fastq.gz;zr24558_39V3V4_R2.fastq.gz	
zr24558_40V3V4	67A.NC.48H	zr24558_40V3V4_R1.fastq.gz;zr24558_40V3V4_R2.fastq.gz	
zr24558_41V3V4	92A.R1.48H	zr24558_41V3V4_R1.fastq.gz;zr24558_41V3V4_R2.fastq.gz	
zr24558_42V3V4	92A.R2.48H	zr24558_42V3V4_R1.fastq.gz;zr24558_42V3V4_R2.fastq.gz	
zr24558_43V3V4	92A.S1.48H	zr24558_43V3V4_R1.fastq.gz;zr24558_43V3V4_R2.fastq.gz	
zr24558_44V3V4	92A.S2.48H	zr24558_44V3V4_R1.fastq.gz;zr24558_44V3V4_R2.fastq.gz	
zr24558_45V3V4	92A.NC.48H	zr24558_45V3V4_R1.fastq.gz;zr24558_45V3V4_R2.fastq.gz	
zr24558_46V3V4	92B.R1.48H	zr24558_46V3V4_R1.fastq.gz;zr24558_46V3V4_R2.fastq.gz	
zr24558_47V3V4	92B.R2.48H	zr24558_47V3V4_R1.fastq.gz;zr24558_47V3V4_R2.fastq.gz	
zr24558_48V3V4	92B.S1.48H	zr24558_48V3V4_R1.fastq.gz;zr24558_48V3V4_R2.fastq.gz	
zr24558_49V3V4	92B.S2.48H	zr24558_49V3V4_R1.fastq.gz;zr24558_49V3V4_R2.fastq.gz	
zr24558_50V3V4	92B.NC.48H	zr24558_50V3V4_R1.fastq.gz;zr24558_50V3V4_R2.fastq.gz	
zr24558_51V3V4	161A.R1.48H	zr24558_51V3V4_R1.fastq.gz;zr24558_51V3V4_R2.fastq.gz	
zr24558_52V3V4	161A.R2.48H	zr24558_52V3V4_R1.fastq.gz;zr24558_52V3V4_R2.fastq.gz	
zr24558_53V3V4	161A.S1.48H	zr24558_53V3V4_R1.fastq.gz;zr24558_53V3V4_R2.fastq.gz	
zr24558_54V3V4	161A.S2.48H	zr24558_54V3V4_R1.fastq.gz;zr24558_54V3V4_R2.fastq.gz	
zr24558_55V3V4	161A.NC.48H	zr24558_55V3V4_R1.fastq.gz;zr24558_55V3V4_R2.fastq.gz	
zr24558_56V3V4	66B.R1.48H	zr24558_56V3V4_R1.fastq.gz;zr24558_56V3V4_R2.fastq.gz	
zr24558_57V3V4	66B.R2.48H	zr24558_57V3V4_R1.fastq.gz;zr24558_57V3V4_R2.fastq.gz	
zr24558_58V3V4	66B.S1.48H	zr24558_58V3V4_R1.fastq.gz;zr24558_58V3V4_R2.fastq.gz	
zr24558_59V3V4	66B.S2.48H	zr24558_59V3V4_R1.fastq.gz;zr24558_59V3V4_R2.fastq.gz	
zr24558_60V3V4	66B.NC.48H	zr24558_60V3V4_R1.fastq.gz;zr24558_60V3V4_R2.fastq.gz	
zr24558_61V3V4	123A.R1.48H	zr24558_61V3V4_R1.fastq.gz;zr24558_61V3V4_R2.fastq.gz	
zr24558_62V3V4	123A.R2.48H	zr24558_62V3V4_R1.fastq.gz;zr24558_62V3V4_R2.fastq.gz	
zr24558_63V3V4	123A.S1.48H	zr24558_63V3V4_R1.fastq.gz;zr24558_63V3V4_R2.fastq.gz	
zr24558_64V3V4	123A.S2.48H	zr24558_64V3V4_R1.fastq.gz;zr24558_64V3V4_R2.fastq.gz	
zr24558_65V3V4	123A.NC.48H	zr24558_65V3V4_R1.fastq.gz;zr24558_65V3V4_R2.fastq.gz	
zr24558_66V3V4	58B.R1.48H	zr24558_66V3V4_R1.fastq.gz;zr24558_66V3V4_R2.fastq.gz	
zr24558_67V3V4	58B.R2.48H	zr24558_67V3V4_R1.fastq.gz;zr24558_67V3V4_R2.fastq.gz	
zr24558_68V3V4	58B.S1.48H	zr24558_68V3V4_R1.fastq.gz;zr24558_68V3V4_R2.fastq.gz	
zr24558_69V3V4	58B.S2.48H	zr24558_69V3V4_R1.fastq.gz;zr24558_69V3V4_R2.fastq.gz	
zr24558_70V3V4	58B.NC.48H	zr24558_70V3V4_R1.fastq.gz;zr24558_70V3V4_R2.fastq.gz	
zr24558_71V3V4	137B.R1.48H	zr24558_71V3V4_R1.fastq.gz;zr24558_71V3V4_R2.fastq.gz	
zr24558_72V3V4	137B.R2.48H	zr24558_72V3V4_R1.fastq.gz;zr24558_72V3V4_R2.fastq.gz	
zr24558_73V3V4	137B.S1.48H	zr24558_73V3V4_R1.fastq.gz;zr24558_73V3V4_R2.fastq.gz	
zr24558_74V3V4	137B.S2.48H	zr24558_74V3V4_R1.fastq.gz;zr24558_74V3V4_R2.fastq.gz	
zr24558_75V3V4	137B.NC.48H	zr24558_75V3V4_R1.fastq.gz;zr24558_75V3V4_R2.fastq.gz	
zr24558_76V3V4	276B.R1.48H	zr24558_76V3V4_R1.fastq.gz;zr24558_76V3V4_R2.fastq.gz	
zr24558_77V3V4	276B.R2.48H	zr24558_77V3V4_R1.fastq.gz;zr24558_77V3V4_R2.fastq.gz	
zr24558_78V3V4	276B.S1.48H	zr24558_78V3V4_R1.fastq.gz;zr24558_78V3V4_R2.fastq.gz	
zr24558_79V3V4	276B.S2.48H	zr24558_79V3V4_R1.fastq.gz;zr24558_79V3V4_R2.fastq.gz	
zr24558_80V3V4	276B.NC.48H	zr24558_80V3V4_R1.fastq.gz;zr24558_80V3V4_R2.fastq.gz	
zr24558_81V3V4	123B.R1.48H	zr24558_81V3V4_R1.fastq.gz;zr24558_81V3V4_R2.fastq.gz	
zr24558_82V3V4	123B.R2.48H	zr24558_82V3V4_R1.fastq.gz;zr24558_82V3V4_R2.fastq.gz	
zr24558_83V3V4	123B.S1.48H	zr24558_83V3V4_R1.fastq.gz;zr24558_83V3V4_R2.fastq.gz	
zr24558_84V3V4	123B.S2.48H	zr24558_84V3V4_R1.fastq.gz;zr24558_84V3V4_R2.fastq.gz	
zr24558_85V3V4	123B.NC.48H	zr24558_85V3V4_R1.fastq.gz;zr24558_85V3V4_R2.fastq.gz	
zr24558_86V3V4	116A.R1.48H	zr24558_86V3V4_R1.fastq.gz;zr24558_86V3V4_R2.fastq.gz	
zr24558_87V3V4	116A.R2.48H	zr24558_87V3V4_R1.fastq.gz;zr24558_87V3V4_R2.fastq.gz	
zr24558_88V3V4	116A.S1.48H	zr24558_88V3V4_R1.fastq.gz;zr24558_88V3V4_R2.fastq.gz	
zr24558_89V3V4	116A.S2.48H	zr24558_89V3V4_R1.fastq.gz;zr24558_89V3V4_R2.fastq.gz	
zr24558_90V3V4	116A.NC.48H	zr24558_90V3V4_R1.fastq.gz;zr24558_90V3V4_R2.fastq.gz	
zr24558_91V3V4	239B.R1.48H	zr24558_91V3V4_R1.fastq.gz;zr24558_91V3V4_R2.fastq.gz	
zr24558_92V3V4	239B.R2.48H	zr24558_92V3V4_R1.fastq.gz;zr24558_92V3V4_R2.fastq.gz	
