#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	137B.R1.48H	137B.R2.48H	137B.S1.48H	137B.S2.48H	137B.NC.48H	276B.R1.48H	276B.R2.48H	276B.S1.48H	276B.S2.48H	276B.NC.48H	123B.R1.48H	123B.R2.48H	123B.S1.48H	123B.S2.48H	123B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	MediaControl	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	276A.R1.48H	276A.R2.48H	276A.S1.48H	276A.S2.48H	276A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	137A.R1.48H	137A.S1.48H	137A.S2.48H	137A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	116B.R1.48H	116B.R2.48H	116B.S1.48H	116B.S2.48H	116B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	116A.NC.0H	137B.R1.0H	137B.R2.0H	137B.S1.0H	137B.S2.0H	137B.NC.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	67A.NC.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	73.NC.0H	MediaControl48h	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	67B.NC.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	92A.NC.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	176A.NC.0H	137A.R1.0H	137A.R2.0H	137A.S1.0H	137A.S2.0H	137A.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	73A.NC.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.NC.0H	66B.S2.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	66A.NC.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	92B.NC.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	20	120	144	41	0	0	0	0	0	0	0	0	0	0	363	0	229	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	65	0	69	74	0	34	0	256	99	0	99	16	229	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3831	3390	3425	3237	3459	0	0	0	0	0	0	0	0	0	0	20	18	21	22	15	2071	1799	2555	2334	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	122	0	0	0	0	0	0	0	49	33	37	27	43	28	28	29	0	0	0	0	0	0	0	0	0	0	25	26	50	25	30	55	85	56
k__Bacteria;p__Actinobacteria	4266	5153	5299	2499	4385	16707	8760	14089	4843	16314	3037	14381	1955	12061	12713	16759	16825	13654	16649	2093	5425	30553	14951	5479	9404	8282	16191	13477	21098	11195	6630	22793	12088	13577	8065	11589	8679	8143	6834	17868	22708	17754	36718	15376	13486	32133	39958	15323	9530	18727	34653	11900	39475	12930	35397	38089	12395	42845	7503	3356	2211	3339	3092	4075	2564	61143	2820	27521	2164	14286	48944	28538	48408	8584	5100	13271	2668	4180	4732	4074	7931	2799	4005	2949	9913	12480	9516	20133	12721	13159	30115	20605	25000	22432	232	3656	21308	9844	20604	5120	1810	5828	1873	9974	2809	3159	4190	1997	1088	3008	1192	8950	1155	2325	270	6771	6322	39975	6525	5059	13609	5760	8786	4956	20707	34639	17398	30858	17894	1692	7532	3477	1763	1592	3317	6964	4131	6596	3155	3555	27612	17479	22643	11057	17524	20187	12408	7841	11571	25662	21089	22266	36059	16687	18292	25709	23284	20712	24154	13622	14787	14807	9773	10798	21891	21706	21079	19259	23087	5395	7184	9120	7174	9160	17477	14302	12434	14936	16716	27467	24384	32084	31965	22514	3126	2625	2732	3756	5249	5559	1474	18053	19371	17781	15132	17788	3519	4945	4247	2944	5388	8458	7150	7507	9118	7999	10387	20137	4214	11045	12131	1642	2175	2012	2346	3322	7088	5919	5594	7213	5845	3922	4400	4493	4948	5634	17038	15242	15990	17170	23294	5954	6586	8993	8070	6577	8725	7589	10711	7331	7729	9191	11142	11584	18062	14542	4735	5324	5150	3530	4050	5051	2074	3375	6357	3848	4175	4603	7241	6306	7075	2064	3182	21595	4699	5959	5926	8212	3081	6644	9988	22018	14405	13968	13163	24211	14750	16756	13428	26	6658	4439	4500	3219	469	1824	1691	1968	2340	17857	18394	18611	15824	15774	20743	25348	20210
k__Bacteria;p__Bacteroidetes	4912	9157	4877	4169	3759	13833	16209	20881	11936	7469	15384	0	18983	0	19278	13448	19022	9021	18247	9748	10524	13	2303	7516	13434	3907	2411	7205	11950	3307	3362	54	843	1476	3671	8624	8366	5836	6095	4613	11	4321	27	6569	5752	112	76	6941	4441	2074	0	2157	11	1375	2199	58	4816	145	2769	22605	7197	19703	1162	19608	9731	0	0	0	0	1277	832	2961	906	2139	3423	1991	4586	4018	2900	15494	6289	10040	4299	11070	13358	5833	11308	3804	17435	6881	0	11392	1925	8161	18934	12719	6347	10496	7065	16942	12698	2033	16428	1571	17044	10278	7122	11354	10606	13441	7803	4829	6394	2856	4118	3878	5519	398	9148	10704	4497	11662	6815	9784	3605	27	3569	3961	4494	5824	3244	10004	2324	9352	9837	209	10101	3437	7861	7787	3906	4515	8237	3717	8812	4434	4998	11900	5581	1760	5182	4875	0	6039	5005	287	4998	4618	7131	95	89	76	99	53	0	0	0	0	0	190	389	371	221	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	297	215	310	255	45	43	38	117	64	32	52	40	36	66	0	0	0	0	0	331	445	582	275	205	0	0	0	0	0	0	0	0	0	0	42	13	14	86	33	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	28178	60516	47273	25848	35842	14643	36888	16253	37748	36165	34636	43439	36119	27496	36237	18838	13320	21246	17162	30776	65525	28693	52948	43699	48713	25105	18840	37118	24430	31365	40554	47273	28490	35170	29825	19435	20239	23750	20179	31091	14621	21541	8632	33283	30615	11136	10895	34659	34812	22120	11835	21372	16763	21960	27328	18257	42414	23863	34627	23560	84881	31385	49697	37236	35060	29364	60674	59154	46214	17410	5635	31903	4296	48379	40128	1513	27733	8096	33523	40232	59838	27244	34335	30074	21969	11866	15086	12649	31471	10621	4019	14643	9377	15584	49262	16576	3943	19848	10840	16732	11181	9235	12352	4004	13161	48545	44827	40152	36140	44884	53522	43929	42991	55905	41460	31025	35330	23411	39648	56271	35308	51455	41132	44775	21385	17802	20271	20017	29554	44673	50026	52588	39286	48687	43322	58767	45807	51315	43811	43748	2307	29628	2723	42240	33463	587	35947	7490	31847	3882	10952	13989	1407	10876	20890	27436	14973	15825	41221	37410	44652	33291	38018	36476	28601	31591	32370	28427	33190	32421	36077	44770	35407	45059	38276	38688	34682	37209	42749	23967	21134	27037	26699	18765	56735	43145	50901	45499	53192	53802	51851	26461	27804	28323	23897	28154	38613	57566	52905	39042	62996	14145	13300	15831	16665	14113	40048	59577	22927	37327	35305	39950	51664	43963	51335	63073	38897	33182	33087	41512	32424	47048	53071	48792	47505	66433	31799	26860	29755	28054	43564	40594	37081	49257	42146	35508	45998	44011	57734	42564	45633	0	34564	47168	43240	36110	66954	50238	48167	34530	32992	53220	27744	37299	68950	47125	42507	38501	38636	33219	39494	32711	44448	32419	47722	49257	30316	45431	43151	40884	52411	46976	33060	30475	29649	52969	45435	50700	44601	10748	51153	40437	42333	59243	641	56668	51527	55261	67516	37519	42233	39689	32950	30980	30785	40482	31100
k__Bacteria;p__Fusobacteria	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	45	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	12	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	15939	16617	4437	10482	4956	20193	311	513	16	22	3464	143	3092	250	251	1033	5951	754	0	10878	811	0	36	798	2368	10376	5628	15170	6430	6095	7720	478	2580	3899	10289	11574	16219	9769	6338	12122	1875	7622	3219	9821	8046	1044	1350	10458	9472	13721	1309	9572	698	14689	2312	0	852	0	723	14637	6448	9430	5833	21038	0	155	1960	0	14	3885	3562	6074	6889	4777	685	39047	14033	53410	460	9323	10542	10392	5978	6450	21068	11476	23276	20888	10413	13095	25640	13989	11683	12847	0	18506	17191	14971	14003	17128	29428	40944	28015	34223	16732	3676	966	2489	1442	1862	338	154	424	213	265	458	283	153	535	873	514	516	359	1269	5157	2920	7436	5388	4884	497	329	407	200	287	3493	23	3149	529	3780	2321	13694	2961	14436	2084	2537	24441	2357	36101	660	16070	13990	18306	12743	21121	7527	210	4169	6888	10799	0	0	0	0	0	24	26	19	23	28	0	0	25	0	14	77	81	59	65	67	0	0	0	0	0	0	0	0	0	0	0	0	18	25	22	26	27	0	15	0	0	0	29235	28435	33123	31107	29944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	104	94	80	101	161	0	0	0	0	0	0	11	30	23	11	0	60	21	77	38	0	16	0	11	0	77	0	0	101	0	0	0	0	0	0	0	0	15289	0	0	14	35	0	0	26	0	0	0	0	0	15	0	0	0	0	0	11	0	318	0	0	0	0	0	0	0	0	0	0	13	0
