internal_id	customer_label	rawseqs(R1+R2)	trimmed_seqs(R1+R2)	dada2_infered	chimera_seqs	chimera_free_seqs	unique_seqs	seqs(after_size_filtration)	final_unique_seqs
zr24558_1V3V4	84B.R1.48H	126020	126020	60831	6857	53974	225	53584	136
zr24558_2V3V4	84B.R2.48H	226262	226256	107855	14624	93231	451	92462	242
zr24558_3V3V4	84B.S1.48H	159572	159564	75671	12163	63508	407	62909	229
zr24558_4V3V4	84B.S2.48H	104054	104054	50226	6883	43343	183	42998	88
zr24558_5V3V4	84B.NC.48H	120904	120904	57209	6987	50222	354	49618	197
zr24558_6V3V4	21B.R1.48H	147532	147530	72701	7034	65667	179	65388	83
zr24558_7V3V4	21B.R2.48H	154920	154920	74703	11959	62744	322	62180	152
zr24558_8V3V4	21B.S1.48H	125902	125902	61546	9404	52142	222	51763	107
zr24558_9V3V4	21B.S2.48H	130898	130896	63587	8702	54885	250	54543	128
zr24558_10V3V4	21B.NC.48H	141232	141232	69557	9361	60196	134	59970	69
zr24558_11V3V4	73B.R1.48H	142494	142492	68513	7540	60973	262	60614	151
zr24558_12V3V4	73B.R2.48H	143944	143944	71142	13076	58066	72	57963	49
zr24558_13V3V4	73B.S1.48H	154276	154274	74469	9690	64779	205	64506	130
zr24558_14V3V4	73B.S2.48H	98416	98416	48359	8394	39965	93	39807	51
zr24558_15V3V4	73B.NC..48H	170856	170856	82995	13768	69227	271	68852	129
zr24558_16V3V4	21A.R1.48H	119156	119156	57634	7177	50457	221	50100	118
zr24558_17V3V4	21A.R2.48H	129778	129774	63806	8515	55291	126	55118	63
zr24558_18V3V4	21A.S1.48H	108100	108100	52198	7076	45122	221	44687	112
zr24558_19V3V4	21A.S2.48H	121174	121170	59594	7335	52259	143	52058	71
zr24558_20V3V4	21A.NC.48H	127370	127370	62351	7563	54788	139	54628	77
zr24558_21V3V4	66A.R1.48H	207408	207408	100414	17464	82950	373	82365	203
zr24558_22V3V4	66A.R2.48H	143722	143720	70975	11574	59401	71	59259	46
zr24558_23V3V4	66A.S1.48H	176694	176694	86272	15766	70506	186	70238	108
zr24558_24V3V4	66A.S2.48H	141980	141978	68394	10137	58257	354	57587	184
zr24558_25V3V4	66A.NC.48H	169412	169410	82289	6645	75644	279	75268	141
zr24558_26V3V4	41B.R1.48H	113298	113296	54456	5263	49193	242	48773	147
zr24558_27V3V4	41B.R2.48H	99106	99106	48320	5017	43303	159	43070	83
zr24558_28V3V4	41B.S1.48H	176916	176916	85061	8926	76135	358	75446	204
zr24558_29V3V4	41B.S2.48H	149164	149164	72842	8637	64205	178	63921	102
zr24558_30V3V4	41B.NC.48H	122866	122866	59239	6110	53129	262	52655	150
zr24558_31V3V4	50B.R1.48H	136684	136684	66208	6803	59405	220	59053	133
zr24558_32V3V4	50B.R2.48H	154008	154008	76119	5212	70907	111	70709	70
zr24558_33V3V4	50B.S1.48H	100222	100222	48825	4263	44562	173	44219	97
zr24558_34V3V4	50B.S2.48H	123830	123828	60291	5427	54864	198	54540	122
zr24558_35V3V4	50B.NC.48H	121752	121752	58690	5522	53168	251	52765	156
zr24558_37V3V4	67A.R2.48H	126676	126676	61190	7238	53952	221	53667	126
zr24558_38V3V4	67A.S1.48H	130686	130684	63176	5602	57574	236	57229	134
zr24558_39V3V4	67A.S2.48H	120616	120614	58315	7121	51194	256	50795	147
zr24558_40V3V4	67A.NC.48H	101262	101260	48676	6169	42507	196	42195	107
zr24558_41V3V4	92A.R1.48H	158258	158256	76544	10034	66510	284	66117	169
zr24558_42V3V4	92A.R2.48H	101234	101232	49315	9860	39455	105	39338	72
zr24558_43V3V4	92A.S1.48H	129116	129116	62105	9333	52772	253	52390	158
zr24558_44V3V4	92A.S2.48H	110464	110464	54402	5683	48719	78	48656	60
zr24558_45V3V4	92A.NC.48H	163964	163960	78445	12211	66234	312	65777	176
zr24558_46V3V4	92B.R1.48H	148742	148738	71210	11138	60072	291	59570	157
zr24558_47V3V4	92B.R2.48H	120362	120362	59256	14466	44790	109	44629	70
zr24558_48V3V4	92B.S1.48H	117814	117812	57974	5295	52679	121	52470	74
zr24558_49V3V4	92B.S2.48H	165012	165010	79749	9190	70559	291	70098	161
zr24558_50V3V4	92B.NC.48H	140500	140500	67516	8391	59125	298	58672	159
zr24558_51V3V4	161A.R1.48H	128202	128202	62311	4823	57488	225	57042	135
zr24558_52V3V4	161A.R2.48H	113558	113558	56044	8071	47973	80	47816	44
zr24558_53V3V4	161A.S1.48H	104124	104124	50291	4703	45588	220	45244	137
zr24558_54V3V4	161A.S2.48H	138688	138686	68469	11308	57161	106	56980	61
zr24558_55V3V4	161A.NC.48H	118106	118104	57245	5467	51778	233	51324	138
zr24558_56V3V4	66B.R1.48H	154792	154792	75676	8158	67518	172	67311	113
zr24558_57V3V4	66B.R2.48H	126390	126390	62537	6040	56497	72	56404	52
zr24558_58V3V4	66B.S1.48H	141696	141694	68062	7118	60944	260	60524	149
zr24558_59V3V4	66B.S2.48H	148782	148782	73671	6697	66974	74	66853	48
zr24558_60V3V4	66B.NC.48H	112050	112050	53626	7566	46060	250	45622	127
zr24558_61V3V4	123A.R1.48H	165142	165142	80779	11732	69047	198	68720	95
zr24558_62V3V4	123A.R2.48H	221172	221170	109530	8576	100954	118	100764	67
zr24558_63V3V4	123A.S1.48H	166056	166056	80975	14436	66539	186	66268	96
zr24558_64V3V4	123A.S2.48H	132490	132488	65684	5813	59871	73	59784	45
zr24558_65V3V4	123A.NC.48H	206952	206946	101126	12436	88690	213	88428	104
zr24558_66V3V4	58B.R1.48H	142346	142344	68459	11115	57344	227	57083	125
zr24558_67V3V4	58B.R2.48H	209876	209874	103194	11455	91739	127	91598	90
zr24558_68V3V4	58B.S1.48H	199338	199332	96644	20825	75819	168	75596	105
zr24558_69V3V4	58B.S2.48H	216216	216214	106555	19698	86857	103	86675	54
zr24558_70V3V4	58B.NC.48H	152670	152670	73958	14406	59552	138	59382	94
zr24558_71V3V4	137B.R1.48H	84376	84376	41173	3360	37813	163	37546	100
zr24558_72V3V4	137B.R2.48H	124244	124240	61581	2467	59114	77	59022	56
zr24558_73V3V4	137B.S1.48H	161754	161754	79297	7992	71305	203	70996	120
zr24558_74V3V4	137B.S2.48H	130186	130186	64583	3926	60657	79	60553	55
zr24558_75V3V4	137B.NC.48H	149652	149652	72868	8273	64595	182	64426	134
zr24558_76V3V4	276B.R1.48H	126242	126242	59999	9697	50302	264	49964	170
zr24558_77V3V4	276B.R2.48H	119832	119830	59445	3402	56043	56	55906	27
