#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	67B.NC.0H	92A.NC.0H	176A.NC.0H	73A.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.S2.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	66A.NC.0H	92B.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H	161A.NC.0H	116A.NC.0H	67A.NC.0H	73.NC.0H
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	120	144	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	60	0	0	0	0	0	3831	3390	3425	3237	0	0	0	0	2071	1799	2555	2334	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	22	0	0	0	0	0	30	0	0	0	0	0	49	33	37	25	26	50	25	55	85	56	3459	0	1731	0
k__Bacteria;p__Actinobacteria	4266	5153	5299	2499	4385	3037	14381	1955	12061	12713	5425	30553	14951	5479	9404	11589	8679	8143	6834	17868	22708	17754	36718	15376	13486	32133	39958	15323	9530	35397	38089	12395	42845	7503	9913	12480	9516	20133	12721	3656	21308	9844	20604	5120	3159	4190	1997	1088	3008	1692	7532	3477	1763	1592	18292	25709	23284	20712	24154	17524	20187	12408	7841	11571	13622	14787	14807	9773	5395	7184	9120	7174	27467	24384	32084	31965	3126	2625	2732	3756	2944	9118	11045	8070	17788	3519	4945	4247	5388	8458	7150	7507	7999	10387	20137	4214	23294	5954	6586	8993	6577	8725	7589	7331	14542	4735	5324	5150	3530	6644	15774	5959	5926	8212	3081	9988	22018	14405	13968	17857	18394	18611	15824	20743	25348	20210	10798	9160	22514	5249
k__Bacteria;p__Bacteroidetes	4912	9157	4877	4169	3759	15384	0	18983	0	19278	10524	13	2303	7516	13434	8624	8366	5836	6095	4613	11	4321	27	6569	5752	112	76	6941	4441	2199	58	4816	145	2769	13358	5833	11308	3804	17435	12719	6347	10496	7065	16942	10278	7122	11354	10606	13441	5824	3244	10004	2324	9352	5005	287	4998	4618	7131	8812	4434	4998	11900	5581	95	89	76	99	190	389	371	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	331	445	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	420	0	0
k__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	28178	60516	47273	25848	35842	34636	43439	36119	27496	36237	65525	28693	52948	43699	48713	19435	20239	23750	20179	31091	14621	21541	8632	33283	30615	11136	10895	34659	34812	27328	18257	42414	23863	34627	21969	11866	15086	12649	31471	16576	3943	19848	10840	16732	48545	44827	40152	36140	44884	44673	50026	52588	39286	48687	20890	27436	14973	15825	41221	33463	587	35947	7490	31847	37410	44652	33291	38018	32421	36077	44770	35407	23967	21134	27037	26699	56735	43145	50901	45499	39042	16665	37327	42146	28154	38613	57566	52905	62996	14145	13300	15831	14113	40048	59577	22927	43564	40594	37081	49257	35508	45998	44011	42564	36110	66954	50238	48167	34530	40884	30980	49257	30316	45431	43151	52411	46976	33060	30475	37519	42233	39689	32950	30785	40482	31100	36476	45059	18765	53192
k__Bacteria;p__Fusobacteria	0	15	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	45	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	15939	16617	4437	10482	4956	3464	143	3092	250	251	811	0	36	798	2368	11574	16219	9769	6338	12122	1875	7622	3219	9821	8046	1044	1350	10458	9472	2312	0	852	0	723	21068	11476	23276	20888	10413	18506	17191	14971	14003	17128	3676	966	2489	1442	1862	497	329	407	200	287	7527	210	4169	6888	10799	2537	24441	2357	36101	660	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	31107	0	0	27	0	15	0	0	29235	28435	33123	29944	0	0	0	161	0	0	0	0	0	11	23	38	0	16	0	11	0	0	0	14	35	0	26	0	0	0	0	0	0	0	0	13	0	0	14	0	0
k__Bacteria;p__Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
k__Bacteria;p__Verrucomicrobia	289	970	986	0	665	4057	0	4357	0	332	22	0	0	53	837	2413	3581	3106	2708	323	101	1118	47	571	1645	184	173	2685	380	63	0	24	0	0	874	57	246	28	772	0	0	0	0	0	608	21	546	156	711	558	119	924	36	881	0	0	0	0	360	460	0	121	0	661	520	641	544	474	89	118	149	87	72	55	102	96	0	0	0	0	0	0	0	41	0	0	0	16	13	0	0	0	0	0	0	0	16	23	24	61	19	146	121	79	122	12	13	12	0	0	299	33	0	0	0	0	525	298	263	330	413	481	335	397	633	431	455	126	70	0
