#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	67B.NC.0H	92A.NC.0H	176A.NC.0H	73A.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.S2.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	66A.NC.0H	92B.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H	161A.NC.0H	116A.NC.0H	67A.NC.0H	73.NC.0H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	120	144	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	60	0	0	0	0	0	3831	3390	3425	3237	0	0	0	0	2071	1799	2555	2334	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	22	0	0	0	0	0	30	0	0	0	0	0	49	33	37	25	26	50	25	55	85	56	3459	0	1731	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	72	81	0	56	36	17	13	12	0	13	0	0	0	0	0	0	0	0	11	12	0	0	16	0	14	0	0	0	24	12	19	14	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	0	12	15	15	0	21	0	0	0	0	0	44	0	11	0	48	29	51	45	16	0	0	0	0	17	29	47	33	91	37	66	95	18	46	68	80	27	21	29	27	38	82	52	54	76	41	129	31	327	52	55	88	34	0	0	0	45	14	27	46	23	15	11	68	30	45	11	34	34	19	13	17	22	25	16	17	14	13	12	0	27	22
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	1730	2622	2815	1223	2354	1106	13275	1387	11957	3693	1989	26790	10115	2518	5171	9284	6263	5581	5017	16324	22108	17068	35972	13583	12813	32026	39868	14571	8663	30845	35195	2857	39689	1916	4800	11207	5544	14003	6167	1517	19604	7323	17964	1264	1831	1923	1169	637	1794	1432	7022	2955	1592	794	13945	23835	21784	18605	19793	11048	19959	9346	7138	5380	3820	4341	3943	3123	4434	5616	6971	5447	23434	19907	26219	25951	2541	2296	2306	3342	597	7935	8332	1699	10251	860	1068	1000	1203	7239	6239	6647	6844	8349	14566	3694	20029	1415	1454	1947	1320	6447	5780	5377	14194	4503	4944	4712	3200	5108	15581	2516	4010	5697	2608	6761	21655	14244	13775	17621	18151	18358	15602	20478	24950	19950	3337	6792	18359	4911
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	12	27	29	0	24	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	2524	2432	2374	1276	1951	1895	1089	555	92	9020	3423	3763	4836	2961	2453	2305	2416	2562	1817	1533	588	686	746	1777	673	93	90	752	867	4528	2882	9519	3142	5587	5113	1273	3972	6130	6554	2139	1704	2521	2640	3845	1305	2267	828	451	1214	248	495	507	171	777	4347	1874	1500	2107	3961	6432	228	3051	703	6143	9773	10395	10819	6634	961	1568	2149	1727	4016	4448	5818	5981	494	292	347	305	2329	1137	2645	6291	7510	2638	3848	3220	4147	1137	859	806	1079	1997	5442	489	2875	4487	5077	6958	5223	2278	1809	1954	303	218	353	392	307	1521	182	3375	1886	2470	462	3193	329	142	180	219	221	228	206	248	384	247	7449	2368	4128	316
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	3187	5918	3121	1357	2532	10006	0	4994	0	13152	5078	13	1491	3028	11473	7273	6616	5286	4280	2090	11	1465	27	2758	2572	95	76	2764	2565	1521	58	2756	130	1675	11419	3630	6685	3437	13529	12026	6295	8599	6714	15741	6557	5085	5664	3156	10460	4371	2161	5768	1480	6213	4378	267	3956	3889	5912	7853	4370	4212	9112	5002	0	0	0	0	140	288	272	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	247	325	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	154	114	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	1617	2957	1626	2738	1121	4697	0	12907	0	5702	4851	0	786	4214	1961	845	1717	499	1763	2206	0	2645	0	3179	2781	17	0	3874	1588	449	0	1710	15	902	1867	2064	4530	347	3272	635	52	1729	81	1110	3569	1942	5588	7394	2806	1241	1015	3917	778	2787	302	20	415	292	613	754	64	612	2733	438	0	0	0	0	35	71	68	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	51	61	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0
