#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	65	74	0	99	0	0	0	0	0	0	0	0	0	86	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	65	0	34	0	99	16	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1683	996	3374	3763	307	7841	3214	22624	3855	13537	142	56	991	60624	119	1744	4155	15881	844	7139	6428	1029	6116	1168	11136	1863	6712	18012	13110	166	444	2605	2858	5529	12126	10946	11787	2570	22524	712	1454	1265	26101	125	703	7795	11544	875	2116	5906	39146	1805	4391	3074	7272	2790	5513	7744	27525
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	15024	7764	13385	13062	7975	8350	3416	169	14872	21116	3214	2155	1573	519	3955	6187	9004	14234	348	1811	343	4030	7493	19539	23503	1454	252	7650	7979	13923	4399	11049	13791	7948	8972	1142	1790	9330	16951	2627	1638	1555	1420	2674	3302	12810	13456	280	209	416	829	3955	4395	14324	23586	1341	1083	14522	8534
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	13833	16209	13448	19022	3907	2411	3362	54	2074	0	22605	7197	9731	0	15494	6289	6881	0	7803	4829	3878	10704	4497	3605	27	9837	209	1760	5182	20881	11936	9021	18247	7205	11950	843	1476	2157	11	19703	1162	0	0	10040	4299	11392	1925	6394	2856	5519	398	11662	6815	3569	3961	10101	3437	4875	0
k__Bacteria;p__Firmicutes;c__Bacilli	5393	8905	239	393	3566	656	23383	39783	546	586	852	776	88	1648	11311	7846	482	480	14	11	27	103	777	3035	3834	6782	24420	182	227	1254	9884	135	118	3194	926	20068	22017	404	2061	356	143	69	390	8437	4099	1096	232	37	12	0	105	69	78	4648	991	4808	30607	331	470
k__Bacteria;p__Firmicutes;c__Clostridia	8842	27023	18164	12841	20649	17980	16777	7414	17746	9851	22566	84078	34282	27452	28838	51964	9172	3468	52903	42404	29374	55703	33611	11059	12720	36335	33123	3478	10178	14225	27278	20874	16840	32589	23208	8278	12865	16538	11765	30947	49554	59878	58648	18535	30222	12312	8991	42239	55176	34280	22697	50817	40402	11747	12854	40392	20231	12544	905
k__Bacteria;p__Firmicutes;c__Erysipelotrichia	316	607	435	86	222	25	248	76	3694	1398	142	27	690	264	64	28	265	71	446	1145	1518	161	251	6164	1248	83	12	23	50	719	497	237	204	915	48	94	195	4393	2937	82	0	727	116	105	14	340	101	505	316	996	315	366	244	3644	6156	336	79	222	32
k__Bacteria;p__Firmicutes;c__Negativicutes	92	353	0	0	668	179	146	0	134	0	0	0	0	0	19	0	702	0	159	369	106	304	669	1127	0	122	1212	199	497	55	89	0	0	420	248	50	93	37	0	0	0	0	0	167	0	895	53	210	401	54	294	203	408	232	16	271	398	892	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0	180	1005	0	15	73	1933	80	454	0	0	0	0	0	0	0	13	0	214	72	17	343	450	698	0	2130	0	68	221	0	0	734	0	246	55	407	733	749	0	0	0	0	0	0	0	111	29	138	99	15	0	188	203	931	578	2012	505	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0	0	28	0	0	0	39	0	0	0	29	0	0	0	84	0	0	0	31	0	81	112	0	0	0	997	0	0	0	0	16	0	0	11	0	13	26	0	0	28	0	0	0	28	0	0	0	209	14	0	0	46	0	0	0	881	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	20193	131	0	5951	10361	5555	5748	398	13267	1309	14608	6448	0	155	9239	10542	13082	25640	93	82	360	418	64	4459	2920	366	23	16002	13769	513	0	20	0	14913	6375	2160	3140	8823	698	9402	5833	1960	0	10364	5978	13878	11654	77	100	268	153	282	156	6505	4810	256	24	18306	12743
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0	0	0	0	1103	0	787	111	22	19	4549	16	9717	936	6952	189	305	0	551	184	507	709	58	903	31	594	34	55	176	0	0	0	0	2362	0	218	418	14	33	2361	0	10142	0	2265	170	0	0	195	25	1140	91	438	23	537	757	1053	64	0	0
