#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	65	74	0	99	0	0	0	0	0	0	0	0	0	86	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	65	0	34	0	99	16	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	11	0	0	20	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	1683	985	3374	3763	287	7841	3214	22624	3855	13537	142	56	980	60624	119	1744	4155	15881	844	7139	6428	1017	6116	1168	11136	1863	6712	18012	13110	166	444	2605	2858	5516	12126	10946	11787	2570	22524	712	1454	1265	26101	125	703	7795	11544	875	2116	5906	39146	1805	4391	3074	7272	2790	5513	7744	27513
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	15024	7764	13385	13062	7975	8350	3416	169	14872	21116	3214	2155	1573	519	3955	6187	9004	14234	348	1811	343	4030	7493	19539	23503	1454	252	7650	7979	13923	4399	11049	13791	7948	8972	1142	1790	9330	16951	2627	1638	1555	1420	2674	3302	12810	13456	280	209	416	829	3955	4395	14324	23586	1341	1083	14522	8534
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	13512	12905	9783	18718	1752	1877	2520	54	1232	0	22354	7177	8495	0	15069	6268	5777	0	5483	3118	2573	8154	3551	2719	27	8360	190	1416	4137	13185	9411	4079	17555	5804	3041	642	1116	840	0	12444	1162	0	0	8441	4283	7902	1444	3219	1602	3458	253	7373	2527	2300	1290	6528	1321	4018	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	321	3204	3549	304	1994	534	645	0	671	0	0	0	722	0	18	0	855	0	1990	1655	1147	2340	882	809	0	1259	19	263	781	7608	2430	4873	692	1230	8895	170	296	1214	0	7062	0	0	0	0	0	3038	481	3021	1165	1923	145	4110	4213	1216	2574	3339	588	697	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	65	0	0	0	0	0	0	0	0	0	20	31	0	11	0	0	0	0	0	0	0	0	11	62	0	0	0	26	0	53	38	1528	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0	100	116	0	161	0	159	0	171	0	251	20	514	0	407	21	249	0	330	56	158	210	52	77	0	133	0	81	264	88	95	69	0	171	14	11	33	103	0	197	0	0	0	1599	16	452	0	143	27	138	0	179	49	53	44	173	0	160	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	22	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	18	51	0	0	33	19	26	48	0	0	0	0	0	0	159	45	0	0	0	0	0	0	0	17	42	0	0	0	0	0	55	0	0	23	31	27	32	0	0	0	0	0	0	54	22	14	0	0	0	0	0	0	0	41	26	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	5063	8489	0	0	3425	592	2997	276	0	0	0	0	0	0	10850	6653	341	190	0	0	0	0	0	2975	1092	0	0	0	0	1200	9713	0	0	3089	828	1784	3047	0	0	0	0	0	0	8108	3462	817	113	0	0	0	0	0	0	4000	460	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	12	27	86	333	0	0	0	0	546	188	610	652	0	0	205	1020	0	0	0	0	0	0	0	43	1424	0	0	0	0	0	0	0	44	0	0	0	0	404	228	188	99	0	0	141	572	11	0	11	0	0	0	0	0	327	380	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	208	15	0	0	0	0	74	749	0	398	0	0	0	1309	0	19	0	149	0	0	0	0	0	0	1276	28	604	52	24	0	0	0	0	0	0	278	384	0	1833	0	0	0	74	0	0	0	0	0	0	0	28	0	0	280	125	33	0	0	181
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	23	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	92	323	153	60	108	45	20286	38710	0	0	242	124	66	293	97	109	128	141	14	11	27	103	777	0	0	6754	23816	130	203	54	116	135	74	82	67	17979	18554	0	0	168	44	69	192	134	43	226	119	26	12	0	77	69	78	0	0	4775	30594	308	289
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	14	20	11	0	171	0	581	60	224	0	0	0	528	17	0	0	0	0	1524	203	128	201	15	18	0	623	0	0	0	0	35	0	0	155	0	285	488	150	0	0	0	190	0	0	0	12	0	804	89	87	0	142	14	0	0	667	41	12	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0	3733	160	34	1743	6980	168	122	659	4712	5195	77441	11796	17094	12396	32648	1517	18	7412	5249	2334	8761	3738	1174	1889	4045	265	395	1240	996	14321	316	0	9689	1813	385	514	624	4280	17103	43922	25361	23784	5231	18450	1351	17	4615	6275	2741	1652	8315	6020	2318	1346	3962	213	0	218
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	12	28	28	336	31	11	0	0	0	0	56	173	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	453	45	20	13	241	28	15	0	0	0	0	0	293	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI	0	505	223	0	536	0	0	0	316	0	61	0	0	0	766	0	1112	18	47	0	0	782	12	478	0	12	0	416	1338	48	950	82	0	17	0	0	0	151	0	57	0	0	0	94	0	1084	25	0	0	0	0	427	0	288	75	0	0	2203	58
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII	0	19	0	0	47	0	58	0	96	15	0	0	0	0	0	0	0	0	0	0	0	153	0	17	0	41	0	0	27	0	0	0	0	179	0	0	60	68	15	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	19	0	64	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	7131	17642	12780	9267	7159	7413	7395	5615	8771	73	7047	3144	17365	6544	5918	9639	4829	2518	23199	20374	9846	10979	10545	5367	266	15398	1087	1611	4695	10831	9499	17523	11451	8902	14921	3737	5721	10577	1146	7313	4573	28414	30162	5320	6464	7662	7526	23992	26814	14105	1369	14294	18374	3978	7284	16672	12898	8496	122
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA	0	0	0	0	0	11	72	108	991	1031	0	61	0	46	0	0	0	0	0	0	0	0	0	426	2058	58	35	0	0	0	0	0	0	572	14	39	57	634	1229	0	16	0	0	0	0	0	0	0	0	0	0	25	0	889	703	56	49	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0	0	0	0	64	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	737	76	0	0	0	0	0	0	0	0	0	0	27	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	688	150	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	208	1501	513	153	4106	46	1383	330	4178	3967	6817	1493	2227	2524	7341	2458	0	0	18957	12279	14030	28756	14688	2043	8465	9302	31471	88	235	41	227	432	182	6578	84	644	1092	2454	4953	4037	642	2490	1531	5153	1294	390	0	11329	18735	14281	19246	20750	9848	3497	2631	11559	4177	302	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	1489	3603	4477	3387	6823	3507	7120	1179	2511	53	3446	1939	2366	1227	2417	7219	864	902	1736	4271	2681	5283	4526	1536	42	6856	265	912	2470	2309	2246	2507	5207	6470	6319	3188	4933	1880	142	2437	401	3423	3171	2737	4014	1360	1378	1479	3250	2720	402	5944	5996	777	815	7457	2853	1174	507
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	316	607	435	86	222	25	248	76	3694	1398	142	27	690	264	64	28	265	71	446	1145	1518	161	251	6164	1248	83	12	23	50	719	497	237	204	915	48	94	195	4393	2937	82	0	727	116	105	14	340	101	505	316	996	315	366	244	3644	6156	336	79	222	32
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	159	252	106	88	176	0	0	82	0	0	0	0	0	0	0	104	0	50	75	0	0	0	0	0	0	0	0	0	0	194	401	54	115	107	83	0	0	160	303	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae	92	353	0	0	668	179	66	0	134	0	0	0	0	0	19	0	702	0	0	117	0	216	493	1127	0	40	1212	199	497	55	89	0	0	316	248	0	18	37	0	0	0	0	0	167	0	895	53	16	0	0	179	96	325	232	16	111	95	892	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0	180	1005	0	15	73	1933	80	454	0	0	0	0	0	0	0	13	0	214	72	17	343	450	698	0	2130	0	68	221	0	0	734	0	246	55	407	733	749	0	0	0	0	0	0	0	111	29	138	99	15	0	188	203	931	578	2012	505	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	0	0	28	0	0	0	39	0	0	0	29	0	0	0	84	0	0	0	31	0	81	112	0	0	0	997	0	0	0	0	16	0	0	11	0	13	26	0	0	28	0	0	0	28	0	0	0	209	14	0	0	46	0	0	0	881	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	20193	131	0	5951	10361	5555	5748	398	13267	1309	14608	6448	0	155	9239	10542	13082	25640	93	82	360	418	64	4459	2920	366	23	16002	13769	513	0	20	0	14913	6375	2160	3140	8823	698	9402	5833	1960	0	10364	5978	13878	11654	77	100	268	153	282	156	6505	4810	256	24	18306	12743
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	0	0	0	0	1103	0	787	111	22	19	4549	16	9717	936	6952	189	305	0	551	184	507	709	58	903	31	594	34	55	176	0	0	0	0	2362	0	218	418	14	33	2361	0	10142	0	2265	170	0	0	195	25	1140	91	438	23	537	757	1053	64	0	0
