#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	65	74	0	99	0	0	0	0	0	0	0	0	0	86	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	65	0	34	0	99	16	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	11	0	0	20	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1683	985	3374	3763	287	7841	3214	22624	3855	13537	142	56	980	60624	119	1744	4155	15881	844	7139	6428	1017	6116	1168	11136	1863	6712	18012	13110	166	444	2605	2858	5516	12126	10946	11787	2570	22524	712	1454	1265	26101	125	703	7795	11544	875	2116	5906	39146	1805	4391	3074	7272	2790	5513	7744	27513
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia-Asaccharobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	33	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	14745	6799	12163	12752	7559	8335	3131	147	14181	20757	1761	2078	146	0	3630	6018	8814	14203	121	1525	78	3742	7391	19131	23024	1188	213	7551	7695	13249	3221	10201	13630	7013	8892	1034	1634	8835	16220	1945	1638	52	0	2527	3244	12587	13429	152	41	173	395	3751	4235	14006	23301	1086	1036	14080	8498
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella-Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Denitrobacterium	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	279	951	1222	310	379	15	48	0	0	0	1453	77	1427	519	325	13	190	31	227	286	265	271	88	25	0	55	0	99	267	674	1164	837	161	365	60	20	20	0	0	682	0	1503	1420	147	0	209	27	128	168	243	434	181	147	0	0	45	0	409	36
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterorhabdus	0	0	0	0	0	0	43	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	17	0	14	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Gordonibacter	0	14	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0	14	11	0	28	20	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	23	13	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__NA	0	0	0	0	0	0	0	0	184	194	0	0	0	0	0	156	0	0	0	0	0	0	0	107	241	0	0	0	0	0	0	0	0	230	0	0	0	155	305	0	0	0	0	0	58	0	0	0	0	0	0	0	0	121	111	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella	0	0	0	0	0	0	0	0	85	42	0	0	0	0	0	0	0	0	0	0	0	0	0	31	76	0	0	0	0	0	0	0	0	0	0	0	0	46	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	61	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia	0	0	0	0	0	0	57	0	129	77	0	0	0	0	0	0	0	0	0	0	0	0	0	118	128	79	27	0	0	0	0	0	0	20	0	19	35	100	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	78	94	23	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0	0	0	0	0	0	121	11	293	46	0	0	0	0	0	0	0	0	0	0	0	0	0	127	34	112	0	0	0	0	0	0	0	250	0	43	51	194	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	35	76	13	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	13512	12905	9783	18718	1752	1877	2520	54	1232	0	22354	7177	8495	0	15069	6268	5777	0	5483	3118	2573	8154	3551	2719	27	8360	190	1416	4137	13185	9411	4079	17555	5804	3041	642	1116	840	0	12444	1162	0	0	8441	4283	7902	1444	3219	1602	3458	253	7373	2527	2300	1290	6528	1321	4018	0
