internal_id	customer_label	rawseqs(R1+R2)	trimmed_seqs(R1+R2)	dada2_infered	chimera_seqs	chimera_free_seqs	unique_seqs	seqs(after_size_filtration)	final_unique_seqs
zr24558_6V3V4	21B.R1.48H	147532	147530	72701	7034	65667	179	65388	83
zr24558_7V3V4	21B.R2.48H	154920	154920	74703	11959	62744	322	62180	152
zr24558_16V3V4	21A.R1.48H	119156	119156	57634	7177	50457	221	50100	118
zr24558_17V3V4	21A.R2.48H	129778	129774	63806	8515	55291	126	55118	63
zr24558_26V3V4	41B.R1.48H	113298	113296	54456	5263	49193	242	48773	147
zr24558_27V3V4	41B.R2.48H	99106	99106	48320	5017	43303	159	43070	83
zr24558_31V3V4	50B.R1.48H	136684	136684	66208	6803	59405	220	59053	133
zr24558_32V3V4	50B.R2.48H	154008	154008	76119	5212	70907	111	70709	70
zr24558_51V3V4	161A.R1.48H	128202	128202	62311	4823	57488	225	57042	135
zr24558_52V3V4	161A.R2.48H	113558	113558	56044	8071	47973	80	47816	44
zr24558_61V3V4	123A.R1.48H	165142	165142	80779	11732	69047	198	68720	95
zr24558_62V3V4	123A.R2.48H	221172	221170	109530	8576	100954	118	100764	67
zr24558_66V3V4	58B.R1.48H	142346	142344	68459	11115	57344	227	57083	125
zr24558_67V3V4	58B.R2.48H	209876	209874	103194	11455	91739	127	91598	90
zr24558_81V3V4	123B.R1.48H	183104	183100	89343	12996	76347	205	76075	109
zr24558_82V3V4	123B.R2.48H	205380	205374	100628	15548	85080	172	84800	83
zr24558_91V3V4	239B.R1.48H	102274	102274	49627	5265	44362	183	44101	104
zr24558_92V3V4	239B.R2.48H	136690	136688	67694	7818	59876	55	59774	38
zr24558_112V3V4	58A.R1.48H	168254	168250	81108	17211	63897	326	63421	186
zr24558_113V3V4	58A.R2.48H	151906	151900	73055	14483	58572	324	58046	169
zr24558_117V3V4	137A.R1.48H	106802	106802	51254	8183	43071	238	42704	137
zr24558_122V3V4	41A.R1.48H	179184	179184	86355	11950	74405	402	73690	209
zr24558_123V3V4	41A.R2.48H	131862	131862	63786	9377	54409	268	53986	148
zr24558_127V3V4	161B.R1.48H	116620	116620	56613	4391	52222	246	51856	147
zr24558_128V3V4	161B.R2.48H	129488	129486	63845	8247	55598	99	55419	51
zr24558_137V3V4	50A.R1.48H	149564	149562	71464	10232	61232	384	60563	188
zr24558_138V3V4	50A.R2.48H	148052	148050	73322	7079	66243	101	65997	54
zr24558_152V3V4	239A.R1.48H	113356	113354	55938	8277	47661	126	47452	74
zr24558_153V3V4	239A.R2.48H	121002	121002	59117	7427	51690	175	51414	95
zr24558_8V3V4	21B.S1.48H	125902	125902	61546	9404	52142	222	51763	107
zr24558_9V3V4	21B.S2.48H	130898	130896	63587	8702	54885	250	54543	128
zr24558_18V3V4	21A.S1.48H	108100	108100	52198	7076	45122	221	44687	112
zr24558_19V3V4	21A.S2.48H	121174	121170	59594	7335	52259	143	52058	71
zr24558_28V3V4	41B.S1.48H	176916	176916	85061	8926	76135	358	75446	204
zr24558_29V3V4	41B.S2.48H	149164	149164	72842	8637	64205	178	63921	102
zr24558_33V3V4	50B.S1.48H	100222	100222	48825	4263	44562	173	44219	97
zr24558_34V3V4	50B.S2.48H	123830	123828	60291	5427	54864	198	54540	122
zr24558_53V3V4	161A.S1.48H	104124	104124	50291	4703	45588	220	45244	137
zr24558_54V3V4	161A.S2.48H	138688	138686	68469	11308	57161	106	56980	61
zr24558_63V3V4	123A.S1.48H	166056	166056	80975	14436	66539	186	66268	96
zr24558_64V3V4	123A.S2.48H	132490	132488	65684	5813	59871	73	59784	45
zr24558_68V3V4	58B.S1.48H	199338	199332	96644	20825	75819	168	75596	105
zr24558_69V3V4	58B.S2.48H	216216	216214	106555	19698	86857	103	86675	54
zr24558_83V3V4	123B.S1.48H	127984	127984	61756	8722	53034	200	52740	103
zr24558_84V3V4	123B.S2.48H	119256	119256	58070	9018	49052	161	48787	71
zr24558_93V3V4	239B.S1.48H	139204	139204	67762	6846	60916	202	60642	120
zr24558_94V3V4	239B.S2.48H	115992	115992	56537	8373	48164	127	47997	75
zr24558_114V3V4	58A.S1.48H	134132	134132	64341	12621	51720	344	51159	189
zr24558_115V3V4	58A.S2.48H	162896	162892	79110	17406	61704	238	61324	137
zr24558_119V3V4	137A.S1.48H	120350	120348	58322	9257	49065	251	48659	139
zr24558_120V3V4	137A.S2.48H	150874	150874	74523	10329	64194	110	64028	67
zr24558_124V3V4	41A.S1.48H	171864	171864	82870	12370	70500	343	69865	189
zr24558_125V3V4	41A.S2.48H	143864	143864	69647	12040	57607	261	57126	134
zr24558_129V3V4	161B.S1.48H	110714	110712	53530	3930	49600	197	49324	122
zr24558_130V3V4	161B.S2.48H	139202	139198	67844	6619	61225	182	61021	126
zr24558_139V3V4	50A.S1.48H	156284	156282	74757	9968	64789	358	64241	208
zr24558_140V3V4	50A.S2.48H	141140	141138	68866	6546	62320	233	61941	134
zr24558_154V3V4	239A.S1.48H	135226	135224	66177	6472	59705	160	59467	94
zr24558_155V3V4	239A.S2.48H	128442	128440	63734	13418	50316	45	50235	26
