#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0	72	36	17	13	0	0	11	12	0	14	24	12	27	0	0	0	0	0	0	0	23	0	12	15	0	0	44	0	81	0	13	12	0	0	0	0	0	0	0	0	19	14	21	0	0	0	0	0	0	0	0	0	15	0	0	0	11	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1730	2622	1106	13275	1989	26790	9284	16324	22108	12813	32026	30845	35195	1028	12917	4800	11207	1517	19604	464	4527	1831	1923	1432	7022	13945	23835	11048	19959	2815	1223	1387	11957	10115	2518	6263	5581	17068	35972	39868	14571	2857	39689	361	1467	5544	14003	7323	17964	535	5689	1169	637	2955	1592	21784	18605	9346	7138
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	12	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	2524	2432	1895	1089	3423	3763	2305	1533	588	673	93	4528	2882	4045	354	5113	1273	2139	1704	1346	1301	1305	2267	248	495	4347	1874	6432	228	2374	1276	555	92	4836	2961	2416	2562	686	746	90	752	9519	3142	2286	2713	3972	6130	2521	2640	1338	4285	828	451	507	171	1500	2107	3051	703
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4912	9157	15384	0	10524	13	8624	4613	11	5752	112	2199	58	3423	1991	13358	5833	12719	6347	12698	2033	10278	7122	5824	3244	5005	287	8812	4434	4877	4169	18983	0	2303	7516	8366	5836	4321	27	76	6941	4816	145	4586	4018	11308	3804	10496	7065	16428	1571	11354	10606	10004	2324	4998	4618	4998	11900
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0	69	0	11	0	0	0	0	0	30	51	25	22	0	0	37	30	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	36	34	27	38	0	0	28	76	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2329	13966	528	1010	237	39	0	1335	3013	4923	1695	2041	1892	272	27	17	0	73	41	75	7228	134	37	274	172	1426	2974	1220	22	10323	1548	499	226	241	268	0	0	593	154	1657	6259	7657	2769	146	36	15	12	100	78	60	39	38	17	214	29	3501	4642	734	44
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	21588	42418	33649	42166	60234	26181	16100	28361	11330	25124	8989	13147	6912	38276	1419	21545	11632	12128	3706	10312	1856	46227	38735	44103	49010	18745	8042	28950	471	33329	22280	35213	26334	42086	38736	18658	22528	20681	8372	8889	27795	20400	8562	24780	7898	14857	12477	16843	9057	11153	2990	38429	33211	51798	38956	10707	10661	33605	7251
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	775	3000	459	252	4670	2473	2936	587	278	538	401	12115	9431	1052	67	370	85	4278	196	275	151	1162	641	223	542	195	0	3293	94	2413	326	407	936	8300	4289	1355	1051	235	106	313	571	14311	12494	668	162	186	84	2892	1705	297	975	791	497	363	99	31	69	1608	195
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	3486	1063	0	0	384	0	399	808	0	0	0	0	0	528	0	0	119	97	0	519	0	1022	5414	73	302	524	16420	0	0	864	1694	0	0	2321	406	226	171	32	0	0	0	19	0	2139	0	0	0	13	0	842	0	894	2415	213	202	734	453	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	108	195	0	0	472	0	506	48	0	203	0	159	0	406	0	84	94	523	0	39	0	282	216	87	265	0	0	1083	11	160	25	0	0	0	226	216	225	78	0	0	157	566	0	246	0	75	0	402	0	46	0	104	70	225	182	171	23	711	64
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0	13	0	0	287	0	0	0	0	0	0	0	0	92	0	0	13	0	0	0	0	116	13	231	0	71	0	127	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	37	0	19	0	12	23	70	0
