#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	72	36	17	13	0	0	11	12	0	14	24	12	27	0	0	0	0	0	0	0	23	0	12	15	0	0	44	0	81	0	13	12	0	0	0	0	0	0	0	0	19	14	21	0	0	0	0	0	0	0	0	0	15	0	0	0	11	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	1730	2622	1106	13275	1989	26790	9284	16324	22108	12813	32026	30845	35195	1028	12917	4800	11207	1517	19604	464	4527	1831	1923	1432	7022	13945	23835	11048	19959	2815	1223	1387	11957	10115	2518	6263	5581	17068	35972	39868	14571	2857	39689	361	1467	5544	14003	7323	17964	535	5689	1169	637	2955	1592	21784	18605	9346	7138
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	12	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	2524	2432	1895	1089	3423	3763	2305	1533	588	673	93	4528	2882	4045	354	5113	1273	2139	1704	1346	1301	1305	2267	248	495	4347	1874	6432	228	2374	1276	555	92	4836	2961	2416	2562	686	746	90	752	9519	3142	2286	2713	3972	6130	2521	2640	1338	4285	828	451	507	171	1500	2107	3051	703
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	3187	5918	10006	0	5078	13	7273	2090	11	2572	95	1521	58	2074	1966	11419	3630	12026	6295	11221	1966	6557	5085	4371	2161	4378	267	7853	4370	3121	1357	4994	0	1491	3028	6616	5286	1465	27	76	2764	2756	130	3501	3870	6685	3437	8599	6714	12084	1490	5664	3156	5768	1480	3956	3889	4212	9112
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	114	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	1617	2957	4697	0	4851	0	845	2206	0	2781	17	449	0	1256	25	1867	2064	635	52	1437	67	3569	1942	1241	1015	302	20	754	64	1626	2738	12907	0	786	4214	1717	499	2645	0	0	3874	1710	15	1030	148	4530	347	1729	81	4305	81	5588	7394	3917	778	415	292	612	2733
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	13	0	0	0	0	0	494	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	0	0	66	0	0	0	0	23	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	90	256	0	0	0	0	16	66	228	139	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	95	282	681	0	595	0	12	317	0	399	0	180	0	93	0	72	139	58	0	40	0	152	76	212	68	226	0	205	0	130	51	1082	0	0	274	33	51	211	0	0	303	350	0	55	0	93	20	78	14	39	0	102	56	303	0	245	184	174	55
