#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	23	36	17	13	0	0	11	12	0	14	24	12	27	0	0	0	0	0	0	0	0	0	12	15	0	0	44	0	32	0	13	12	0	0	0	0	0	0	0	0	19	14	21	0	0	0	0	0	0	0	0	0	15	0	0	0	11	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1730	2622	1106	13275	1989	26790	9284	16324	22108	12813	32026	30845	35195	1028	12917	4800	11207	1517	19604	464	4527	1831	1923	1432	7022	13945	23835	11048	19959	2815	1223	1387	11957	10115	2518	6263	5581	17068	35972	39868	14571	2857	39689	361	1467	5544	14003	7323	17964	535	5689	1169	637	2955	1592	21784	18605	9346	7138
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__NA	12	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia-Asaccharobacter	0	24	66	0	23	0	0	120	12	20	24	0	0	0	0	56	25	0	0	0	0	12	0	22	16	14	0	61	0	42	0	33	0	0	15	0	0	42	0	16	30	0	0	0	0	28	17	0	0	0	0	12	0	39	26	12	17	12	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	2152	443	1206	961	2905	3698	1787	132	404	0	0	4418	2870	2941	340	4933	1173	1637	1273	890	1202	374	1697	78	328	4206	1711	2909	228	392	1068	52	0	4714	2645	1621	1750	64	666	0	0	9122	3142	1258	2655	3894	6098	2035	2224	908	3600	184	85	222	18	1459	2012	2029	640
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella-Olsenella	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	372	1902	582	110	169	0	0	713	19	104	0	56	0	1012	14	88	75	43	0	456	31	908	570	129	131	127	65	471	0	1867	208	443	80	12	99	106	259	370	0	18	153	172	0	1010	58	31	15	29	0	430	81	632	366	201	111	29	78	155	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Gordonibacter	0	25	28	18	12	0	0	39	13	39	19	0	0	16	0	24	0	0	0	0	0	0	0	19	20	0	0	75	0	35	0	27	12	0	0	0	0	25	0	16	64	0	0	0	0	19	0	22	0	0	0	0	0	21	16	0	0	29	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__NA	0	0	0	0	0	0	283	0	0	12	0	0	0	76	0	12	0	67	192	0	28	0	0	0	0	0	0	121	0	0	0	0	0	0	0	341	304	0	0	0	0	0	0	18	0	0	0	140	192	0	538	0	0	0	0	0	0	168	22
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia	0	0	0	0	314	65	11	0	0	0	0	54	12	0	0	0	0	318	189	0	40	0	0	0	0	0	98	306	0	0	0	0	0	110	191	13	29	0	0	0	0	225	0	0	0	0	0	219	145	0	22	0	0	0	0	0	0	149	17
