#taxa	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	363	0	229	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	34	0	256	99	0	99	16	229	0	0	0	0	0	0	0	0	0	0	3831	3390	3425	3237	3459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	122	0	27	43	28	28	29	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria	16707	8760	14089	4843	16314	16759	16825	13654	16649	2093	8282	16191	13477	21098	11195	6630	22793	12088	13577	8065	18727	34653	11900	39475	12930	3356	2211	3339	3092	4075	2564	61143	2820	27521	2164	13159	30115	20605	25000	22432	1192	8950	1155	2325	270	5059	13609	5760	8786	4956	20707	34639	17398	30858	17894	3317	6964	4131	6596	3155	25662	21089	22266	36059	16687	13622	14787	14807	9773	10798	21891	21706	21079	19259	23087	1474	18053	19371	17781	15132	3322	7088	5919	5594	7213	5845	3922	4400	4493	4948	5634	17038	15242	15990	17170	7729	9191	11142	11584	18062	4050	5051	2074	3375	6357	3848	4175	4603	7241	6306	7075	2064	3182	21595	4699	13163	24211	14750	16756	13428	26	6658	4439	4500	3219	469	1824	1691	1968	2340
k__Bacteria;p__Bacteroidetes	13833	16209	20881	11936	7469	13448	19022	9021	18247	9748	3907	2411	7205	11950	3307	3362	54	843	1476	3671	2074	0	2157	11	1375	22605	7197	19703	1162	19608	9731	0	0	0	0	6881	0	11392	1925	8161	7803	4829	6394	2856	4118	10704	4497	11662	6815	9784	3605	27	3569	3961	4494	9837	209	10101	3437	7861	1760	5182	4875	0	6039	95	89	76	99	53	0	0	0	0	0	0	0	0	0	0	0	288	297	215	310	255	45	43	38	117	64	32	52	40	36	205	0	0	0	0	0	42	13	14	86	33	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0
k__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	14643	36888	16253	37748	36165	18838	13320	21246	17162	30776	25105	18840	37118	24430	31365	40554	47273	28490	35170	29825	22120	11835	21372	16763	21960	23560	84881	31385	49697	37236	35060	29364	60674	59154	46214	10621	4019	14643	9377	15584	53522	43929	42991	55905	41460	56271	35308	51455	41132	44775	21385	17802	20271	20017	29554	43322	58767	45807	51315	43811	3882	10952	13989	1407	10876	37410	44652	33291	38018	36476	28601	31591	32370	28427	33190	51851	26461	27804	28323	23897	63073	38897	33182	33087	41512	32424	47048	53071	48792	47505	66433	31799	26860	29755	28054	45633	0	34564	47168	43240	32992	53220	27744	37299	68950	47125	42507	38501	38636	33219	39494	32711	44448	32419	47722	29649	52969	45435	50700	44601	10748	51153	40437	42333	59243	641	56668	51527	55261	67516
k__Bacteria;p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	20193	311	513	16	22	1033	5951	754	0	10878	10376	5628	15170	6430	6095	7720	478	2580	3899	10289	13721	1309	9572	698	14689	14637	6448	9430	5833	21038	0	155	1960	0	14	13095	25640	13989	11683	12847	338	154	424	213	265	873	514	516	359	1269	5157	2920	7436	5388	4884	3493	23	3149	529	3780	16070	13990	18306	12743	21121	0	0	0	0	0	24	26	19	23	28	0	18	25	22	26	0	0	0	0	0	13	0	0	0	0	0	104	94	80	101	11	0	60	21	77	0	77	0	0	101	0	0	0	0	0	0	0	0	15289	0	0	0	15	0	0	0	0	0	11	0	318	0	0	0	0
k__Bacteria;p__Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	27	24	42	0	0	0	0	0	0	0	0	0	0	41	0	20	53	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
