"analyte",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"5aminovalerate","delta_48h_0h","no_carbohydrate","rapid_digestible",30,32,0.308,"ns",0.342222222222222,"ns"
"5aminovalerate","delta_48h_0h","no_carbohydrate","slow_digestible",30,32,0.508,"ns",0.508,"ns"
"acetate","delta_48h_0h","no_carbohydrate","rapid_digestible",30,32,0.19,"ns",0.271428571428571,"ns"
"acetate","delta_48h_0h","no_carbohydrate","slow_digestible",30,32,0.0126,"*",0.042,"*"
"butyrate","delta_48h_0h","no_carbohydrate","rapid_digestible",30,32,0.0576,"ns",0.1152,"ns"
"butyrate","delta_48h_0h","no_carbohydrate","slow_digestible",30,32,0.00234,"**",0.01185,"*"
"propionate","delta_48h_0h","no_carbohydrate","rapid_digestible",30,32,0.00237,"**",0.01185,"*"
"propionate","delta_48h_0h","no_carbohydrate","slow_digestible",30,32,0.177,"ns",0.271428571428571,"ns"
"succinate","delta_48h_0h","no_carbohydrate","rapid_digestible",30,32,0.289,"ns",0.342222222222222,"ns"
"succinate","delta_48h_0h","no_carbohydrate","slow_digestible",30,32,0.053,"ns",0.1152,"ns"
