"Group","Analyte","n Subjects","Mean Subject Means","SD Subject Means","SEM Subjects"
"control","5aminovalerate",8,0.553541666666667,0.124341320118812,0.0439612953188496
"control","acetate",8,18.7341840277778,5.29611561532383,1.87245963277172
"control","butyrate",8,4.24467013888889,1.32066028137449,0.466923920301819
"control","propionate",8,2.75017361111111,0.896557722840979,0.316981022773013
"control","succinate",8,1.24276041666667,1.13674499489012,0.401900047183335
"case","5aminovalerate",8,0.485104166666667,0.276379005466585,0.0977147344715079
"case","acetate",8,17.3040104166667,2.6573128540017,0.93950196939939
"case","butyrate",8,3.56890625,1.10306332874285,0.389991779916138
"case","propionate",8,2.73307291666667,0.999068637152159,0.353224104100547
"case","succinate",8,0.77921875,0.706867125287702,0.249915268844388
