"group","carbohydrate_type","analyte","n","mean_change","sd_change","sem_change","t_stat","p_value","p_adj","significance"
"control","no_carbohydrate","5aminovalerate",16,0.9675,0.570689641282078,0.142672410320519,6.78126904722834,6.18636831125071e-06,1.23727366225014e-05,"***"
"control","no_carbohydrate","acetate",16,26.06375,9.84185746357532,2.46046436589383,10.5930207164498,2.32953604352845e-08,2.79544325223414e-08,"***"
"control","no_carbohydrate","butyrate",16,4.856875,2.2522217734199,0.563055443354974,8.62592673122959,3.36457510339046e-07,5.27318345967129e-07,"***"
"control","no_carbohydrate","propionate",16,5.2625,2.30090272139726,0.575225680349316,9.1485832079059,1.59001207081913e-07,4.7700362124574e-07,"***"
"control","no_carbohydrate","succinate",16,1.279375,1.28159519740049,0.320398799350122,3.99307051897512,0.0011757740009876,0.0035273220029628,"**"
"control","rapid_digestible","5aminovalerate",16,0.7809375,0.327237012729306,0.0818092531823265,9.54583338219139,9.17799413145815e-08,5.50679647887489e-07,"***"
"control","rapid_digestible","acetate",16,31.215,12.5947085449935,3.14867713624839,9.91368712931689,5.59990870596707e-08,5.59990870596707e-08,"***"
"control","rapid_digestible","butyrate",16,7.209375,4.59322032093679,1.1483050802342,6.27827493241573,1.47943035711889e-05,1.47943035711889e-05,"***"
"control","rapid_digestible","propionate",16,3.388125,2.5520631359745,0.638015783993625,5.31040937387507,8.7305700741842e-05,8.7305700741842e-05,"***"
"control","rapid_digestible","succinate",16,1.5428125,2.25427073850946,0.563567684627366,2.73758155778594,0.0152626329804343,0.0183151595765211,"*"
"control","slow_digestible","5aminovalerate",16,0.88375,0.445325723487876,0.111331430871969,7.93800989602219,9.47544324206948e-07,2.84263297262084e-06,"***"
"control","slow_digestible","acetate",16,32.3325,11.6928013466976,2.9232003366744,11.0606514354686,1.30600758295348e-08,1.95901137443022e-08,"***"
"control","slow_digestible","butyrate",16,8.41875,3.91752026159406,0.979380065398515,8.59599893589253,3.51545563978086e-07,5.27318345967129e-07,"***"
"control","slow_digestible","propionate",16,4.5875,2.60210683869821,0.650526709674553,7.05197793076789,3.92510647286135e-06,4.71012776743362e-06,"***"
"control","slow_digestible","succinate",16,1.995,2.30063759278452,0.575159398196129,3.46860367101175,0.00343804981710618,0.00687609963421235,"**"
"case","no_carbohydrate","5aminovalerate",16,0.82375,0.540307011491306,0.135076752872827,6.09838467745484,2.03792851377899e-05,3.05689277066848e-05,"***"
"case","no_carbohydrate","acetate",16,27.9,9.30069316413209,2.32517329103302,11.9991056613267,4.3271396293962e-09,1.29814188881886e-08,"***"
"case","no_carbohydrate","butyrate",16,5.324375,1.95659557650527,0.489148894126318,10.8849780995826,1.61941938238846e-08,4.85825814716538e-08,"***"
"case","no_carbohydrate","propionate",16,5.671875,2.40260474971089,0.600651187427723,9.4428765292044,1.05656384989122e-07,4.7700362124574e-07,"***"
"case","no_carbohydrate","succinate",16,0.679375,1.21786407971771,0.304466019929428,2.23136558936026,0.0413399295437787,0.0413399295437787,"*"
"case","rapid_digestible","5aminovalerate",18,0.7725,0.666064495199005,0.156992907087604,4.92060446762054,0.000129423458245736,0.000129423458245736,"***"
"case","rapid_digestible","acetate",18,29.8241666666667,12.023161379555,2.83388631426119,10.524122480348,7.28505984393241e-09,1.45701196878648e-08,"***"
"case","rapid_digestible","butyrate",18,6.08333333333333,3.9147984697585,0.922726848314986,6.59277807342688,4.56562922538101e-06,5.47875507045721e-06,"***"
"case","rapid_digestible","propionate",18,3.79083333333333,2.16307192369066,0.509840941811966,7.43532545632914,9.74352359195513e-07,1.94870471839103e-06,"***"
"case","rapid_digestible","succinate",18,1.28055555555556,1.8354081841962,0.432609857763473,2.96007021702148,0.00876959049301422,0.0131543857395213,"*"
"case","slow_digestible","5aminovalerate",18,0.7925,0.681972161757182,0.160742380052984,4.93024925809095,0.000126828375863335,0.000129423458245736,"***"
"case","slow_digestible","acetate",18,33.6877777777778,11.0263846965868,2.59894379697604,12.9621032270781,3.06556370579486e-10,1.83933822347692e-09,"***"
"case","slow_digestible","butyrate",18,6.96027777777778,2.94339813232248,0.693765593032349,10.0326073355057,1.47610482316443e-08,4.85825814716538e-08,"***"
"case","slow_digestible","propionate",18,4.79916666666667,2.88149841024341,0.679175688620457,7.06616380279268,1.89439065774752e-06,2.84158598662128e-06,"***"
"case","slow_digestible","succinate",18,1.77861111111111,1.81911000019528,0.428768338954114,4.14818667686528,0.000672847110460987,0.0035273220029628,"**"
