analyte,carbohydrate,estimand,primary_contrast,unit,n_healthy_weight,n_obesity,healthy_weight_mean_delta_uM,obesity_mean_delta_uM,bootstrap_ci90_lower_uM,bootstrap_ci90_upper_uM,bootstrap_ci95_lower_uM,bootstrap_ci95_upper_uM,estimate_uM,standard_error_uM,degrees_freedom,inference_distribution,wald_z,superiority_p_two_sided,ci90_lower_uM,ci90_upper_uM,ci95_lower_uM,ci95_upper_uM,margin_lower_uM,margin_upper_uM,margin_status,margin_version,margin_source,margin_rationale,minimum_margin_to_contain_90_ci_uM,minimum_margin_is_post_hoc,tost_lower_p,tost_upper_p,tost_p,equivalent_alpha_0_05,equivalence_verdict,most_influential_subject,maximum_leave_one_out_change_uM,model_type,optimizer
acetate,No added carbohydrate,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),False,uM_pending_facility_confirmation,16,14,26.06375,30.291429,-0.0185625,8.90375,-0.76247321,9.845183,4.1056513,3.7704283,inf,asymptotic_normal_wald,1.0889085,0.27619425,-2.0961513,10.307454,-3.2842523,11.495555,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",10.307454,True,,,,,not_evaluable_margin_unavailable,116B,1.8949167,mixed_subject_well,lbfgs
acetate,RDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,31.215,31.058125,-5.6607969,5.8869844,-6.5778516,7.2737734,-0.087140747,2.6271585,inf,asymptotic_normal_wald,-0.033169201,0.97353966,-4.4084319,4.2341504,-5.2362767,5.0619952,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",4.4084319,True,,,,,not_evaluable_margin_unavailable,116B,2.5743333,mixed_subject_well,lbfgs
acetate,SDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,32.3325,35.707813,-1.6400625,9.0984062,-2.422875,10.209375,3.4300264,2.627171,inf,asymptotic_normal_wald,1.3055969,0.19168967,-0.89128539,7.7513381,-1.7191342,8.5791869,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",7.7513381,True,,,,,not_evaluable_margin_unavailable,116B,2.3555,mixed_subject_well,lbfgs
propionate,No added carbohydrate,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),False,uM_pending_facility_confirmation,16,14,5.2625,6.0178571,-0.45385268,1.9839286,-0.66030134,2.2210134,0.76997474,1.0526583,inf,asymptotic_normal_wald,0.73145744,0.46449979,-0.96149407,2.5014435,-1.2931976,2.8331471,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",2.5014435,True,,,,,not_evaluable_margin_unavailable,116B,0.38083333,mixed_subject_well,powell
propionate,RDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,3.388125,4.155625,-0.43439062,1.9947969,-0.68003906,2.2387891,0.73952793,0.73366238,inf,asymptotic_normal_wald,1.0079949,0.31345691,-0.46723929,1.9462952,-0.69842391,2.1774798,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",1.9462952,True,,,,,not_evaluable_margin_unavailable,116B,0.38820833,mixed_subject_well,powell
propionate,SDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,4.5875,5.0371875,-1.061,1.9894219,-1.3501641,2.3075312,0.38247148,0.73366227,inf,asymptotic_normal_wald,0.52131818,0.60214514,-0.82429556,1.5892385,-1.0554801,1.8204231,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",1.5892385,True,,,,,not_evaluable_margin_unavailable,50A,0.41352083,mixed_subject_well,powell
butyrate,No added carbohydrate,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),False,uM_pending_facility_confirmation,16,14,4.856875,5.7114286,-0.20420536,1.9496161,-0.37928795,2.165692,0.95115956,1.5921183,inf,asymptotic_normal_wald,0.59741763,0.55022858,-1.667642,3.5699612,-2.169335,4.0716541,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",3.5699612,True,,,,,not_evaluable_margin_unavailable,116B,0.34379167,mixed_subject_well,lbfgs
butyrate,RDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,7.209375,6.53,-3.1290938,1.7290781,-3.6001406,2.1763437,-0.74345474,1.1092479,inf,asymptotic_normal_wald,-0.67023316,0.50270917,-2.5680052,1.0810957,-2.9175407,1.4306312,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",2.5680052,True,,,,,not_evaluable_margin_unavailable,84A,0.51870833,mixed_subject_well,lbfgs
butyrate,SDC,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),True,uM_pending_facility_confirmation,16,16,8.41875,7.3503125,-2.945625,0.839125,-3.296875,1.1783359,-1.1701382,1.1092478,inf,asymptotic_normal_wald,-1.0548934,0.29147409,-2.9946885,0.65441213,-3.344224,1.0039476,,,not_locked_missing_external_biological_anchor,v0.1-unlocked,"DFI-HMMF method and PubMed scoping search, 2026-07-19","No study-team threshold, project-specific QC precision, or comparable ex vivo biological equivalence bound was available.",2.9946885,True,,,,,not_evaluable_margin_unavailable,116B,0.55825,mixed_subject_well,lbfgs
5aminovalerate,No added carbohydrate,(Obesity 48h - Obesity 0h) - (Healthy-weight 48h - Healthy-weight 0h),False,uM_pending_facility_confirmation,16,14,0.9675,0.90214286,-0.34526786,0.23027232,-0.39116071,0.2926875,-0.089215336,0.1987426,inf,asymptotic_normal_wald,-0.4488989,0.65350459,-0.41611783,0.23768715,-0.47874368,0.30031301,,,not_planned_secondary_analyte,v0.1-unlocked,"Current outcome hierarchy, 2026-07-19",Secondary analyte; quantification status and biological equivalence threshold are unresolved.,0.41611783,True,,,,,not_evaluable_margin_unavailable,116B,0.0945,mixed_subject_well,lbfgs
